DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-05-29 00:00:00;8;5;10;2;1;4;6;0;0
2020-05-29 00:15:00;6;10;8;6;2;3;7;0;5
2020-05-29 00:30:00;12;5;4;3;3;12;4;2;3
2020-05-29 00:45:00;5;9;4;1;1;4;8;0;1
2020-05-29 01:00:00;7;9;8;2;2;3;8;0;1
2020-05-29 01:15:00;3;3;6;1;0;9;6;1;2
2020-05-29 01:30:00;4;2;2;0;0;6;3;0;0
2020-05-29 01:45:00;5;1;2;1;0;9;7;0;2
2020-05-29 02:00:00;3;3;5;2;1;10;2;2;2
2020-05-29 02:15:00;2;2;5;1;2;3;4;0;0
2020-05-29 02:30:00;3;4;1;0;0;4;1;0;0
2020-05-29 02:45:00;9;5;3;2;1;8;5;0;0
2020-05-29 03:00:00;7;8;8;3;3;8;4;0;0
2020-05-29 03:15:00;5;5;6;3;5;6;4;1;3
2020-05-29 03:30:00;5;2;2;2;1;5;1;0;0
2020-05-29 03:45:00;5;5;5;4;4;5;2;0;1
2020-05-29 04:00:00;1;6;7;5;5;7;3;0;0
2020-05-29 04:15:00;3;3;2;0;0;9;6;0;1
2020-05-29 04:30:00;15;3;5;3;2;20;6;0;1
2020-05-29 04:45:00;10;0;1;0;0;18;4;1;0
2020-05-29 05:00:00;22;8;7;3;0;30;11;1;1
2020-05-29 05:15:00;28;14;16;3;2;36;23;3;7
2020-05-29 05:30:00;30;14;20;4;3;50;28;5;6
2020-05-29 05:45:00;40;19;40;13;6;77;46;6;11
2020-05-29 06:00:00;28;19;36;10;4;48;41;4;12
2020-05-29 06:15:00;49;44;58;12;8;67;52;5;7
2020-05-29 06:30:00;49;70;75;12;10;69;58;9;17
2020-05-29 06:45:00;72;77;80;23;14;72;71;5;13
2020-05-29 07:00:00;76;92;54;16;13;71;49;4;12
2020-05-29 07:15:00;99;109;86;22;11;62;71;8;20
2020-05-29 07:30:00;72;118;65;23;12;75;52;14;12
2020-05-29 08:00:00;63;92;69;11;11;79;66;7;11
2020-05-29 08:15:00;66;86;62;21;12;63;59;13;42
2020-05-29 08:30:00;77;87;68;17;11;72;70;12;11
2020-05-29 08:45:00;64;86;58;18;12;74;53;10;16
2020-05-29 09:00:00;67;76;75;17;13;98;75;6;9
2020-05-29 09:15:00;71;65;58;14;10;78;56;10;18
2020-05-29 09:30:00;91;102;72;16;11;92;71;11;15
2020-05-29 09:45:00;89;90;87;23;14;104;76;13;16
2020-05-29 10:00:00;82;74;68;12;12;97;77;15;21
2020-05-29 10:15:00;94;95;84;26;16;111;95;15;18
2020-05-29 10:30:00;106;97;75;14;15;112;78;20;24
2020-05-29 10:45:00;91;87;79;22;12;102;83;13;84
2020-05-29 11:00:00;90;92;78;22;10;84;85;10;20
