DATUM;1(DA1);2(DC1);3(TAFGA);4(TAFBA)
2020-07-09 00:00:00;0;0;0;0
2020-07-09 00:15:00;0;0;0;0
2020-07-09 00:30:00;0;0;0;0
2020-07-09 00:45:00;0;0;0;0
2020-07-09 01:00:00;0;0;0;0
2020-07-09 01:15:00;0;0;0;0
2020-07-09 01:30:00;0;0;0;0
2020-07-09 01:45:00;0;0;0;0
2020-07-09 02:00:00;0;0;0;0
2020-07-09 02:15:00;0;0;0;0
2020-07-09 02:30:00;0;0;0;0
2020-07-09 02:45:00;0;0;0;0
2020-07-09 03:00:00;0;0;0;0
2020-07-09 03:15:00;0;0;0;0
2020-07-09 03:30:00;0;0;0;0
2020-07-09 03:45:00;0;0;0;0
2020-07-09 04:00:00;0;0;0;0
2020-07-09 04:15:00;0;0;0;0
2020-07-09 04:30:00;0;0;0;0
2020-07-09 04:45:00;0;0;0;0
2020-07-09 05:00:00;0;0;0;0
2020-07-09 05:15:00;0;0;0;0
2020-07-09 05:30:00;0;0;0;0
2020-07-09 05:45:00;0;0;0;0
2020-07-09 06:00:00;0;0;0;0
2020-07-09 06:15:00;0;0;0;0
2020-07-09 06:30:00;0;0;0;0
2020-07-09 06:45:00;0;0;0;0
2020-07-09 07:00:00;0;0;0;0
2020-07-09 07:15:00;0;0;6;0
2020-07-09 07:30:00;0;0;11;0
2020-07-09 07:45:00;0;0;4;7
2020-07-09 08:00:00;0;0;12;1
2020-07-09 08:15:00;0;0;2;1
2020-07-09 08:30:00;0;0;0;0
2020-07-09 08:45:00;0;0;1;0
2020-07-09 09:00:00;0;0;1;0
2020-07-09 09:15:00;0;0;4;0
2020-07-09 09:30:00;0;0;0;0
2020-07-09 09:45:00;0;0;1;0
2020-07-09 10:00:00;0;0;0;0
2020-07-09 10:15:00;0;0;0;0
2020-07-09 10:30:00;0;0;2;0
2020-07-09 10:45:00;0;0;0;0
2020-07-09 11:00:00;0;0;2;0
2020-07-09 11:15:00;0;0;0;0
2020-07-09 11:30:00;0;0;2;0
2020-07-09 11:45:00;0;0;0;0
2020-07-09 12:00:00;0;0;2;6
2020-07-09 12:15:00;0;0;6;0
2020-07-09 12:30:00;0;0;0;0
2020-07-09 12:45:00;0;0;3;0
2020-07-09 13:00:00;0;0;8;2
2020-07-09 13:15:00;0;0;1;0
2020-07-09 13:30:00;0;0;2;0
2020-07-09 13:45:00;0;0;2;0
2020-07-09 14:00:00;0;0;3;0
2020-07-09 14:15:00;0;0;4;0
2020-07-09 14:30:00;0;0;5;2
2020-07-09 14:45:00;0;0;2;3
2020-07-09 15:00:00;0;0;4;0
2020-07-09 15:15:00;0;0;4;0
2020-07-09 15:30:00;0;0;6;0
2020-07-09 15:45:00;0;0;2;0
2020-07-09 16:00:00;0;0;3;2
2020-07-09 16:15:00;0;0;3;0
2020-07-09 16:30:00;0;0;1;0
2020-07-09 16:45:00;0;0;5;0
2020-07-09 17:00:00;0;0;4;1
2020-07-09 17:15:00;0;0;7;4
2020-07-09 17:30:00;0;0;2;0
2020-07-09 17:45:00;0;0;4;1
2020-07-09 18:00:00;0;0;7;5
2020-07-09 18:15:00;0;0;0;0
2020-07-09 18:30:00;0;0;0;0
2020-07-09 18:45:00;0;0;5;0
2020-07-09 19:00:00;0;0;0;1
2020-07-09 19:15:00;0;0;0;0
2020-07-09 19:30:00;0;0;2;0
2020-07-09 19:45:00;0;0;1;1
2020-07-09 20:00:00;0;0;1;0
2020-07-09 20:15:00;0;0;1;0
2020-07-09 20:30:00;0;0;0;0
2020-07-09 20:45:00;0;0;0;0
2020-07-09 21:00:00;0;0;0;0
2020-07-09 21:15:00;0;0;0;0
2020-07-09 21:30:00;0;0;0;0
2020-07-09 21:45:00;0;0;0;0
2020-07-09 22:00:00;0;0;0;0
2020-07-09 22:15:00;0;0;0;0
2020-07-09 22:30:00;0;0;0;0
2020-07-09 22:45:00;0;0;0;0
2020-07-09 23:00:00;0;0;0;0
2020-07-09 23:15:00;0;0;0;0
2020-07-09 23:30:00;0;0;0;0
2020-07-09 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
