DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(MPF2B01);7(MPF2B02);8(MPF2B03);9(MPF2B04);10(MPF2B05);11(MPF2B06);12(MPF2B07);13(MPF2B08);14(MPF2B09);15(MPF2B10);16(MPF2B11);17(MPF2B12);18(MPF2B13);19(MPF2B14)
2020-01-06 00:00:00;19;12;1;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 00:15:00;27;15;1;17;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 00:30:00;31;13;1;13;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 00:45:00;12;9;3;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 01:00:00;20;14;0;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 01:15:00;10;5;0;11;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 01:30:00;6;6;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 01:45:00;11;6;2;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 02:00:00;11;9;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 02:15:00;6;7;0;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 02:30:00;8;3;1;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 02:45:00;8;7;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 03:00:00;12;4;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 03:15:00;4;4;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 03:30:00;8;5;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 03:45:00;5;3;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 04:00:00;7;9;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 04:15:00;4;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 04:30:00;12;5;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 04:45:00;9;5;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 05:00:00;11;7;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 05:15:00;14;8;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-06 05:30:00;18;9;0;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
