DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-06-15 00:00:00;12;12;10;17;5;2;1;3;0;0;0
2020-06-15 00:15:00;15;21;10;14;4;2;2;3;0;2;2
2020-06-15 00:30:00;14;19;9;15;6;3;1;1;0;5;1
2020-06-15 00:45:00;14;18;11;11;6;3;2;5;0;4;1
2020-06-15 01:00:00;6;6;4;8;5;2;0;1;0;1;0
2020-06-15 01:15:00;6;11;2;8;4;1;15;4;0;1;0
2020-06-15 01:30:00;9;9;9;5;3;2;1;1;0;2;2
2020-06-15 01:45:00;10;10;5;7;2;0;0;2;0;1;1
2020-06-15 02:00:00;11;11;7;5;3;1;0;0;0;0;0
2020-06-15 02:15:00;14;18;9;7;1;2;0;2;0;0;1
2020-06-15 02:30:00;8;7;5;5;3;0;0;1;0;1;0
2020-06-15 03:00:00;6;8;4;8;4;3;1;2;0;2;2
2020-06-15 03:15:00;6;9;6;4;3;2;0;1;0;0;1
2020-06-15 03:30:00;7;7;5;1;0;2;0;2;0;1;1
2020-06-15 03:45:00;8;11;6;2;1;1;0;1;0;0;0
2020-06-15 04:00:00;12;13;7;6;4;1;0;0;0;1;0
2020-06-15 04:15:00;16;19;7;3;2;2;0;1;0;1;3
2020-06-15 04:30:00;29;32;19;12;8;1;1;8;0;3;4
2020-06-15 04:45:00;32;34;29;10;4;5;0;3;0;5;11
2020-06-15 05:00:00;57;62;69;17;19;12;4;7;0;11;13
2020-06-15 05:15:00;76;81;64;25;22;13;2;11;0;19;24
2020-06-15 05:30:00;110;122;105;24;16;12;9;22;0;21;32
2020-06-15 05:45:00;86;97;94;28;28;17;12;19;0;20;26
2020-06-15 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-15 06:15:00;127;136;131;37;39;18;9;21;0;16;34
2020-06-15 06:30:00;167;180;132;55;49;41;6;34;0;44;46
2020-06-15 06:45:00;124;149;128;80;73;33;11;26;0;33;45
2020-06-15 07:00:00;116;147;131;101;71;25;16;29;0;29;59
2020-06-15 07:15:00;125;148;158;116;96;46;26;43;0;55;76
2020-06-15 07:30:00;134;160;150;136;120;53;23;37;0;59;89
2020-06-15 07:45:00;122;153;148;117;88;42;24;33;0;56;72
2020-06-15 08:00:00;137;173;158;105;85;24;9;30;0;56;50
2020-06-15 08:15:00;123;145;121;108;99;34;14;48;0;33;40
2020-06-15 08:30:00;127;159;143;102;78;34;16;46;0;22;38
2020-06-15 08:45:00;118;145;126;99;98;29;12;32;0;21;35
2020-06-15 09:00:00;123;145;99;78;81;24;19;36;0;25;24
2020-06-15 09:15:00;102;124;97;101;91;29;12;45;0;32;32
2020-06-15 09:30:00;116;154;94;90;69;25;11;45;0;25;37
2020-06-15 09:45:00;137;169;133;106;75;29;16;48;0;32;31
2020-06-15 10:00:00;139;161;118;113;98;24;13;41;0;20;34
2020-06-15 10:15:00;140;172;93;106;99;43;15;52;0;33;40
2020-06-15 10:30:00;122;155;82;112;106;23;6;67;0;49;47
2020-06-15 10:45:00;115;150;97;130;109;30;18;44;0;26;38
2020-06-15 11:00:00;107;145;106;135;76;20;7;55;0;32;34
2020-06-15 11:15:00;127;159;101;136;100;29;17;55;0;27;26
2020-06-15 11:45:00;118;151;79;131;116;30;17;60;0;24;32
2020-06-15 12:00:00;128;167;111;128;100;24;22;58;0;26;33
2020-06-15 12:15:00;120;163;110;121;110;20;12;68;0;17;29
2020-06-15 12:30:00;113;157;106;113;119;46;11;52;0;30;36
2020-06-15 12:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-15 13:00:00;117;170;136;117;102;25;14;45;0;39;41
2020-06-15 13:15:00;134;177;137;112;123;23;11;66;0;41;37
2020-06-15 13:30:00;114;163;139;121;103;26;12;60;0;29;41
2020-06-15 13:45:00;128;166;139;128;133;35;19;64;0;43;47
2020-06-15 14:00:00;144;170;164;122;124;39;22;66;0;31;32
2020-06-15 14:30:00;132;174;136;142;121;32;13;77;0;37;46
2020-06-15 14:45:00;130;167;142;137;156;30;23;87;0;36;52
2020-06-15 15:00:00;112;144;99;132;136;25;18;86;0;29;42
2020-06-15 15:15:00;95;135;108;111;128;24;16;106;0;65;63
2020-06-15 15:30:00;101;151;111;164;148;56;19;84;0;59;65
2020-06-15 15:45:00;112;154;127;151;132;27;14;106;0;58;64
2020-06-15 16:00:00;130;182;142;165;124;27;14;91;0;51;58
2020-06-15 16:15:00;132;185;136;139;140;22;16;94;0;33;41
2020-06-15 16:30:00;135;195;133;142;123;24;11;102;0;39;44
2020-06-15 16:45:00;121;173;142;159;146;21;15;79;0;33;42
2020-06-15 17:00:00;125;183;135;162;127;18;12;93;0;43;52
2020-06-15 17:15:00;119;174;125;169;160;21;32;85;0;39;43
2020-06-15 17:30:00;124;180;142;121;122;24;58;87;0;24;30
2020-06-15 17:45:00;124;172;121;156;122;32;18;70;0;35;30
