DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2019-08-22 00:00:00;7;3;2;6;1;8;6;5;3;7;6;0;2
2019-08-22 00:15:00;8;2;1;3;6;11;9;5;4;8;5;2;1
2019-08-22 00:30:00;7;7;2;6;1;12;12;5;6;8;4;1;2
2019-08-22 00:45:00;7;0;2;3;2;6;4;2;2;7;7;3;2
2019-08-22 01:00:00;9;1;3;0;4;6;2;3;2;7;5;0;3
2019-08-22 01:15:00;5;0;0;2;0;8;8;2;1;3;2;1;0
2019-08-22 01:30:00;9;3;2;1;1;9;10;2;2;7;6;0;1
2019-08-22 01:45:00;3;0;1;1;1;7;4;0;1;3;3;0;2
2019-08-22 02:00:00;2;2;2;4;0;7;5;0;0;0;0;0;2
2019-08-22 02:15:00;7;3;1;0;2;9;11;8;5;8;3;1;1
2019-08-22 02:30:00;4;2;0;0;0;8;7;2;2;1;3;3;0
2019-08-22 02:45:00;2;5;0;2;2;10;8;1;1;2;0;0;0
2019-08-22 03:00:00;4;3;0;0;0;7;6;0;0;6;6;0;0
2019-08-22 03:15:00;5;0;0;2;1;4;9;4;2;0;1;0;0
2019-08-22 03:30:00;6;1;0;1;2;10;9;1;0;2;1;0;0
2019-08-22 03:45:00;5;0;0;2;4;11;8;5;2;3;3;1;0
2019-08-22 04:00:00;6;3;2;3;3;5;4;1;0;3;3;0;2
2019-08-22 04:15:00;5;2;1;3;4;13;14;6;2;1;2;1;1
2019-08-22 04:30:00;5;0;2;4;5;17;13;5;4;4;1;0;2
2019-08-22 04:45:00;12;3;3;4;8;25;17;7;1;6;4;0;2
2019-08-22 05:00:00;16;1;3;6;11;15;11;5;1;1;4;1;3
2019-08-22 05:15:00;18;3;4;10;17;26;20;11;2;5;4;0;4
2019-08-22 05:30:00;27;16;5;16;21;34;20;16;7;7;4;1;5
2019-08-22 05:45:00;28;15;3;31;26;47;42;17;13;12;6;2;3
2019-08-22 06:00:00;27;20;10;16;21;43;45;18;13;14;4;2;10
2019-08-22 06:15:00;41;43;7;23;17;46;47;26;10;11;2;1;5
2019-08-22 06:30:00;46;50;13;43;45;91;87;48;37;25;19;10;13
2019-08-22 06:45:00;43;37;14;72;36;89;109;51;51;36;15;8;11
2019-08-22 07:00:00;40;32;14;40;39;60;64;42;32;27;16;6;13
2019-08-22 07:15:00;46;44;10;67;35;74;92;69;45;44;16;6;9
2019-08-22 07:30:00;47;48;11;82;40;67;95;60;40;50;33;10;12
2019-08-22 07:45:00;52;26;19;106;55;80;104;99;67;60;26;11;19
2019-08-22 08:00:00;42;30;23;81;36;78;94;56;51;55;32;6;20
2019-08-22 08:15:00;47;48;19;74;35;75;99;85;68;56;38;13;22
2019-08-22 08:30:00;48;31;13;77;44;63;89;89;54;64;36;15;11
2019-08-22 08:45:00;45;41;11;85;40;73;86;71;51;53;35;13;10
2019-08-22 09:00:00;56;38;16;54;37;69;83;57;36;52;47;16;17
2019-08-22 09:15:00;53;41;16;63;41;26;118;70;47;45;32;8;15
2019-08-22 09:30:00;69;48;21;62;34;74;78;55;41;60;36;16;21
2019-08-22 09:45:00;61;57;13;63;37;82;69;50;47;71;50;17;12
2019-08-22 10:00:00;78;46;15;63;32;70;71;46;46;67;45;17;16
2019-08-22 10:15:00;72;56;22;69;32;71;81;65;44;59;54;24;23
2019-08-22 10:30:00;79;62;24;71;48;91;82;58;45;82;58;25;21
2019-08-22 10:45:00;72;46;11;57;41;69;68;61;44;71;55;25;12
2019-08-22 11:00:00;68;59;23;55;32;69;61;56;41;82;55;23;21
2019-08-22 11:15:00;64;49;15;66;30;72;80;59;38;83;67;17;13
2019-08-22 11:30:00;78;66;24;74;50;84;103;61;48;71;61;35;26
2019-08-22 11:45:00;69;51;21;74;37;84;92;65;53;78;74;25;20
2019-08-22 12:00:00;93;58;21;81;35;90;91;67;58;91;78;26;19
2019-08-22 12:15:00;83;53;25;63;34;82;70;63;43;89;77;37;25
2019-08-22 12:30:00;74;53;29;82;35;76;73;50;45;105;86;36;22
2019-08-22 12:45:00;69;44;20;59;37;85;91;60;39;91;76;32;17
2019-08-22 13:00:00;86;65;11;61;33;79;90;67;60;88;50;32;12
2019-08-22 13:15:00;76;59;20;65;40;84;97;54;49;81;68;33;20
2019-08-22 13:30:00;71;52;22;59;33;90;100;65;46;91;75;27;20
2019-08-22 13:45:00;76;55;19;74;41;96;92;56;42;86;70;29;18
2019-08-22 14:00:00;71;61;21;58;39;69;81;44;36;86;63;24;23
2019-08-22 14:15:00;89;71;25;64;35;90;83;51;58;106;79;41;24
2019-08-22 14:30:00;80;67;24;63;39;95;102;62;53;94;76;24;22
2019-08-22 14:45:00;68;58;20;69;36;88;85;56;46;96;69;32;24
2019-08-22 15:00:00;89;71;25;56;35;96;82;55;47;89;68;29;22
2019-08-22 15:15:00;88;78;21;55;42;109;91;65;44;87;60;23;21
2019-08-22 15:30:00;84;84;25;84;42;82;95;64;44;101;70;29;28
2019-08-22 15:45:00;86;73;16;68;42;98;92;58;44;124;76;35;14
2019-08-22 16:00:00;101;98;30;59;33;102;88;59;35;122;86;27;26
2019-08-22 16:15:00;81;82;24;71;33;114;90;70;55;141;85;30;25
2019-08-22 16:30:00;76;94;27;68;42;104;93;91;59;147;93;32;23
2019-08-22 16:45:00;87;82;44;75;39;113;87;64;47;143;91;28;39
2019-08-22 17:00:00;94;94;25;68;37;86;83;57;42;112;95;36;23
2019-08-22 17:15:00;88;95;21;62;30;106;76;59;41;138;89;31;19
