DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-01-28 00:00:00;9;0;1;0;6;0;0;0;0;0;0;0;0
2020-01-28 00:15:00;5;0;0;0;9;0;0;0;0;0;0;0;0
2020-01-28 00:30:00;4;0;0;0;13;0;0;0;0;0;0;0;0
2020-01-28 00:45:00;7;0;0;0;14;0;0;0;0;0;0;0;0
2020-01-28 01:00:00;4;0;0;0;11;0;0;0;0;0;0;0;0
2020-01-28 01:15:00;7;1;0;0;8;0;0;0;0;0;0;0;0
2020-01-28 01:30:00;7;0;0;0;7;0;0;0;0;0;0;0;0
2020-01-28 01:45:00;6;0;0;0;3;0;0;0;0;0;0;0;0
2020-01-28 02:00:00;8;0;0;0;6;0;0;0;0;0;0;0;0
2020-01-28 02:15:00;6;0;0;0;5;0;0;0;0;0;0;0;0
2020-01-28 02:30:00;4;1;1;0;9;0;0;0;0;0;0;0;0
2020-01-28 02:45:00;5;0;1;0;6;0;0;0;0;0;0;0;0
2020-01-28 03:00:00;3;0;0;0;6;0;0;0;0;0;0;0;0
2020-01-28 03:15:00;5;0;0;0;9;0;0;0;0;0;0;0;0
2020-01-28 03:30:00;3;0;0;0;7;0;0;0;0;0;0;0;0
2020-01-28 03:45:00;7;0;0;0;10;0;0;0;0;0;0;0;0
2020-01-28 04:00:00;7;0;0;0;7;0;0;0;0;0;0;0;0
2020-01-28 04:15:00;13;0;1;0;10;0;0;0;0;0;0;0;0
2020-01-28 04:30:00;20;0;0;0;17;0;0;0;0;0;0;0;0
2020-01-28 04:45:00;19;1;0;1;15;1;0;0;0;0;0;0;0
2020-01-28 05:00:00;22;1;1;1;20;0;0;0;0;0;0;0;0
2020-01-28 05:15:00;48;0;2;5;38;0;0;0;0;0;0;0;0
2020-01-28 05:30:00;72;0;1;4;32;0;0;0;0;0;0;0;0
2020-01-28 05:45:00;81;1;1;4;78;0;0;0;0;0;0;0;0
2020-01-28 06:00:00;106;3;0;1;108;0;0;0;0;0;0;0;0
2020-01-28 06:15:00;124;1;3;6;88;0;0;0;0;0;0;0;0
2020-01-28 06:30:00;110;2;27;7;133;1;0;0;3;0;0;0;0
2020-01-28 06:45:00;121;1;43;10;151;3;0;3;33;0;0;6;0
2020-01-28 07:00:00;135;5;24;9;132;0;0;17;14;0;0;0;0
2020-01-28 07:15:00;185;11;4;7;118;1;0;15;3;0;0;0;0
2020-01-28 07:30:00;186;4;58;13;102;1;2;0;60;0;0;1;0
2020-01-28 07:45:00;177;7;3;8;127;0;0;7;25;0;0;0;0
2020-01-28 08:00:00;178;9;8;13;107;0;0;15;16;0;1;0;0
2020-01-28 08:15:00;146;9;50;10;120;0;0;0;12;0;0;0;0
2020-01-28 08:30:00;148;6;9;7;111;0;0;3;5;0;0;0;0
2020-01-28 08:45:00;129;8;7;7;118;0;0;8;8;0;0;1;0
2020-01-28 09:00:00;113;10;3;5;111;2;1;0;21;0;0;0;0
2020-01-28 09:15:00;127;8;6;8;94;1;1;2;2;0;0;0;0
2020-01-28 09:30:00;128;8;11;7;122;4;1;4;14;0;0;0;0
2020-01-28 09:45:00;118;12;16;11;120;3;5;20;6;0;0;0;0
2020-01-28 10:00:00;125;9;9;7;123;4;1;1;23;0;0;0;0
2020-01-28 10:15:00;129;2;5;10;109;5;6;0;1;0;0;0;0
2020-01-28 10:30:00;127;9;13;14;91;3;5;0;21;0;0;0;0
2020-01-28 10:45:00;123;12;28;16;117;7;6;11;6;0;0;0;0
2020-01-28 11:00:00;111;10;11;13;117;4;6;0;11;0;0;0;0
2020-01-28 11:15:00;130;8;11;13;141;2;4;3;0;0;0;0;0
2020-01-28 11:30:00;116;5;12;16;119;2;1;6;18;0;0;0;0
2020-01-28 11:45:00;131;10;12;17;171;1;0;3;10;0;0;0;0
2020-01-28 12:00:00;100;10;15;10;145;2;4;0;7;0;0;0;0
2020-01-28 12:15:00;109;3;18;14;145;4;2;4;18;0;0;0;0
2020-01-28 12:30:00;98;9;13;11;143;6;7;15;21;0;0;0;0
2020-01-28 12:45:00;102;9;15;22;142;1;7;0;6;0;0;0;0
