DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(TAAC);22(TARDB);23(TARDD)
2020-02-03 00:00:00;3;3;1;5;1;0;0;0
2020-02-03 00:15:00;3;0;0;5;0;0;0;0
2020-02-03 00:30:00;2;1;0;5;1;0;0;0
2020-02-03 00:45:00;0;2;0;7;2;0;0;0
2020-02-03 01:00:00;2;0;0;4;0;0;0;0
2020-02-03 01:15:00;5;0;0;3;0;0;0;0
2020-02-03 01:30:00;3;0;2;1;0;0;0;0
2020-02-03 01:45:00;3;1;0;3;0;0;0;0
2020-02-03 02:00:00;2;0;0;6;0;0;0;0
2020-02-03 02:15:00;3;0;0;4;0;0;0;0
2020-02-03 02:30:00;3;4;0;4;0;0;0;0
2020-02-03 02:45:00;4;1;1;3;0;0;0;0
2020-02-03 03:00:00;4;1;0;0;1;0;0;0
2020-02-03 03:15:00;0;0;0;6;0;0;0;0
2020-02-03 03:30:00;3;0;1;5;0;0;0;0
2020-02-03 03:45:00;2;0;0;3;0;0;0;0
2020-02-03 04:00:00;5;0;0;4;1;0;0;0
2020-02-03 04:15:00;15;0;2;6;3;0;0;0
2020-02-03 04:30:00;17;0;0;5;0;0;0;0
2020-02-03 04:45:00;16;0;1;9;0;0;0;0
2020-02-03 05:00:00;20;2;3;5;0;0;0;0
2020-02-03 05:15:00;37;11;2;14;3;0;0;0
2020-02-03 05:30:00;48;9;1;28;2;0;0;0
2020-02-03 05:45:00;69;14;8;28;1;1;0;0
2020-02-03 06:00:00;67;2;3;16;4;0;0;0
2020-02-03 06:15:00;102;12;7;36;2;0;0;0
2020-02-03 06:30:00;140;11;6;58;7;2;0;0
2020-02-03 06:45:00;139;15;6;90;18;3;0;0
2020-02-03 07:00:00;190;16;12;79;12;2;0;8
2020-02-03 07:15:00;210;23;14;93;28;9;0;0
2020-02-03 07:30:00;245;28;31;112;45;2;0;0
2020-02-03 07:45:00;185;26;54;117;65;7;0;0
2020-02-03 08:00:00;141;27;36;132;50;1;0;0
2020-02-03 08:15:00;142;15;37;120;40;3;0;0
2020-02-03 08:30:00;144;24;30;116;28;7;0;0
2020-02-03 08:45:00;108;25;23;83;19;4;0;0
2020-02-03 09:00:00;89;11;21;77;17;0;0;0
2020-02-03 09:15:00;81;13;29;67;8;6;0;0
2020-02-03 09:30:00;101;15;37;90;17;0;0;0
2020-02-03 09:45:00;79;13;31;82;12;1;0;0
2020-02-03 10:00:00;68;13;36;69;14;0;0;0
2020-02-03 10:15:00;76;17;41;80;9;0;0;0
2020-02-03 10:30:00;75;18;38;99;14;7;0;0
2020-02-03 10:45:00;96;19;37;77;16;1;0;0
2020-02-03 11:00:00;69;10;36;84;13;2;0;0
2020-02-03 11:15:00;82;13;35;93;16;4;0;0
2020-02-03 11:30:00;73;12;41;100;15;0;0;0
2020-02-03 11:45:00;72;11;22;66;17;3;0;0
2020-02-03 12:00:00;86;17;44;104;17;2;0;0
2020-02-03 12:15:00;81;12;45;111;14;3;0;0
2020-02-03 12:30:00;87;15;41;96;24;8;0;0
2020-02-03 12:45:00;94;20;32;98;17;0;0;0
2020-02-03 13:00:00;90;19;42;106;17;3;0;14
2020-02-03 13:15:00;103;17;41;128;18;0;0;0
2020-02-03 13:30:00;87;16;38;78;8;0;0;1
2020-02-03 13:45:00;83;14;41;121;20;1;0;0
2020-02-03 14:00:00;88;13;37;109;14;1;0;0
2020-02-03 14:15:00;96;9;59;102;16;1;0;0
2020-02-03 14:30:00;95;14;63;114;16;14;0;0
2020-02-03 14:45:00;102;13;49;126;22;4;0;0
2020-02-03 15:00:00;90;10;51;111;25;4;0;0
2020-02-03 15:15:00;98;17;53;132;21;2;0;0
2020-02-03 15:30:00;146;15;44;142;24;9;0;0
2020-02-03 15:45:00;147;18;60;147;20;2;0;0
2020-02-03 16:00:00;142;21;66;173;21;3;0;0
2020-02-03 16:15:00;147;12;94;174;24;7;0;0
2020-02-03 16:30:00;141;13;70;213;20;5;0;4
2020-02-03 16:45:00;149;17;70;155;20;6;0;0
2020-02-03 17:00:00;111;17;55;184;14;11;0;0
2020-02-03 17:15:00;133;16;65;178;23;9;0;0
2020-02-03 17:30:00;129;23;39;172;20;1;0;0
2020-02-03 17:45:00;105;20;56;165;14;11;0;0
2020-02-03 18:00:00;111;13;61;123;21;7;0;0
2020-02-03 18:15:00;82;11;39;121;17;7;0;0
2020-02-03 18:30:00;95;10;25;92;2;4;0;0
2020-02-03 18:45:00;81;6;36;93;6;4;0;0
2020-02-03 19:00:00;76;8;24;95;21;8;0;0
2020-02-03 19:15:00;51;6;21;83;11;1;0;0
2020-02-03 19:30:00;48;10;17;64;10;2;0;0
2020-02-03 19:45:00;49;6;19;59;8;3;0;0
2020-02-03 20:00:00;36;11;16;60;10;3;0;0
2020-02-03 20:15:00;36;9;15;52;4;1;0;0
2020-02-03 20:30:00;26;4;6;45;6;0;0;0
2020-02-03 20:45:00;19;2;7;48;5;0;0;0
2020-02-03 21:00:00;16;4;4;35;2;0;0;0
2020-02-03 21:15:00;19;10;11;34;3;0;0;0
2020-02-03 21:30:00;28;4;3;38;4;0;0;0
2020-02-03 21:45:00;19;3;11;31;3;0;0;0
2020-02-03 22:00:00;15;3;15;38;5;0;0;0
2020-02-03 22:15:00;14;4;7;29;6;0;0;0
2020-02-03 22:30:00;22;0;1;25;0;0;0;0
2020-02-03 22:45:00;20;6;3;25;6;0;0;0
2020-02-03 23:00:00;14;0;3;11;1;0;0;0
2020-02-03 23:15:00;10;2;3;17;4;0;0;0
2020-02-03 23:30:00;3;1;3;9;0;0;0;0
2020-02-03 23:45:00;2;1;0;10;0;0;0;0
