DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2019-12-26 00:00:00;0;8;7;2;4;7;3;8;6;1;7;5;4
2019-12-26 00:15:00;0;14;5;3;3;7;3;11;7;1;12;8;7
2019-12-26 00:30:00;0;11;2;0;6;10;1;8;4;1;6;8;0
2019-12-26 00:45:00;0;9;6;0;3;4;2;8;4;1;5;2;5
2019-12-26 01:00:00;0;7;5;3;4;14;3;7;5;1;5;7;1
2019-12-26 01:15:00;0;13;9;1;0;4;2;8;4;3;1;5;3
2019-12-26 01:30:00;0;4;5;0;0;5;1;8;4;0;2;5;3
2019-12-26 01:45:00;0;7;2;0;0;8;3;8;1;0;4;2;2
2019-12-26 02:00:00;0;7;8;3;5;2;4;2;0;1;2;1;3
2019-12-26 02:15:00;0;7;6;1;2;3;0;5;2;2;3;5;4
2019-12-26 02:30:00;0;5;0;1;3;7;1;3;2;0;3;1;3
2019-12-26 02:45:00;0;7;4;0;1;5;1;4;2;0;1;3;5
2019-12-26 03:00:00;0;10;5;0;2;7;0;8;2;0;3;3;4
2019-12-26 03:15:00;0;6;5;1;0;2;1;4;1;0;1;2;2
2019-12-26 03:30:00;0;6;3;0;1;1;2;7;0;0;6;3;3
2019-12-26 03:45:00;0;4;6;1;2;2;2;3;1;0;2;3;2
2019-12-26 04:00:00;0;5;4;0;0;3;0;5;3;1;0;1;1
2019-12-26 04:15:00;0;5;5;3;2;6;0;4;3;0;1;3;2
2019-12-26 04:30:00;0;3;2;0;1;4;0;6;4;0;4;4;4
2019-12-26 04:45:00;0;3;1;0;1;7;1;1;2;0;2;4;2
2019-12-26 05:00:00;0;5;0;0;0;2;0;9;1;0;3;4;2
2019-12-26 05:15:00;0;6;7;2;3;8;1;6;2;1;2;3;2
2019-12-26 05:30:00;0;9;4;1;1;5;1;13;9;0;3;3;1
2019-12-26 05:45:00;0;6;3;0;6;6;1;13;9;3;3;4;5
2019-12-26 06:00:00;0;7;3;1;2;6;0;7;1;1;4;3;6
2019-12-26 06:15:00;0;9;1;1;1;1;1;10;3;1;2;1;3
2019-12-26 06:30:00;0;5;2;1;1;4;2;9;8;1;5;4;5
2019-12-26 06:45:00;0;5;5;0;2;5;1;6;4;1;3;3;4
2019-12-26 07:00:00;0;19;9;0;3;6;2;5;2;0;4;2;6
2019-12-26 07:15:00;0;6;2;1;3;4;5;13;2;0;2;5;1
2019-12-26 07:30:00;0;7;2;1;4;7;4;9;1;0;2;7;7
2019-12-26 07:45:00;0;9;4;1;6;8;2;13;9;2;10;3;3
2019-12-26 08:00:00;0;7;4;1;4;4;3;6;1;1;4;5;10
2019-12-26 08:15:00;0;4;5;2;3;6;4;10;5;3;12;3;6
2019-12-26 08:30:00;0;9;6;1;4;10;4;15;2;3;5;8;1
2019-12-26 08:45:00;0;16;6;2;14;14;5;11;3;1;7;8;7
2019-12-26 09:00:00;0;16;12;2;5;16;7;16;6;3;12;7;10
2019-12-26 09:15:00;0;15;8;2;15;22;5;15;7;4;12;9;7
2019-12-26 09:30:00;0;9;9;3;12;23;5;22;11;4;21;14;8
2019-12-26 09:45:00;0;11;10;2;21;22;6;24;14;6;13;14;8
2019-12-26 10:00:00;0;24;14;3;16;23;7;23;9;6;18;18;11
2019-12-26 10:15:00;0;25;14;2;10;27;9;23;16;5;19;9;12
2019-12-26 10:30:00;0;21;17;1;18;30;11;19;6;5;21;18;22
2019-12-26 10:45:00;0;17;14;3;13;27;8;36;21;4;32;20;20
2019-12-26 11:00:00;0;36;30;10;17;31;9;30;20;5;28;18;23
2019-12-26 11:15:00;0;43;28;1;24;42;8;40;9;8;32;25;18
2019-12-26 11:30:00;0;33;31;6;30;48;18;34;22;22;43;33;29
2019-12-26 11:45:00;0;26;31;3;35;46;14;47;35;21;41;38;21
