DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-03-20 21:00:00;35;20;1;3;3;30;19;9;14;13;0;0
2020-03-20 21:15:00;40;17;4;7;11;38;35;17;19;13;0;0
2020-03-20 21:30:00;19;16;3;4;8;29;21;16;18;11;0;0
2020-03-20 21:45:00;17;11;0;1;4;27;25;15;10;5;0;0
2020-03-20 22:00:00;22;11;1;2;4;29;24;14;11;10;0;0
2020-03-20 22:15:00;38;15;0;2;5;18;25;21;8;13;0;0
2020-03-20 22:30:00;19;16;2;3;9;22;19;16;9;11;0;0
2020-03-20 22:45:00;16;8;3;3;8;12;15;10;13;8;0;0
2020-03-20 23:00:00;14;6;2;2;5;10;14;9;9;7;0;0
2020-03-20 23:15:00;9;6;2;2;5;23;8;6;7;4;0;0
2020-03-20 23:30:00;6;5;1;1;6;11;12;8;1;2;0;0
2020-03-20 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
