DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2019-09-25 00:00:00;9;5;15;4;3;2;1
2019-09-25 00:15:00;18;12;16;5;5;5;1
2019-09-25 00:30:00;8;5;10;2;3;5;2
2019-09-25 00:45:00;15;6;12;4;4;1;6
2019-09-25 01:00:00;7;3;3;2;2;2;1
2019-09-25 01:15:00;4;3;8;2;4;3;3
2019-09-25 01:30:00;9;4;12;2;6;3;3
2019-09-25 01:45:00;7;2;5;1;8;5;6
2019-09-25 02:00:00;2;0;7;2;1;2;1
2019-09-25 02:15:00;6;2;9;0;2;1;2
2019-09-25 02:30:00;4;2;4;0;2;7;5
2019-09-25 02:45:00;3;2;7;0;3;6;4
2019-09-25 03:00:00;8;3;8;1;2;7;2
2019-09-25 03:15:00;7;2;15;2;5;3;4
2019-09-25 03:30:00;5;5;8;2;5;5;2
2019-09-25 03:45:00;8;4;13;2;4;5;1
2019-09-25 04:00:00;8;5;18;2;2;3;1
2019-09-25 04:15:00;5;6;18;2;4;3;2
2019-09-25 04:30:00;7;7;26;5;3;4;0
2019-09-25 05:00:00;22;19;68;25;2;0;1
2019-09-25 05:15:00;42;23;106;31;2;0;1
2019-09-25 05:30:00;47;27;107;62;1;0;2
2019-09-25 05:45:00;72;53;134;68;2;0;0
2019-09-25 06:00:00;68;58;134;67;7;6;2
2019-09-25 06:15:00;76;47;170;88;5;1;1
2019-09-25 06:30:00;92;51;188;118;4;2;0
2019-09-25 06:45:00;122;76;213;119;5;1;1
2019-09-25 07:00:00;171;82;193;122;7;1;3
2019-09-25 07:15:00;188;99;208;133;16;2;3
2019-09-25 07:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2019-09-25 07:45:00;200;122;196;128;19;2;0
2019-09-25 08:00:00;162;107;155;153;14;3;0
2019-09-25 08:15:00;153;95;189;115;9;2;1
2019-09-25 08:30:00;127;80;166;85;11;2;0
2019-09-25 08:45:00;146;84;169;102;10;0;3
2019-09-25 09:00:00;122;82;155;84;14;2;1
2019-09-25 09:15:00;116;74;134;75;13;0;3
2019-09-25 09:30:00;112;66;146;72;8;3;1
2019-09-25 09:45:00;100;81;149;91;3;2;2
2019-09-25 10:00:00;143;83;144;64;11;0;3
2019-09-25 10:15:00;126;90;158;78;7;5;1
2019-09-25 10:30:00;124;96;136;79;10;4;3
2019-09-25 10:45:00;112;97;152;75;10;2;3
2019-09-25 11:00:00;138;84;155;67;13;2;1
2019-09-25 11:15:00;144;105;161;83;12;6;5
2019-09-25 11:30:00;141;93;151;91;8;4;7
2019-09-25 11:45:00;125;88;155;95;11;5;4
2019-09-25 12:00:00;149;100;175;81;9;2;6
2019-09-25 12:15:00;156;98;142;73;10;5;3
2019-09-25 12:30:00;147;91;144;91;11;4;7
2019-09-25 12:45:00;152;102;150;94;12;4;5
2019-09-25 13:00:00;146;102;193;127;10;1;5
2019-09-25 13:15:00;154;113;191;111;11;2;2
2019-09-25 13:30:00;165;100;189;109;7;3;3
2019-09-25 13:45:00;157;121;162;101;12;2;3
2019-09-25 14:00:00;139;105;167;96;7;5;8
2019-09-25 14:15:00;167;117;166;75;10;0;1
2019-09-25 14:30:00;142;125;160;89;7;3;2
2019-09-25 14:45:00;159;120;182;97;10;2;6
2019-09-25 15:00:00;182;126;178;108;10;3;2
2019-09-25 15:15:00;178;120;147;81;14;1;4
2019-09-25 15:30:00;186;144;175;106;18;4;3
2019-09-25 15:45:00;197;173;178;111;32;6;2
2019-09-25 16:00:00;184;172;211;114;25;6;6
2019-09-25 16:15:00;142;197;185;113;22;4;11
2019-09-25 16:30:00;136;184;167;110;23;7;4
2019-09-25 16:45:00;148;204;198;123;21;5;6
2019-09-25 17:00:00;155;218;181;105;38;6;7
2019-09-25 17:15:00;148;200;161;108;26;3;8
2019-09-25 17:30:00;178;209;170;100;37;6;3
2019-09-25 17:45:00;165;173;175;101;24;5;3
2019-09-25 18:00:00;141;194;180;97;41;5;2
2019-09-25 18:15:00;159;175;165;88;27;3;1
2019-09-25 18:30:00;206;129;178;109;28;2;2
2019-09-25 18:45:00;150;122;148;72;10;0;0
2019-09-25 19:00:00;148;97;150;96;8;4;2
2019-09-25 19:15:00;139;88;129;75;3;3;1
2019-09-25 19:30:00;102;96;134;77;4;1;1
2019-09-25 19:45:00;107;103;135;78;7;1;0
2019-09-25 20:00:00;76;68;118;47;6;0;0
2019-09-25 20:15:00;99;73;130;57;8;0;0
2019-09-25 20:30:00;61;47;99;45;1;1;3
2019-09-25 20:45:00;78;56;97;51;4;1;0
2019-09-25 21:00:00;64;53;101;48;1;0;1
2019-09-25 21:15:00;58;52;105;60;4;0;1
2019-09-25 21:30:00;58;43;82;45;5;1;2
2019-09-25 21:45:00;85;56;66;34;4;2;1
2019-09-25 22:00:00;62;68;73;28;3;1;2
2019-09-25 22:15:00;54;40;84;34;3;3;2
2019-09-25 22:30:00;44;34;44;15;0;0;1
2019-09-25 22:45:00;32;31;56;28;2;0;0
2019-09-25 23:00:00;35;20;46;18;5;1;7
2019-09-25 23:15:00;27;16;36;11;6;0;4
2019-09-25 23:30:00;15;15;27;10;5;4;0
2019-09-25 23:45:00;23;12;37;8;5;3;3
