DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-03-08 00:00:00;8;7;0;17;4;13;1;5;0;0;0
2020-03-08 00:15:00;7;17;0;29;3;20;0;1;0;0;0
2020-03-08 00:30:00;3;12;0;21;4;16;0;1;0;0;0
2020-03-08 00:45:00;4;13;0;21;1;16;1;3;0;0;0
2020-03-08 01:00:00;9;11;0;23;0;18;1;1;0;0;0
2020-03-08 01:15:00;5;12;0;21;3;17;1;5;0;0;0
2020-03-08 01:30:00;3;10;0;13;1;11;0;3;0;0;0
2020-03-08 01:45:00;5;12;0;15;1;11;0;4;0;0;0
2020-03-08 02:00:00;4;11;0;8;0;4;0;2;0;0;0
2020-03-08 02:15:00;2;7;0;19;2;13;0;0;0;0;0
2020-03-08 02:30:00;10;18;0;8;0;6;1;2;0;0;0
2020-03-08 02:45:00;4;4;0;9;0;4;0;2;0;0;0
2020-03-08 03:00:00;5;16;0;8;1;6;0;0;0;0;0
2020-03-08 03:15:00;3;8;0;8;0;3;0;0;0;0;0
2020-03-08 03:30:00;3;8;0;10;1;7;0;3;0;0;0
2020-03-08 03:45:00;4;6;0;11;1;8;0;2;0;0;0
2020-03-08 04:00:00;3;14;0;7;0;5;0;2;0;0;0
2020-03-08 04:15:00;5;20;0;19;1;14;0;0;0;0;0
2020-03-08 04:30:00;9;17;0;11;1;6;0;1;0;0;0
2020-03-08 04:45:00;4;9;0;9;0;5;0;1;0;0;0
2020-03-08 05:00:00;4;10;0;4;0;3;1;1;0;0;0
2020-03-08 05:15:00;8;11;0;19;3;13;0;1;0;0;0
2020-03-08 05:30:00;6;9;0;5;3;5;1;4;0;0;0
2020-03-08 05:45:00;6;10;0;12;3;6;1;3;0;0;0
2020-03-08 06:00:00;5;7;0;8;0;7;0;0;0;0;0
2020-03-08 06:15:00;2;4;0;10;0;6;0;0;0;0;0
2020-03-08 06:30:00;2;1;0;2;0;2;0;1;0;0;0
2020-03-08 06:45:00;2;2;0;5;1;2;1;2;0;0;0
2020-03-08 07:00:00;5;6;0;3;0;3;1;0;0;0;0
2020-03-08 07:15:00;6;8;0;13;1;8;0;3;0;0;0
2020-03-08 07:30:00;6;4;0;11;2;8;0;3;0;0;0
2020-03-08 07:45:00;8;11;0;4;0;1;1;0;0;0;0
2020-03-08 08:00:00;5;5;0;15;3;11;1;2;0;0;0
2020-03-08 08:15:00;4;8;0;8;1;6;1;4;0;0;0
2020-03-08 08:30:00;7;10;0;7;0;5;1;3;0;0;0
2020-03-08 08:45:00;14;15;0;14;2;14;0;2;0;0;0
2020-03-08 09:00:00;13;9;0;22;3;17;4;5;0;0;0
2020-03-08 09:15:00;14;11;0;16;3;16;3;4;0;0;0
2020-03-08 09:30:00;28;26;0;19;4;11;5;5;0;0;0
2020-03-08 09:45:00;29;29;0;28;5;24;6;10;0;0;0
2020-03-08 10:00:00;15;15;0;24;3;22;3;6;0;0;0
2020-03-08 10:15:00;16;19;0;17;2;12;1;7;0;0;0
2020-03-08 10:30:00;15;19;0;29;3;22;4;7;0;0;0
2020-03-08 10:45:00;15;18;0;27;1;21;1;7;0;0;0
2020-03-08 11:00:00;23;20;0;44;4;47;4;11;0;3;0
2020-03-08 11:15:00;21;24;0;28;1;21;5;11;0;0;0
