DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-09-03 00:00:00;0;0;0;1;0;0
2020-09-03 00:15:00;0;0;0;1;0;0
2020-09-03 00:30:00;0;0;0;0;0;0
2020-09-03 00:45:00;0;0;0;0;0;0
2020-09-03 01:00:00;0;0;0;0;0;0
2020-09-03 01:15:00;0;0;0;2;0;0
2020-09-03 01:30:00;0;0;0;1;0;0
2020-09-03 01:45:00;0;0;0;1;0;0
2020-09-03 02:00:00;0;0;0;0;0;0
2020-09-03 02:15:00;0;0;0;1;0;0
2020-09-03 02:30:00;0;0;0;0;0;0
2020-09-03 02:45:00;0;0;0;0;0;0
2020-09-03 03:00:00;0;0;0;0;0;0
2020-09-03 03:15:00;0;0;0;1;0;0
2020-09-03 03:30:00;0;0;0;1;0;0
2020-09-03 03:45:00;0;0;0;0;0;0
2020-09-03 04:00:00;0;0;0;0;0;0
2020-09-03 04:15:00;0;0;0;0;0;0
2020-09-03 04:30:00;0;0;0;0;0;0
2020-09-03 04:45:00;0;0;0;0;0;0
2020-09-03 05:00:00;0;0;0;1;3;0
2020-09-03 05:15:00;0;0;0;2;9;1
2020-09-03 05:30:00;0;0;0;11;16;2
2020-09-03 05:45:00;0;0;0;69;9;26
2020-09-03 06:00:00;0;0;0;66;9;1
2020-09-03 06:15:00;0;0;0;15;3;4
2020-09-03 06:30:00;0;0;0;10;13;8
2020-09-03 06:45:00;0;0;0;4;7;1
2020-09-03 07:00:00;0;0;0;1;11;3
2020-09-03 07:15:00;0;0;0;3;3;4
2020-09-03 07:30:00;0;0;0;1;2;3
2020-09-03 07:45:00;0;0;0;0;0;6
2020-09-03 08:00:00;0;0;0;2;0;2
2020-09-03 08:15:00;0;0;0;1;1;1
2020-09-03 08:30:00;0;0;0;0;4;1
2020-09-03 08:45:00;0;0;0;0;1;0
2020-09-03 09:00:00;0;0;0;2;0;5
2020-09-03 09:15:00;0;0;0;1;1;0
2020-09-03 09:30:00;0;0;0;2;0;0
2020-09-03 09:45:00;0;0;0;2;2;2
2020-09-03 10:00:00;0;0;0;2;4;0
2020-09-03 10:15:00;0;0;0;2;0;0
2020-09-03 10:30:00;0;0;0;2;6;0
2020-09-03 10:45:00;0;0;0;3;1;0
2020-09-03 11:00:00;0;0;0;2;0;0
2020-09-03 11:15:00;0;0;0;1;0;3
2020-09-03 11:30:00;0;0;0;2;2;0
2020-09-03 11:45:00;0;0;0;3;0;0
2020-09-03 12:00:00;0;0;0;6;2;0
2020-09-03 12:15:00;0;0;0;3;1;0
2020-09-03 12:30:00;0;0;0;1;6;0
2020-09-03 12:45:00;0;0;0;6;5;2
2020-09-03 13:00:00;0;0;0;5;4;7
2020-09-03 13:15:00;0;0;0;9;12;22
2020-09-03 13:30:00;0;0;0;5;11;13
2020-09-03 13:45:00;0;0;0;19;15;9
2020-09-03 14:00:00;21;0;0;47;12;63
2020-09-03 14:15:00;131;0;0;93;12;10
2020-09-03 14:30:00;99;0;0;31;6;5
2020-09-03 14:45:00;87;0;0;25;15;4
2020-09-03 15:00:00;90;8;0;23;21;20
2020-09-03 15:15:00;23;87;0;29;10;11
2020-09-03 15:30:00;117;2;0;15;4;2
2020-09-03 15:45:00;83;2;1;16;3;1
2020-09-03 16:00:00;92;3;2;11;4;2
2020-09-03 16:15:00;85;2;10;10;3;2
2020-09-03 16:30:00;101;5;20;14;4;1
2020-09-03 16:45:00;75;1;72;5;2;7
2020-09-03 17:00:00;76;3;67;10;0;6
2020-09-03 17:15:00;77;3;68;3;0;1
2020-09-03 17:30:00;78;2;61;4;3;2
2020-09-03 17:45:00;88;1;84;6;4;0
2020-09-03 18:00:00;60;1;60;5;1;0
2020-09-03 18:15:00;65;0;60;3;1;0
2020-09-03 18:30:00;70;0;39;4;3;3
2020-09-03 18:45:00;41;1;42;5;2;0
2020-09-03 19:00:00;41;1;48;0;0;0
2020-09-03 19:15:00;33;0;35;1;0;0
2020-09-03 19:30:00;33;0;45;0;0;0
2020-09-03 19:45:00;43;0;21;0;0;0
2020-09-03 20:00:00;28;0;33;2;0;0
2020-09-03 20:15:00;39;2;36;0;0;0
2020-09-03 20:30:00;37;1;40;0;1;0
2020-09-03 20:45:00;31;5;45;3;1;0
2020-09-03 21:00:00;38;14;105;1;6;8
2020-09-03 21:15:00;48;39;151;4;15;7
2020-09-03 21:30:00;42;24;102;39;9;16
2020-09-03 21:45:00;92;2;67;128;3;23
2020-09-03 22:00:00;127;3;39;107;33;15
2020-09-03 22:15:00;25;3;14;29;2;1
2020-09-03 22:30:00;20;0;15;7;0;2
2020-09-03 22:45:00;15;0;16;8;0;0
2020-09-03 23:00:00;16;1;10;4;0;0
2020-09-03 23:15:00;13;0;4;2;0;0
2020-09-03 23:30:00;21;1;8;0;0;0
2020-09-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
