DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-05-31 00:00:00;0;10;12;18;6;0;0
2020-05-31 00:15:00;0;14;13;16;20;3;3
2020-05-31 00:30:00;0;12;16;15;12;0;0
2020-05-31 00:45:00;0;10;12;20;6;0;0
2020-05-31 01:00:00;0;21;11;13;8;0;0
2020-05-31 01:15:00;0;9;9;16;5;0;0
2020-05-31 01:30:00;0;6;10;12;7;0;0
2020-05-31 01:45:00;0;10;6;9;4;0;0
2020-05-31 02:00:00;0;3;5;7;8;0;0
2020-05-31 02:15:00;0;3;4;7;3;0;0
2020-05-31 02:30:00;0;4;5;4;4;0;0
2020-05-31 02:45:00;0;1;1;3;2;0;0
2020-05-31 03:00:00;0;6;5;5;1;0;0
2020-05-31 03:15:00;0;1;2;4;2;0;0
2020-05-31 03:30:00;0;1;0;2;2;0;0
2020-05-31 03:45:00;0;6;3;1;4;0;0
2020-05-31 04:00:00;0;3;0;3;4;0;0
2020-05-31 04:15:00;0;5;2;2;1;1;1
2020-05-31 04:30:00;0;2;2;2;3;0;0
2020-05-31 04:45:00;0;2;4;4;1;1;1
2020-05-31 05:00:00;0;2;2;4;2;0;0
2020-05-31 05:15:00;0;4;1;7;2;1;1
2020-05-31 05:30:00;0;8;7;3;1;0;0
2020-05-31 05:45:00;0;5;2;7;4;1;1
2020-05-31 06:00:00;0;5;1;9;3;0;0
2020-05-31 06:15:00;0;9;5;18;7;1;1
2020-05-31 06:30:00;0;9;13;11;6;0;0
2020-05-31 06:45:00;0;7;2;9;5;1;1
2020-05-31 07:00:00;0;11;5;18;9;0;0
2020-05-31 07:15:00;0;18;8;11;7;1;1
2020-05-31 07:30:00;0;7;14;11;12;0;0
2020-05-31 07:45:00;0;0;21;19;17;1;1
2020-05-31 08:00:00;2;2;22;17;14;2;2
2020-05-31 08:15:00;0;0;27;20;7;0;0
2020-05-31 08:30:00;5;2;31;25;15;2;2
2020-05-31 08:45:00;1;2;50;18;19;0;0
2020-05-31 09:00:00;2;15;31;33;15;1;1
2020-05-31 09:15:00;0;26;26;35;27;0;0
2020-05-31 09:30:00;1;33;39;26;17;2;2
2020-05-31 09:45:00;9;13;70;60;45;0;0
2020-05-31 10:00:00;2;16;68;49;28;2;2
2020-05-31 10:15:00;2;32;59;51;40;1;1
2020-05-31 10:30:00;7;12;84;36;32;1;1
2020-05-31 10:45:00;18;19;68;60;46;1;1
2020-05-31 11:00:00;11;37;81;51;45;2;2
2020-05-31 11:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-31 11:30:00;5;54;63;54;51;1;1
2020-05-31 11:45:00;6;62;57;57;54;1;1
2020-05-31 12:00:00;15;54;20;71;51;2;2
2020-05-31 12:15:00;4;49;53;65;54;0;0
2020-05-31 12:30:00;6;57;62;52;48;3;2
2020-05-31 12:45:00;1;48;62;69;59;1;2
2020-05-31 13:00:00;13;60;58;53;46;2;2
2020-05-31 13:15:00;13;48;51;45;47;0;0
2020-05-31 13:30:00;2;53;64;64;57;1;1
2020-05-31 13:45:00;7;61;61;83;66;0;0
2020-05-31 14:00:00;8;76;59;80;56;2;2
2020-05-31 14:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-31 14:30:00;4;61;68;71;61;2;2
2020-05-31 14:45:00;6;66;58;82;77;0;0
2020-05-31 15:00:00;7;71;65;73;67;2;2
