DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1)
2020-12-27 00:00:00;0;0;1;1;0
2020-12-27 00:15:00;1;2;0;2;1
2020-12-27 00:30:00;1;2;0;0;1
2020-12-27 00:45:00;2;2;0;0;0
2020-12-27 01:00:00;1;1;0;1;1
2020-12-27 01:15:00;2;3;2;1;1
2020-12-27 01:30:00;0;0;0;0;0
2020-12-27 01:45:00;0;0;0;0;1
2020-12-27 02:00:00;2;2;0;0;1
2020-12-27 02:15:00;2;2;0;1;2
2020-12-27 02:30:00;0;0;0;1;0
2020-12-27 02:45:00;2;1;0;0;0
2020-12-27 03:00:00;0;0;0;0;0
2020-12-27 03:15:00;0;2;1;1;2
2020-12-27 03:30:00;0;0;0;0;0
2020-12-27 03:45:00;2;1;0;0;0
2020-12-27 04:00:00;2;1;0;1;1
2020-12-27 04:15:00;0;0;0;0;0
2020-12-27 04:30:00;1;1;0;0;1
2020-12-27 04:45:00;0;0;0;0;0
2020-12-27 05:00:00;0;0;0;0;3
2020-12-27 05:15:00;1;1;1;0;0
2020-12-27 05:30:00;7;2;0;0;2
2020-12-27 05:45:00;5;2;0;0;4
2020-12-27 06:00:00;2;0;1;1;1
2020-12-27 06:15:00;6;6;0;2;7
2020-12-27 06:30:00;3;7;0;1;4
2020-12-27 06:45:00;4;4;0;4;13
2020-12-27 07:00:00;1;1;3;4;4
2020-12-27 07:15:00;3;5;1;2;9
2020-12-27 07:30:00;4;7;0;1;5
2020-12-27 07:45:00;3;5;1;2;4
2020-12-27 08:00:00;4;2;0;1;5
2020-12-27 08:15:00;3;3;0;3;8
2020-12-27 08:30:00;2;3;0;2;6
2020-12-27 08:45:00;7;4;0;1;3
2020-12-27 09:00:00;8;1;1;1;10
2020-12-27 09:15:00;12;6;3;2;10
2020-12-27 09:30:00;9;1;1;5;16
2020-12-27 09:45:00;7;7;3;5;19
2020-12-27 10:00:00;11;3;1;3;17
2020-12-27 10:15:00;12;9;1;5;14
2020-12-27 10:30:00;15;8;3;5;18
2020-12-27 10:45:00;28;14;2;4;25
2020-12-27 11:00:00;16;8;4;5;21
2020-12-27 11:15:00;16;10;4;5;25
2020-12-27 11:30:00;23;8;5;5;25
2020-12-27 11:45:00;24;10;6;8;24
2020-12-27 12:00:00;16;4;3;4;20
2020-12-27 12:15:00;27;8;2;7;25
2020-12-27 12:30:00;17;9;4;3;23
2020-12-27 12:45:00;15;10;5;10;23
2020-12-27 13:00:00;21;6;4;4;22
2020-12-27 13:15:00;35;11;5;5;41
2020-12-27 13:30:00;33;12;6;4;27
2020-12-27 13:45:00;24;8;3;10;35
2020-12-27 14:00:00;34;14;4;9;27
2020-12-27 14:15:00;29;10;1;4;31
2020-12-27 14:30:00;27;9;1;8;29
2020-12-27 14:45:00;29;8;4;8;29
2020-12-27 15:00:00;30;14;4;3;27
2020-12-27 15:15:00;21;13;3;8;34
2020-12-27 15:30:00;28;8;5;10;19
2020-12-27 15:45:00;34;12;3;14;26
2020-12-27 16:00:00;17;8;3;4;33
2020-12-27 16:15:00;35;12;3;10;30
2020-12-27 16:30:00;23;12;2;8;32
2020-12-27 16:45:00;28;13;1;5;34
2020-12-27 17:00:00;21;9;5;7;37
2020-12-27 17:15:00;22;13;3;8;27
2020-12-27 17:30:00;16;4;3;10;24
2020-12-27 17:45:00;29;3;4;4;16
2020-12-27 18:00:00;21;8;4;4;31
2020-12-27 18:15:00;20;7;0;12;25
2020-12-27 18:30:00;21;9;2;11;14
2020-12-27 18:45:00;25;8;2;7;35
2020-12-27 19:00:00;12;7;2;4;23
2020-12-27 19:15:00;16;8;3;7;19
2020-12-27 19:30:00;19;8;2;8;27
2020-12-27 19:45:00;16;10;4;6;20
2020-12-27 20:00:00;14;7;3;15;16
2020-12-27 20:15:00;17;10;3;2;18
2020-12-27 20:30:00;18;9;1;9;23
2020-12-27 20:45:00;15;6;4;7;12
2020-12-27 21:00:00;5;4;1;2;3
2020-12-27 21:15:00;3;2;0;0;5
2020-12-27 21:30:00;3;1;1;0;1
2020-12-27 21:45:00;3;4;0;5;4
2020-12-27 22:00:00;1;2;1;1;6
2020-12-27 22:15:00;1;1;0;0;3
2020-12-27 22:30:00;1;2;0;1;2
2020-12-27 22:45:00;3;3;0;1;1
2020-12-27 23:00:00;0;0;0;0;1
2020-12-27 23:15:00;2;1;0;0;0
2020-12-27 23:30:00;0;1;0;0;2
2020-12-27 23:45:00;0;0;0;0;0
