DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-09-14 00:00:00;13;3;5;2;0;0;0;8;0;0;0;0;0
2020-09-14 00:15:00;10;2;5;2;3;2;2;15;0;0;0;0;0
2020-09-14 00:30:00;9;1;3;2;0;0;0;14;0;0;0;0;0
2020-09-14 00:45:00;7;2;5;3;0;0;0;11;0;0;0;0;0
2020-09-14 01:00:00;7;4;5;1;0;0;1;10;0;0;0;0;0
2020-09-14 01:15:00;11;2;6;2;0;0;1;8;0;0;0;0;0
2020-09-14 01:30:00;16;7;8;4;0;0;0;6;0;0;0;0;0
2020-09-14 01:45:00;8;0;2;0;0;0;0;7;0;0;0;0;0
2020-09-14 02:00:00;8;2;4;2;0;0;0;6;0;0;0;0;0
2020-09-14 02:15:00;4;0;2;1;0;0;0;4;0;0;0;0;0
2020-09-14 02:30:00;8;1;4;2;0;0;0;5;0;0;0;0;0
2020-09-14 02:45:00;7;2;2;2;0;0;0;6;0;0;0;0;0
2020-09-14 03:00:00;9;3;4;2;0;0;0;4;0;0;0;0;0
2020-09-14 03:15:00;2;0;2;0;0;0;0;3;0;0;0;0;0
2020-09-14 03:30:00;8;0;1;0;0;0;0;4;0;0;0;0;0
2020-09-14 03:45:00;2;2;4;4;0;0;0;9;0;0;0;0;0
2020-09-14 04:00:00;11;3;4;2;0;0;0;4;0;0;0;0;0
2020-09-14 04:15:00;11;4;5;3;1;1;0;10;0;0;0;0;0
2020-09-14 04:30:00;11;5;7;9;1;1;4;14;0;0;0;0;0
2020-09-14 04:45:00;15;3;4;2;1;1;1;8;0;0;0;0;0
2020-09-14 05:00:00;20;5;8;3;4;3;4;30;0;0;0;0;0
2020-09-14 05:15:00;22;8;7;4;2;2;5;42;0;0;0;0;0
2020-09-14 05:30:00;69;13;24;9;7;5;5;88;0;0;0;0;0
2020-09-14 05:45:00;57;16;20;11;7;10;5;83;0;0;0;0;0
2020-09-14 06:00:00;61;16;21;11;1;2;6;78;0;0;0;0;0
2020-09-14 06:15:00;82;14;21;10;7;9;7;80;0;0;0;0;0
2020-09-14 06:30:00;128;14;21;9;11;16;8;153;0;0;0;0;0
2020-09-14 06:45:00;124;21;31;22;8;6;18;156;0;5;0;0;0
2020-09-14 07:00:00;154;21;25;19;12;13;13;167;2;0;0;0;0
2020-09-14 07:15:00;215;24;26;19;17;17;19;174;1;2;0;0;0
2020-09-14 07:30:00;239;21;17;16;19;24;10;176;3;0;0;0;0
2020-09-14 07:45:00;186;24;33;23;22;22;32;202;2;0;0;0;0
2020-09-14 08:00:00;154;19;27;20;31;25;22;221;1;1;0;0;0
2020-09-14 08:15:00;144;25;28;21;29;31;32;180;2;1;0;0;0
2020-09-14 08:30:00;151;19;30;23;26;27;27;183;1;0;0;0;0
2020-09-14 08:45:00;188;25;30;23;32;38;27;187;4;0;0;0;0
2020-09-14 09:00:00;141;27;34;31;28;32;23;166;4;0;0;0;0
2020-09-14 09:15:00;156;26;33;22;32;30;22;190;4;0;0;0;0
2020-09-14 09:30:00;160;21;28;21;39;41;19;184;3;1;0;0;0
2020-09-14 09:45:00;148;27;24;20;32;91;22;140;3;0;0;0;0
2020-09-14 10:00:00;148;18;21;16;31;109;28;215;3;0;0;0;0
2020-09-14 10:15:00;170;22;24;19;25;32;30;195;5;1;0;0;0
2020-09-14 10:30:00;174;26;26;22;30;29;24;174;1;0;0;0;0
2020-09-14 10:45:00;168;26;25;18;27;30;25;173;2;1;0;0;0
2020-09-14 11:00:00;157;26;31;16;26;28;24;190;5;0;0;0;0
2020-09-14 11:15:00;197;21;25;21;36;37;20;180;3;3;0;0;0
2020-09-14 11:30:00;152;16;21;18;37;38;24;179;2;1;0;0;0
2020-09-14 11:45:00;152;22;28;13;41;39;27;185;3;1;0;0;0
2020-09-14 12:00:00;142;15;20;14;25;27;17;167;2;1;0;0;0
2020-09-14 12:15:00;166;21;28;15;31;36;17;175;0;0;0;0;0
2020-09-14 12:30:00;159;21;20;19;21;23;10;163;6;0;0;0;0
2020-09-14 12:45:00;184;22;24;21;18;23;20;185;0;3;0;0;0
2020-09-14 13:00:00;159;20;26;19;30;33;19;168;1;5;0;0;0
2020-09-14 13:15:00;157;23;25;18;23;23;22;225;4;5;0;0;0
2020-09-14 13:30:00;157;23;26;26;20;21;15;160;1;9;0;0;0
2020-09-14 13:45:00;177;18;24;14;33;42;18;206;2;2;0;0;0
2020-09-14 14:00:00;164;22;24;17;25;25;13;184;0;3;0;0;0
2020-09-14 14:15:00;167;25;29;25;22;20;18;167;2;1;0;0;0
2020-09-14 14:30:00;174;16;16;11;26;28;14;153;2;1;0;0;0
2020-09-14 14:45:00;166;24;29;21;28;35;24;169;2;1;0;0;0
2020-09-14 15:00:00;187;19;28;22;34;41;35;192;0;2;0;0;0
2020-09-14 15:15:00;180;19;24;22;25;29;23;215;1;1;0;0;0
2020-09-14 15:30:00;183;17;21;20;27;27;16;178;1;0;0;0;0
2020-09-14 15:45:00;225;23;23;18;25;23;20;218;1;0;0;0;0
2020-09-14 16:00:00;207;26;28;23;32;34;26;221;7;2;0;0;0
2020-09-14 16:15:00;205;24;33;29;32;34;25;233;3;2;0;0;0
2020-09-14 16:30:00;153;11;14;8;37;39;21;191;3;2;0;0;0
2020-09-14 16:45:00;216;16;23;13;38;34;19;232;0;0;0;0;0
2020-09-14 17:00:00;204;19;31;18;43;48;16;223;1;1;0;0;0
2020-09-14 17:15:00;204;28;33;24;39;40;26;232;6;1;0;0;0
2020-09-14 17:30:00;173;18;23;16;27;26;14;164;3;2;0;0;0
2020-09-14 17:45:00;207;15;21;14;25;30;18;211;8;0;0;0;0
2020-09-14 18:00:00;224;17;21;14;29;31;13;206;1;0;0;0;0
2020-09-14 18:15:00;178;16;17;8;17;18;16;191;3;0;0;0;0
2020-09-14 18:30:00;141;10;9;11;17;15;14;149;1;0;0;0;0
2020-09-14 18:45:00;163;22;26;10;15;18;12;155;0;2;0;0;0
2020-09-14 19:00:00;190;16;17;9;17;18;17;148;2;0;0;0;0
2020-09-14 19:15:00;167;19;23;9;11;11;10;129;0;0;0;0;0
2020-09-14 19:30:00;124;17;23;12;15;15;8;117;2;0;0;0;0
2020-09-14 19:45:00;121;12;16;12;24;23;11;106;0;0;0;0;0
2020-09-14 20:00:00;139;8;10;11;12;12;9;110;1;0;0;0;0
2020-09-14 20:15:00;86;13;16;8;6;10;6;102;0;0;0;0;0
2020-09-14 20:30:00;80;15;23;14;7;5;4;105;0;0;0;0;0
2020-09-14 20:45:00;64;10;18;8;7;7;4;64;0;0;0;0;0
2020-09-14 21:00:00;57;8;11;6;6;14;6;71;0;0;0;0;0
2020-09-14 21:15:00;56;14;17;6;7;4;1;68;0;0;0;0;0
