DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2019-12-27 00:00:00;4;7;7;6;12;4;16;0;7;0;0;0
2019-12-27 00:15:00;2;5;10;2;9;6;13;2;1;0;0;0
2019-12-27 00:30:00;3;7;8;2;2;3;8;1;2;0;0;0
2019-12-27 00:45:00;2;9;8;0;2;0;1;257;0;0;0;0
2019-12-27 01:00:00;3;10;8;2;3;2;8;0;1;0;0;0
2019-12-27 01:15:00;4;5;8;0;2;6;18;0;1;0;0;0
2019-12-27 01:30:00;0;6;4;4;3;5;11;0;0;0;0;0
2019-12-27 01:45:00;2;6;6;4;6;3;12;2;3;0;0;0
2019-12-27 02:00:00;1;2;2;4;4;3;8;0;1;0;0;0
2019-12-27 02:15:00;1;5;5;1;0;2;8;0;0;0;0;0
2019-12-27 02:30:00;0;1;1;0;0;0;2;0;0;0;0;0
2019-12-27 02:45:00;1;2;0;1;2;3;7;0;0;0;0;0
2019-12-27 03:00:00;0;0;0;0;1;0;0;0;0;0;0;0
2019-12-27 03:15:00;2;4;4;0;0;0;1;0;0;0;0;0
2019-12-27 03:30:00;0;0;0;0;1;2;1;0;0;0;0;0
2019-12-27 03:45:00;1;1;1;0;0;0;1;0;0;0;0;0
2019-12-27 04:00:00;1;1;1;0;0;0;1;0;0;0;0;0
2019-12-27 04:15:00;0;1;1;0;0;0;1;0;0;0;0;0
2019-12-27 04:30:00;2;1;1;0;0;0;2;0;0;0;0;0
2019-12-27 04:45:00;0;0;1;0;0;0;2;0;0;0;0;0
2019-12-27 05:00:00;2;0;1;1;0;0;1;0;0;0;0;0
2019-12-27 05:15:00;1;3;4;0;0;0;3;0;0;0;0;0
2019-12-27 05:30:00;4;9;8;0;0;1;5;0;0;0;254;0
2019-12-27 05:45:00;5;9;10;1;1;3;4;0;0;0;0;0
2019-12-27 06:00:00;8;8;8;0;1;2;6;0;0;0;0;0
2019-12-27 06:15:00;5;8;10;7;1;0;5;0;1;0;0;0
2019-12-27 06:30:00;11;10;14;0;2;1;9;0;0;0;0;0
2019-12-27 06:45:00;12;11;12;4;1;2;7;0;0;0;0;0
2019-12-27 07:00:00;7;3;9;3;1;1;10;0;1;0;0;0
2019-12-27 07:15:00;14;10;15;1;1;1;3;0;0;0;0;0
2019-12-27 07:30:00;26;27;24;1;3;3;14;2;4;0;0;0
2019-12-27 07:45:00;20;28;32;2;3;5;17;255;2;1;0;0
2019-12-27 08:00:00;27;24;27;1;4;0;8;260;3;0;0;3
2019-12-27 08:15:00;24;30;36;2;7;1;8;260;5;0;0;0
2019-12-27 08:30:00;39;36;45;1;6;9;18;509;8;0;0;2
2019-12-27 08:45:00;45;46;50;3;8;8;22;260;10;0;0;0
2019-12-27 09:00:00;58;59;61;2;12;7;21;6;11;0;0;0
2019-12-27 09:15:00;75;84;93;2;23;13;30;260;30;0;0;0
2019-12-27 09:30:00;96;109;111;7;36;16;35;13;27;0;0;0
2019-12-27 09:45:00;93;85;93;15;28;29;61;18;31;0;0;2
2019-12-27 10:00:00;112;103;105;14;13;18;51;26;33;0;0;1
2019-12-27 10:15:00;114;112;106;22;34;33;80;34;35;1;0;2
2019-12-27 10:30:00;110;91;87;15;34;49;74;30;42;2;0;0
2019-12-27 10:45:00;105;102;85;28;41;42;83;30;34;0;0;1
2019-12-27 11:00:00;127;98;83;26;39;47;90;38;44;1;0;1
2019-12-27 11:15:00;94;78;64;30;36;75;122;45;39;0;0;2
2019-12-27 11:30:00;107;82;65;41;46;52;106;44;46;2;0;0
2019-12-27 11:45:00;83;87;83;36;44;56;117;34;35;0;0;0
2019-12-27 12:00:00;97;82;84;50;35;50;90;36;33;0;0;0
2019-12-27 12:15:00;89;78;91;28;47;59;92;33;41;1;0;3
2019-12-27 12:30:00;66;79;89;36;29;63;104;59;46;2;0;7
2019-12-27 12:45:00;106;96;98;35;37;39;91;34;42;1;0;4
2019-12-27 13:00:00;99;94;73;39;33;55;108;42;38;0;0;4
2019-12-27 13:15:00;87;92;82;47;33;55;112;19;37;0;0;1
2019-12-27 13:30:00;110;88;89;44;43;61;123;30;42;0;0;8
2019-12-27 13:45:00;123;109;96;48;59;60;100;46;42;2;0;0
2019-12-27 14:00:00;107;98;93;50;45;57;102;22;37;1;0;3
2019-12-27 14:15:00;95;91;88;58;48;59;98;54;47;0;0;2
2019-12-27 14:30:00;108;91;75;72;71;65;88;56;43;1;0;3
2019-12-27 14:45:00;114;103;97;69;53;47;117;45;51;0;0;6
2019-12-27 15:00:00;81;90;74;51;58;81;102;54;42;0;0;2
2019-12-27 15:15:00;96;91;90;60;54;60;101;50;47;0;0;3
2019-12-27 15:30:00;87;87;86;71;47;47;103;52;45;0;0;8
2019-12-27 15:45:00;85;76;61;50;67;66;105;36;36;0;0;2
2019-12-27 16:00:00;102;88;89;59;46;74;121;35;41;0;0;1
2019-12-27 16:15:00;82;79;69;50;55;52;122;33;38;1;0;2
2019-12-27 16:30:00;75;71;78;68;64;57;91;28;41;0;0;1
2019-12-27 16:45:00;81;78;82;62;55;50;105;40;45;0;0;1
2019-12-27 17:00:00;73;83;81;58;57;54;113;22;81;0;0;0
2019-12-27 17:15:00;75;92;72;58;61;57;110;28;32;0;0;2
