DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DD1);11(DD2);12(TAFGA);13(TAFBA);14(TAFBB);15(TAFGC);16(TAFBC);17(TAFBDRES)
2020-04-07 00:00:00;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-04-07 00:15:00;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-04-07 00:30:00;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-07 00:45:00;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
2020-04-07 01:00:00;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
2020-04-07 01:15:00;1;2;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0
2020-04-07 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-07 01:45:00;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-04-07 02:00:00;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0
2020-04-07 02:15:00;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
2020-04-07 02:30:00;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-07 02:45:00;2;3;1;0;1;1;1;0;0;2;2;0;0;0;0;0;0
2020-04-07 03:00:00;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2020-04-07 03:15:00;0;3;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-04-07 03:30:00;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0
2020-04-07 03:45:00;1;2;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
2020-04-07 04:00:00;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0
2020-04-07 04:15:00;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-04-07 04:30:00;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0
2020-04-07 04:45:00;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
2020-04-07 05:00:00;2;1;0;0;0;0;2;5;5;0;0;0;0;0;0;0;0
2020-04-07 05:15:00;7;7;0;0;0;0;5;8;8;0;0;0;0;0;0;0;0
2020-04-07 05:30:00;8;6;0;0;1;1;5;8;8;0;0;0;0;0;0;0;0
2020-04-07 05:45:00;5;1;0;0;0;0;7;11;12;0;1;0;0;0;0;0;0
2020-04-07 06:00:00;7;3;0;1;1;1;8;12;13;0;0;0;0;0;0;0;0
2020-04-07 06:15:00;6;4;1;1;0;0;9;13;15;0;0;0;0;0;0;0;0
2020-04-07 06:30:00;12;7;2;2;0;0;8;16;18;0;0;0;0;0;0;0;0
2020-04-07 06:45:00;14;9;4;5;1;2;10;12;15;0;0;0;0;0;0;0;0
2020-04-07 07:00:00;22;15;0;1;1;1;7;13;12;0;0;0;0;0;0;0;0
2020-04-07 07:15:00;26;20;1;4;2;1;21;20;29;0;0;0;0;0;0;0;0
2020-04-07 07:30:00;29;19;2;3;2;6;14;18;19;1;0;0;0;0;0;0;0
2020-04-07 07:45:00;33;17;2;3;2;4;13;18;20;0;0;0;0;0;0;0;0
2020-04-07 08:00:00;24;17;5;4;3;2;13;15;17;0;0;0;0;0;0;0;0
2020-04-07 08:15:00;19;25;7;8;6;8;16;16;20;0;0;0;0;0;0;0;0
