DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2020-02-13 00:00:00;3;5;4;2;1;2;0;0
2020-02-13 00:15:00;1;7;5;3;2;7;0;6
2020-02-13 00:30:00;6;2;1;0;0;0;0;0
2020-02-13 00:45:00;5;0;0;1;0;0;0;1
2020-02-13 01:00:00;2;1;1;0;0;0;0;3
2020-02-13 01:15:00;1;2;1;1;2;3;0;0
2020-02-13 01:30:00;4;4;1;1;0;2;0;2
2020-02-13 01:45:00;3;5;2;2;4;1;0;0
2020-02-13 02:00:00;3;1;0;2;1;1;0;0
2020-02-13 02:15:00;0;1;0;0;0;1;0;1
2020-02-13 02:30:00;2;1;1;2;6;2;0;1
2020-02-13 02:45:00;0;2;3;2;4;1;0;0
2020-02-13 03:00:00;4;3;1;3;1;3;0;1
2020-02-13 03:15:00;2;1;0;5;3;0;0;0
2020-02-13 03:30:00;4;2;0;5;4;0;0;1
2020-02-13 03:45:00;2;3;1;1;2;3;0;4
2020-02-13 04:00:00;4;3;1;1;1;2;0;0
2020-02-13 04:15:00;4;4;2;3;1;1;0;1
2020-02-13 04:30:00;2;4;2;3;1;3;0;4
2020-02-13 04:45:00;5;10;10;6;8;4;0;4
2020-02-13 05:00:00;14;20;29;6;5;11;0;9
2020-02-13 05:15:00;20;37;63;5;3;28;0;11
2020-02-13 05:30:00;33;47;64;18;12;26;0;15
2020-02-13 05:45:00;61;64;87;45;17;24;0;27
2020-02-13 06:00:00;60;39;74;53;35;18;0;22
2020-02-13 06:15:00;67;47;92;32;32;27;0;30
2020-02-13 06:30:00;80;50;83;19;19;38;0;22
2020-02-13 06:45:00;90;56;111;24;38;38;0;46
2020-02-13 07:00:00;114;62;109;18;30;43;0;39
2020-02-13 07:15:00;129;85;88;24;47;45;0;58
2020-02-13 07:30:00;151;86;102;44;57;59;0;59
2020-02-13 07:45:00;135;119;103;23;47;75;0;107
2020-02-13 08:00:00;136;89;116;29;48;61;0;69
2020-02-13 08:15:00;120;75;102;31;37;51;0;60
2020-02-13 08:30:00;114;75;86;38;61;42;0;68
2020-02-13 08:45:00;117;71;51;31;45;39;0;40
2020-02-13 09:00:00;86;46;36;30;41;35;0;53
2020-02-13 09:15:00;84;48;37;28;27;22;0;39
2020-02-13 09:30:00;93;45;36;26;50;29;0;53
2020-02-13 09:45:00;79;55;22;36;33;34;0;58
2020-02-13 10:00:00;65;53;33;24;31;41;0;45
2020-02-13 10:15:00;71;49;32;35;38;32;0;52
2020-02-13 10:30:00;56;50;36;28;29;37;0;40
2020-02-13 10:45:00;76;38;18;22;74;31;0;51
2020-02-13 11:00:00;64;43;22;34;64;31;0;42
2020-02-13 11:15:00;64;57;28;28;29;35;0;55
2020-02-13 11:30:00;73;41;34;35;30;19;0;47
2020-02-13 11:45:00;88;45;32;29;30;38;0;63
2020-02-13 12:00:00;50;48;22;23;26;40;0;66
2020-02-13 12:15:00;71;47;35;33;36;29;0;52
2020-02-13 12:30:00;76;50;32;20;39;46;0;66
2020-02-13 12:45:00;82;50;47;27;36;50;0;72
2020-02-13 13:00:00;76;58;49;30;41;50;0;75
2020-02-13 13:15:00;79;50;49;33;45;52;0;64
2020-02-13 13:30:00;74;58;48;19;23;55;0;62
2020-02-13 13:45:00;68;59;58;46;35;44;0;78
2020-02-13 14:00:00;78;65;49;58;50;46;0;71
2020-02-13 14:15:00;93;70;25;64;58;25;0;49
2020-02-13 14:30:00;82;61;24;66;90;43;0;70
2020-02-13 14:45:00;95;71;27;63;64;34;0;67
2020-02-13 15:00:00;92;69;34;59;70;61;0;88
2020-02-13 15:15:00;86;71;29;78;65;40;0;82
2020-02-13 15:30:00;98;71;34;66;71;47;0;65
2020-02-13 15:45:00;103;75;31;74;76;44;0;114
2020-02-13 16:00:00;94;94;28;55;60;48;0;116
2020-02-13 16:15:00;111;94;22;75;75;45;0;83
2020-02-13 16:30:00;100;87;34;68;87;46;0;102
2020-02-13 16:45:00;127;94;27;61;76;44;0;74
2020-02-13 17:00:00;102;92;32;76;70;50;0;74
2020-02-13 17:15:00;106;75;42;73;64;65;0;89
2020-02-13 17:30:00;124;94;40;62;47;52;0;73
2020-02-13 17:45:00;77;56;30;69;91;44;0;70
2020-02-13 18:00:00;81;59;30;51;53;46;0;79
2020-02-13 18:15:00;77;46;36;70;41;33;0;60
2020-02-13 18:30:00;77;52;28;60;43;35;0;50
2020-02-13 18:45:00;67;36;21;56;43;17;0;46
2020-02-13 19:00:00;45;38;17;49;32;26;0;31
2020-02-13 19:15:00;47;38;19;46;22;24;0;39
2020-02-13 19:30:00;51;18;20;24;18;20;0;39
2020-02-13 19:45:00;54;27;31;34;23;21;0;36
2020-02-13 20:00:00;43;23;27;17;35;20;0;42
2020-02-13 20:15:00;45;18;18;27;29;20;0;37
2020-02-13 20:30:00;35;23;13;20;17;11;0;25
2020-02-13 20:45:00;35;29;40;18;14;19;0;34
2020-02-13 21:00:00;43;19;39;12;10;27;0;32
2020-02-13 21:15:00;26;19;41;16;6;22;0;17
2020-02-13 21:30:00;38;24;20;21;11;19;0;24
2020-02-13 21:45:00;22;11;13;45;22;12;0;23
2020-02-13 22:00:00;23;23;25;61;42;14;0;22
2020-02-13 22:15:00;25;17;14;25;21;6;0;17
2020-02-13 22:30:00;23;17;12;17;10;12;0;18
2020-02-13 22:45:00;11;9;11;7;7;9;0;8
2020-02-13 23:00:00;12;6;4;11;8;10;0;11
2020-02-13 23:15:00;7;11;9;2;5;5;0;5
2020-02-13 23:30:00;6;10;8;8;2;2;0;9
2020-02-13 23:45:00;13;5;4;10;8;8;0;4
