DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2020-12-15 00:00:00;1;1;0;0;0;0;0;0;0;0;7
2020-12-15 00:15:00;12;1;0;0;0;0;0;0;0;0;6
2020-12-15 00:30:00;7;0;0;0;0;0;0;0;0;0;1
2020-12-15 00:45:00;5;2;0;0;0;0;0;0;0;0;4
2020-12-15 01:00:00;5;0;0;0;0;0;1;0;1;0;3
2020-12-15 01:15:00;5;2;0;0;0;0;0;0;0;0;8
2020-12-15 01:30:00;3;0;0;0;0;0;0;0;0;0;1
2020-12-15 01:45:00;5;3;0;0;0;0;0;0;0;0;4
2020-12-15 02:00:00;0;0;0;0;0;0;0;0;0;0;4
2020-12-15 02:15:00;1;0;0;0;0;0;0;0;0;0;5
2020-12-15 02:30:00;4;1;0;0;0;0;0;0;0;0;2
2020-12-15 02:45:00;4;2;0;0;0;0;0;0;1;0;5
2020-12-15 03:00:00;4;0;0;0;0;0;0;0;0;0;6
2020-12-15 03:15:00;6;0;0;0;0;0;0;0;0;0;2
2020-12-15 03:30:00;2;1;0;0;0;0;0;0;0;0;9
2020-12-15 03:45:00;1;1;0;0;0;0;0;0;0;0;4
2020-12-15 04:00:00;3;1;0;0;0;0;0;0;0;0;5
2020-12-15 04:15:00;5;2;2;2;0;1;0;0;1;0;7
2020-12-15 04:30:00;7;6;0;0;0;0;0;0;0;2;6
2020-12-15 04:45:00;16;9;7;9;2;1;2;0;0;3;28
2020-12-15 05:00:00;30;32;9;9;0;0;0;0;1;3;57
2020-12-15 05:15:00;69;64;46;47;3;3;3;3;1;31;104
2020-12-15 05:30:00;84;38;50;52;4;4;4;3;6;48;55
2020-12-15 05:45:00;100;36;56;54;12;6;12;5;29;64;74
2020-12-15 06:00:00;69;37;50;50;10;9;12;9;7;41;74
2020-12-15 06:15:00;59;18;35;34;8;3;9;4;8;19;50
2020-12-15 06:30:00;56;33;33;33;6;2;8;2;4;20;51
2020-12-15 06:45:00;50;33;33;37;9;3;10;3;4;23;40
2020-12-15 07:00:00;63;22;33;31;8;6;7;5;4;29;49
2020-12-15 07:15:00;80;21;19;17;8;3;8;1;3;22;40
2020-12-15 07:30:00;83;34;28;27;8;2;9;2;5;28;45
2020-12-15 07:45:00;66;14;23;23;9;4;11;4;4;28;37
2020-12-15 08:00:00;75;21;17;17;10;4;12;4;7;16;58
2020-12-15 08:15:00;51;17;12;12;4;2;6;1;6;12;46
2020-12-15 08:30:00;62;16;4;4;6;1;7;1;6;9;35
2020-12-15 08:45:00;51;23;10;13;7;2;8;4;4;8;34
2020-12-15 09:00:00;61;14;7;7;6;6;7;5;2;6;44
2020-12-15 09:15:00;60;21;8;8;11;4;12;4;3;10;47
2020-12-15 09:30:00;77;20;6;7;9;6;7;4;4;7;41
2020-12-15 09:45:00;57;14;8;8;6;1;7;2;7;4;51
2020-12-15 10:00:00;66;24;3;3;12;9;15;8;6;9;52
2020-12-15 10:15:00;66;22;5;5;5;1;6;1;8;14;51
2020-12-15 10:30:00;59;17;4;5;8;2;9;2;5;6;45
2020-12-15 10:45:00;58;11;6;6;12;4;14;4;3;6;58
2020-12-15 11:00:00;55;21;3;3;12;0;12;1;9;7;49
2020-12-15 11:15:00;53;13;11;11;7;3;8;3;7;6;53
2020-12-15 11:30:00;51;16;4;5;10;5;11;5;10;9;64
2020-12-15 11:45:00;64;9;5;5;17;4;18;3;13;6;65
2020-12-15 12:00:00;39;17;2;2;20;6;21;5;21;7;48
2020-12-15 12:15:00;51;13;7;7;7;7;9;6;8;4;60
2020-12-15 12:30:00;56;14;2;2;12;6;12;4;8;6;66
2020-12-15 12:45:00;45;16;5;5;7;4;10;4;9;11;60
2020-12-15 13:00:00;58;21;3;3;10;7;11;6;10;7;65
2020-12-15 13:15:00;62;39;10;10;13;4;13;6;10;8;76
2020-12-15 13:30:00;72;31;18;19;16;9;17;11;12;4;78
2020-12-15 13:45:00;88;38;13;11;38;24;40;24;45;10;103
2020-12-15 14:00:00;114;50;7;9;39;25;41;24;48;12;83
2020-12-15 14:15:00;131;51;8;7;45;37;46;37;51;4;88
2020-12-15 14:30:00;125;24;6;6;36;23;34;22;45;5;98
2020-12-15 14:45:00;67;21;2;2;28;20;29;19;36;7;65
2020-12-15 15:00:00;94;29;3;3;36;21;43;22;48;9;70
2020-12-15 15:15:00;70;26;8;8;43;25;42;25;38;9;70
2020-12-15 15:30:00;92;20;1;1;35;23;34;23;32;7;82
2020-12-15 15:45:00;89;22;0;0;30;18;29;20;30;7;83
2020-12-15 16:00:00;68;17;1;1;32;29;35;28;34;12;84
2020-12-15 16:15:00;77;18;1;1;25;17;24;16;26;4;83
2020-12-15 16:30:00;87;19;2;1;38;13;41;13;16;6;89
2020-12-15 16:45:00;82;25;4;4;25;10;26;11;25;6;81
2020-12-15 17:00:00;64;9;2;2;29;15;30;15;14;8;54
2020-12-15 17:15:00;75;20;2;3;18;8;18;9;13;3;70
2020-12-15 17:30:00;66;12;3;2;25;12;31;13;13;6;69
2020-12-15 17:45:00;63;19;1;1;20;10;17;9;4;2;55
2020-12-15 18:00:00;60;19;1;1;16;8;18;8;6;4;66
2020-12-15 18:15:00;55;14;3;3;11;11;14;10;7;4;64
2020-12-15 18:30:00;38;12;1;1;15;7;16;7;11;3;44
2020-12-15 18:45:00;23;13;0;0;15;7;16;7;7;2;50
2020-12-15 19:00:00;35;5;1;0;10;7;11;7;4;2;53
2020-12-15 19:15:00;25;7;1;1;7;4;8;4;6;4;49
2020-12-15 19:30:00;29;4;1;1;12;2;12;2;6;2;33
2020-12-15 19:45:00;23;2;1;1;1;0;1;0;4;2;42
2020-12-15 20:00:00;20;4;1;1;10;2;10;2;4;3;32
2020-12-15 20:15:00;22;6;1;1;4;0;4;0;0;1;29
2020-12-15 20:30:00;28;6;3;4;3;0;3;0;2;0;37
2020-12-15 20:45:00;24;8;3;2;2;0;2;0;0;6;37
2020-12-15 21:00:00;36;21;8;8;1;2;2;1;1;5;60
2020-12-15 21:15:00;52;44;14;14;1;0;1;0;1;15;71
2020-12-15 21:30:00;75;31;8;8;3;3;5;2;4;5;30
2020-12-15 21:45:00;96;34;3;3;13;3;13;4;15;7;55
2020-12-15 22:00:00;52;10;3;2;6;3;5;2;15;1;68
2020-12-15 22:15:00;15;6;0;0;2;0;3;0;0;0;24
2020-12-15 22:30:00;7;4;0;0;2;0;2;0;1;1;8
2020-12-15 22:45:00;3;2;0;0;2;0;2;0;0;0;7
2020-12-15 23:00:00;5;0;0;0;0;0;0;0;0;0;7
2020-12-15 23:15:00;5;0;0;0;0;0;0;0;0;0;8
2020-12-15 23:30:00;6;4;0;0;0;0;0;0;0;0;6
