DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DB5);7(DC1);8(DD1);9(DD2);10(DD3);11(DD4);12(DD5);13(TAFGA);14(TAFBA);15(TAFBB);16(TAFGC);17(TAFBC);18(TAFBD)
2020-06-14 00:00:00;14;3;3;0;0;0;11;1;1;0;0;0;0;0;0;0;0;0
2020-06-14 00:15:00;16;1;2;0;0;0;12;1;1;0;0;0;0;0;0;0;0;0
2020-06-14 00:30:00;17;0;1;0;0;0;7;3;5;0;0;0;0;0;0;0;0;0
2020-06-14 00:45:00;11;1;5;0;0;0;10;1;2;0;0;0;0;0;0;0;0;0
2020-06-14 01:00:00;6;0;1;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0
2020-06-14 01:15:00;8;1;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 01:30:00;1;1;1;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0
2020-06-14 01:45:00;11;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0
2020-06-14 02:00:00;6;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 02:15:00;2;2;1;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0
2020-06-14 02:30:00;3;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 02:45:00;3;0;1;0;0;0;5;1;2;0;0;0;0;0;0;0;0;0
2020-06-14 03:00:00;3;1;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
2020-06-14 03:15:00;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 03:30:00;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 03:45:00;5;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
2020-06-14 04:00:00;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0
2020-06-14 04:15:00;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-06-14 04:30:00;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 04:45:00;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 05:00:00;10;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0
2020-06-14 05:15:00;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-06-14 05:30:00;2;1;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-06-14 05:45:00;3;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
2020-06-14 06:00:00;2;2;1;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0
2020-06-14 06:15:00;2;0;2;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0
2020-06-14 06:30:00;6;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
2020-06-14 06:45:00;3;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0
2020-06-14 07:00:00;11;3;5;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0
2020-06-14 07:15:00;8;2;1;0;0;0;5;4;1;0;0;0;0;0;0;0;0;0
2020-06-14 07:30:00;6;1;2;0;0;0;5;1;2;0;0;0;0;0;0;0;0;0
