2020-10-14 00:00:00;9;5;0;0;10;7;1;1;1;1;1;1;1;12;12;0;0;0;0;0;0;0;0
2020-10-14 00:15:00;17;14;1;1;10;9;1;0;0;1;2;3;3;20;13;0;0;0;0;0;0;0;0
2020-10-14 00:30:00;7;9;2;1;10;5;0;3;2;0;0;0;1;11;12;0;0;0;0;0;0;0;0
2020-10-14 00:45:00;4;7;0;1;3;3;1;1;2;0;0;0;0;8;4;0;0;0;0;0;0;0;0
2020-10-14 01:00:00;8;6;0;1;7;3;1;0;1;1;1;0;0;9;9;0;0;0;0;0;0;0;0
2020-10-14 01:15:00;3;3;0;0;4;2;1;2;2;1;1;0;0;5;5;0;0;0;0;0;0;0;0
2020-10-14 01:30:00;3;6;0;1;2;3;0;1;1;1;1;0;0;6;4;0;0;0;0;0;0;0;0
2020-10-14 01:45:00;4;2;0;0;8;3;0;1;1;0;0;0;1;5;10;0;0;0;0;0;0;0;0
2020-10-14 02:00:00;4;4;0;0;3;2;0;1;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0
2020-10-14 02:15:00;6;4;1;0;6;6;2;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0
2020-10-14 02:30:00;3;2;2;0;5;3;1;0;3;0;0;1;1;3;7;0;0;0;0;0;0;0;0
2020-10-14 02:45:00;6;8;0;2;5;4;0;0;1;0;0;1;1;7;5;0;0;0;0;0;0;0;0
2020-10-14 03:00:00;3;4;0;0;1;0;0;1;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0
2020-10-14 03:15:00;4;4;1;0;7;4;0;0;1;0;0;0;0;6;8;0;0;0;0;0;0;0;0
2020-10-14 03:30:00;3;4;0;1;11;6;0;2;1;2;1;0;0;4;12;0;0;0;0;0;0;0;0
2020-10-14 03:45:00;3;5;0;0;3;2;0;3;3;1;1;1;1;3;4;0;0;0;0;0;0;0;0
2020-10-14 04:00:00;5;5;0;0;3;1;1;1;1;0;0;0;0;6;3;0;0;0;0;0;0;0;0
2020-10-14 04:15:00;13;12;0;2;12;8;1;0;1;0;0;1;1;15;14;0;0;0;0;0;0;0;0
2020-10-14 04:30:00;17;12;0;2;14;10;0;2;4;0;1;0;0;21;18;0;0;0;0;0;0;0;0
2020-10-14 04:45:00;39;29;2;5;17;5;1;5;9;1;1;0;0;46;18;0;0;0;0;0;0;0;0
2020-10-14 05:00:00;55;52;5;4;23;19;1;4;8;5;5;2;2;63;31;0;0;0;0;0;0;0;0
2020-10-14 05:15:00;81;95;2;9;31;26;5;13;8;6;7;2;1;109;47;0;0;0;0;0;0;0;0
2020-10-14 05:30:00;79;116;0;12;39;30;6;15;8;5;6;5;4;114;52;0;0;0;0;0;0;0;0
2020-10-14 05:45:00;72;93;1;11;61;43;6;9;8;8;7;6;7;108;72;0;0;0;0;1;0;1;0
2020-10-14 06:00:00;77;76;6;15;73;75;7;15;10;8;8;9;9;95;104;0;0;0;0;0;0;0;0
2020-10-14 06:15:00;106;116;2;15;79;67;10;18;6;17;13;10;11;138;111;2;3;0;0;0;0;0;0
2020-10-14 06:30:00;123;148;5;17;58;66;10;27;9;10;32;13;9;162;90;0;0;0;0;0;0;0;0
2020-10-14 06:45:00;117;147;3;25;78;60;5;32;11;13;15;6;9;144;102;0;0;0;0;0;0;0;0
2020-10-14 07:00:00;119;155;6;27;63;65;7;28;19;15;13;15;15;141;95;0;0;0;0;0;0;2;0
2020-10-14 07:15:00;170;193;6;39;93;81;13;52;24;20;25;21;25;151;112;3;15;0;0;0;0;0;0
2020-10-14 07:30:00;147;178;7;50;92;86;10;51;51;22;33;29;31;131;119;0;0;0;0;0;0;0;0
2020-10-14 07:45:00;154;214;12;59;108;100;16;38;38;27;24;20;21;144;141;0;0;0;0;0;0;0;0
2020-10-14 08:00:00;92;109;6;28;59;66;14;31;23;14;32;15;15;109;83;0;0;0;0;0;0;0;0
2020-10-14 08:15:00;136;138;6;28;92;82;16;33;36;16;14;15;15;165;113;0;0;0;0;0;0;0;4
