DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-06-18 00:00:00;4;5;4;1;3;3;0;0;1
2020-06-18 00:15:00;6;1;1;5;3;4;2;0;3
2020-06-18 00:30:00;1;2;2;3;2;6;2;0;0
2020-06-18 00:45:00;9;2;1;5;1;8;3;0;2
2020-06-18 01:00:00;2;2;1;1;0;5;3;0;1
2020-06-18 01:15:00;5;3;2;3;2;1;3;0;1
2020-06-18 01:30:00;1;1;1;1;1;4;3;0;2
2020-06-18 01:45:00;1;1;1;3;2;4;2;0;1
2020-06-18 02:00:00;2;2;1;1;1;2;0;0;0
2020-06-18 02:15:00;1;1;2;4;1;2;1;0;2
2020-06-18 02:30:00;1;0;0;3;1;2;0;0;0
2020-06-18 02:45:00;4;1;1;3;1;0;0;0;0
2020-06-18 03:00:00;4;0;1;5;0;2;0;0;1
2020-06-18 03:15:00;2;3;0;1;0;3;1;0;1
2020-06-18 03:30:00;2;1;1;4;0;2;0;0;3
2020-06-18 03:45:00;3;1;2;4;0;2;2;0;3
2020-06-18 04:00:00;4;1;0;2;1;1;4;0;1
2020-06-18 04:15:00;3;2;0;4;2;5;1;0;1
2020-06-18 04:30:00;6;0;1;10;1;5;3;0;6
2020-06-18 05:00:00;14;7;0;15;9;12;10;0;2
2020-06-18 05:15:00;25;8;7;20;12;21;14;0;3
2020-06-18 05:30:00;46;20;6;31;17;27;32;0;3
2020-06-18 05:45:00;30;22;5;38;26;45;43;0;7
2020-06-18 06:00:00;27;22;3;52;55;49;56;0;10
2020-06-18 06:15:00;45;26;13;51;54;67;77;0;13
2020-06-18 06:30:00;50;30;7;40;36;90;102;0;16
2020-06-18 06:45:00;57;40;8;40;44;128;119;0;16
2020-06-18 07:00:00;51;32;10;31;21;107;125;0;21
2020-06-18 07:15:00;48;28;11;31;24;142;143;0;17
2020-06-18 07:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 07:45:00;77;36;22;41;34;124;107;0;16
2020-06-18 08:00:00;48;38;15;32;19;84;98;0;11
2020-06-18 08:15:00;51;32;24;29;19;65;71;0;10
2020-06-18 08:30:00;53;26;11;35;26;71;72;0;20
2020-06-18 08:45:00;67;32;11;32;29;66;69;0;18
2020-06-18 09:00:00;57;29;19;29;20;51;58;0;15
2020-06-18 09:15:00;58;35;24;39;25;63;69;0;10
2020-06-18 09:30:00;64;38;27;38;29;56;72;0;15
2020-06-18 09:45:00;73;46;21;36;39;55;72;0;27
2020-06-18 10:00:00;64;38;22;41;32;43;54;0;29
2020-06-18 10:15:00;78;35;8;47;41;69;60;0;17
2020-06-18 10:30:00;79;49;31;45;45;68;63;0;25
2020-06-18 10:45:00;50;46;18;52;45;53;55;0;26
2020-06-18 11:00:00;73;49;22;42;24;43;60;0;23
2020-06-18 11:15:00;65;46;34;45;41;56;51;0;27
2020-06-18 11:30:00;66;43;21;49;45;58;62;0;23
2020-06-18 11:45:00;61;52;13;45;42;59;52;0;18
2020-06-18 12:00:00;91;53;29;53;44;53;59;0;25
2020-06-18 12:15:00;68;54;23;54;48;60;73;0;24
2020-06-18 12:30:00;82;43;27;47;46;63;63;0;19
2020-06-18 12:45:00;82;63;20;55;46;66;75;0;22
2020-06-18 13:00:00;85;66;22;51;47;46;54;0;33
2020-06-18 13:15:00;116;81;15;47;50;57;63;0;18
2020-06-18 13:30:00;114;71;20;48;36;58;69;0;24
2020-06-18 13:45:00;95;78;26;62;59;72;80;0;19
2020-06-18 14:00:00;70;54;21;72;52;61;81;0;19
2020-06-18 14:15:00;71;65;20;72;73;65;78;0;21
2020-06-18 14:30:00;89;66;25;98;80;82;68;0;23
2020-06-18 14:45:00;85;49;30;76;67;75;78;0;24
2020-06-18 15:00:00;94;73;19;68;63;78;80;0;21
2020-06-18 15:15:00;92;76;27;88;81;73;80;0;17
2020-06-18 15:30:00;84;75;30;85;75;67;75;0;22
2020-06-18 15:45:00;110;89;23;79;66;82;74;0;19
2020-06-18 16:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 16:15:00;125;102;24;76;46;103;91;0;20
2020-06-18 16:30:00;124;105;21;71;66;82;72;0;20
2020-06-18 16:45:00;117;135;30;49;40;80;86;0;16
2020-06-18 17:00:00;134;140;31;78;51;94;90;0;17
2020-06-18 17:15:00;114;96;25;84;63;94;91;0;13
2020-06-18 17:30:00;113;87;18;70;67;84;76;0;15
2020-06-18 17:45:00;102;64;21;79;61;67;77;0;19
2020-06-18 18:00:00;101;79;21;62;55;69;64;0;15
2020-06-18 18:15:00;101;65;19;62;59;70;89;0;16
2020-06-18 18:30:00;75;55;19;56;52;60;65;0;16
2020-06-18 18:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-18 19:00:00;80;37;21;43;27;50;41;0;12
