DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-11-09 00:00:00;4;5;12;4;0;0
2020-11-09 00:15:00;10;7;10;5;0;0
2020-11-09 00:30:00;4;2;8;6;0;0
2020-11-09 00:45:00;7;2;4;5;0;0
2020-11-09 01:00:00;1;0;5;4;0;0
2020-11-09 01:15:00;5;1;8;4;0;0
2020-11-09 01:30:00;4;4;6;4;0;0
2020-11-09 01:45:00;6;6;1;1;0;0
2020-11-09 02:00:00;9;3;3;0;0;0
2020-11-09 02:15:00;8;5;2;1;0;0
2020-11-09 02:30:00;6;2;4;3;0;0
2020-11-09 02:45:00;2;1;6;3;0;0
2020-11-09 03:00:00;6;2;6;7;0;0
2020-11-09 03:15:00;5;4;1;1;0;0
2020-11-09 03:30:00;8;4;2;2;0;0
2020-11-09 03:45:00;7;3;8;1;0;0
2020-11-09 04:00:00;8;4;12;6;0;0
2020-11-09 04:15:00;9;6;12;10;0;0
2020-11-09 04:30:00;17;17;25;7;0;0
2020-11-09 04:45:00;17;15;45;17;0;0
2020-11-09 05:00:00;30;21;82;62;0;0
2020-11-09 05:15:00;42;41;139;107;0;0
2020-11-09 05:30:00;47;52;127;139;0;0
2020-11-09 05:45:00;54;60;111;118;0;0
2020-11-09 06:00:00;62;76;119;106;0;0
2020-11-09 06:15:00;56;53;117;112;0;0
2020-11-09 06:30:00;77;84;164;179;2;0
2020-11-09 06:45:00;78;100;122;125;0;0
2020-11-09 07:00:00;65;82;111;118;43;0
2020-11-09 07:15:00;75;71;113;142;2;0
2020-11-09 07:30:00;83;84;111;130;116;2
2020-11-09 07:45:00;81;103;117;130;18;1
2020-11-09 08:00:00;83;103;108;103;14;0
2020-11-09 08:15:00;95;83;114;107;7;2
2020-11-09 08:30:00;92;83;96;87;3;0
2020-11-09 08:45:00;103;101;128;114;11;0
2020-11-09 09:00:00;78;77;102;87;7;0
2020-11-09 09:15:00;91;81;107;96;5;0
2020-11-09 09:30:00;92;90;90;88;9;0
2020-11-09 09:45:00;87;98;104;100;26;0
2020-11-09 10:00:00;99;99;115;88;2;0
2020-11-09 10:15:00;82;86;72;62;6;0
2020-11-09 10:30:00;103;92;119;89;1;0
2020-11-09 10:45:00;113;91;119;95;25;13
2020-11-09 11:00:00;119;114;96;73;11;4
2020-11-09 11:15:00;67;81;105;81;8;0
2020-11-09 11:30:00;107;127;108;98;23;0
2020-11-09 11:45:00;96;120;88;67;1;0
2020-11-09 12:00:00;94;94;91;71;8;0
2020-11-09 12:15:00;97;96;92;87;13;0
2020-11-09 12:30:00;100;120;100;69;6;0
2020-11-09 12:45:00;88;121;105;96;15;1
2020-11-09 13:00:00;82;106;123;94;9;0
2020-11-09 13:15:00;133;137;147;147;47;1
2020-11-09 13:30:00;101;136;142;160;12;0
2020-11-09 13:45:00;110;115;132;139;20;0
2020-11-09 14:00:00;130;171;124;108;15;0
2020-11-09 14:15:00;168;204;94;75;10;0
2020-11-09 14:30:00;182;236;103;108;18;1
2020-11-09 14:45:00;112;160;80;84;2;0
2020-11-09 15:00:00;165;197;99;90;11;0
2020-11-09 15:15:00;143;175;100;82;11;0
2020-11-09 15:30:00;167;186;99;102;15;4
2020-11-09 15:45:00;158;210;109;102;104;0
2020-11-09 16:00:00;136;176;87;79;15;0
2020-11-09 16:15:00;156;199;105;101;32;0
2020-11-09 16:30:00;154;184;110;105;8;0
2020-11-09 16:45:00;161;198;126;106;15;0
2020-11-09 17:00:00;136;149;92;107;106;3
2020-11-09 17:15:00;131;180;101;98;26;2
2020-11-09 17:30:00;113;147;107;95;8;0
2020-11-09 17:45:00;105;136;87;85;15;2
2020-11-09 18:00:00;119;120;84;65;3;0
2020-11-09 18:15:00;82;115;80;63;7;0
2020-11-09 18:30:00;89;93;69;53;9;0
2020-11-09 18:45:00;78;96;71;56;3;0
2020-11-09 19:00:00;70;81;51;34;5;0
2020-11-09 19:15:00;72;78;47;39;0;0
2020-11-09 19:30:00;52;52;54;36;0;0
2020-11-09 19:45:00;34;45;41;35;0;0
2020-11-09 20:00:00;42;53;56;45;0;0
2020-11-09 20:15:00;40;25;53;35;0;0
2020-11-09 20:30:00;36;34;52;29;2;0
2020-11-09 20:45:00;22;26;56;39;0;0
2020-11-09 21:00:00;36;33;113;103;0;0
2020-11-09 21:15:00;38;31;110;122;3;0
2020-11-09 21:30:00;47;41;77;52;7;10
2020-11-09 21:45:00;101;122;21;22;0;0
2020-11-09 22:00:00;122;153;42;30;0;0
2020-11-09 22:15:00;68;96;29;14;0;0
2020-11-09 22:30:00;24;24;27;15;0;0
2020-11-09 22:45:00;14;11;11;6;0;0
2020-11-09 23:00:00;14;16;16;13;0;0
2020-11-09 23:15:00;17;16;16;6;0;0
2020-11-09 23:30:00;13;10;20;10;0;0
2020-11-09 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
