DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(TAFGC)
2020-10-15 00:00:00;3;1;0;0;0;11;0;11;0;0;0
2020-10-15 00:15:00;4;2;1;0;0;4;3;4;2;1;0
2020-10-15 00:30:00;3;3;1;0;0;3;2;4;0;2;0
2020-10-15 00:45:00;3;1;1;0;0;4;2;3;4;4;0
2020-10-15 01:00:00;3;3;3;0;0;7;3;7;1;1;0
2020-10-15 01:15:00;4;1;1;0;0;3;1;3;1;1;0
2020-10-15 01:30:00;6;3;2;0;0;4;1;4;1;2;0
2020-10-15 01:45:00;4;4;4;1;0;2;6;2;1;1;0
2020-10-15 02:00:00;3;3;1;0;0;4;6;4;1;1;0
2020-10-15 02:15:00;6;6;5;0;0;5;4;4;1;1;0
2020-10-15 02:30:00;2;0;0;0;0;7;4;7;0;2;0
2020-10-15 02:45:00;3;2;1;0;0;4;1;4;1;2;0
2020-10-15 03:00:00;2;2;2;0;0;7;7;6;3;4;0
2020-10-15 03:15:00;7;2;2;0;0;8;5;8;1;4;0
2020-10-15 03:30:00;10;3;2;0;0;2;3;2;2;3;0
2020-10-15 03:45:00;9;5;4;1;0;3;4;3;0;1;0
2020-10-15 04:00:00;6;0;0;0;0;2;3;2;0;2;0
2020-10-15 04:15:00;3;3;3;0;1;3;5;3;1;2;0
2020-10-15 04:30:00;14;3;3;0;0;7;2;7;2;5;0
2020-10-15 04:45:00;15;6;4;0;0;8;7;8;2;2;0
2020-10-15 05:00:00;31;5;6;0;0;22;9;22;2;3;0
2020-10-15 05:15:00;39;1;2;0;0;25;7;25;5;3;0
2020-10-15 05:30:00;48;4;1;0;0;45;11;45;1;3;0
2020-10-15 05:45:00;96;10;5;0;0;43;12;43;4;6;0
2020-10-15 06:00:00;83;6;5;0;3;60;9;60;6;8;0
2020-10-15 06:15:00;100;9;7;0;1;62;10;62;6;7;0
2020-10-15 06:30:00;171;5;4;1;0;93;13;93;8;7;0
2020-10-15 06:45:00;179;7;0;0;1;79;17;81;5;2;0
2020-10-15 07:00:00;224;4;1;1;0;58;11;57;5;6;0
2020-10-15 07:15:00;208;1;0;1;0;76;21;76;7;4;0
2020-10-15 07:30:00;194;3;1;0;4;74;11;75;3;7;4
2020-10-15 07:45:00;172;3;1;0;2;71;11;72;4;10;0
2020-10-15 08:00:00;141;9;3;1;0;87;13;81;7;2;2
2020-10-15 08:15:00;149;2;1;0;3;55;17;55;13;6;0
2020-10-15 08:30:00;112;4;1;0;1;52;23;52;10;11;0
2020-10-15 08:45:00;105;3;2;0;2;73;18;72;15;11;2
2020-10-15 09:00:00;97;3;0;1;4;66;22;66;18;17;0
2020-10-15 09:15:00;123;4;4;0;1;60;25;60;22;6;0
2020-10-15 09:30:00;90;2;1;0;5;166;29;78;32;7;1
2020-10-15 09:45:00;109;1;0;0;1;69;29;69;29;16;2
2020-10-15 10:00:00;92;0;0;0;1;65;25;65;25;10;1
2020-10-15 10:15:00;103;2;1;0;1;64;34;64;33;12;0
2020-10-15 10:30:00;90;3;0;0;2;81;33;80;31;8;0
2020-10-15 10:45:00;91;2;1;0;2;80;32;81;27;15;0
2020-10-15 11:00:00;93;2;2;0;6;90;24;90;42;10;0
2020-10-15 11:15:00;96;3;1;0;4;90;43;91;28;11;3
2020-10-15 11:30:00;113;2;0;1;0;97;33;96;31;8;0
2020-10-15 11:45:00;85;1;0;0;3;81;36;80;29;12;0
2020-10-15 12:00:00;87;1;1;0;3;87;35;86;29;14;2
2020-10-15 12:15:00;102;7;9;1;2;87;35;88;34;9;3
2020-10-15 12:30:00;96;3;2;1;0;92;25;92;29;22;0
2020-10-15 12:45:00;98;7;5;2;1;82;31;81;21;17;2
2020-10-15 13:00:00;103;5;1;0;1;91;32;91;25;5;0
2020-10-15 13:15:00;115;2;0;0;3;96;29;97;23;17;0
2020-10-15 13:30:00;107;4;2;1;2;113;21;113;32;18;0
2020-10-15 13:45:00;115;0;0;0;1;102;15;102;21;19;1
2020-10-15 14:00:00;116;4;2;0;0;100;30;100;12;15;0
2020-10-15 14:15:00;105;3;1;0;0;122;33;124;26;13;0
2020-10-15 14:30:00;116;6;3;0;2;126;25;124;21;11;1
2020-10-15 14:45:00;133;3;0;0;6;127;32;125;22;14;0
2020-10-15 15:00:00;119;8;3;0;1;111;23;111;24;15;0
2020-10-15 15:15:00;121;2;2;1;1;144;34;142;25;13;0
2020-10-15 15:30:00;137;3;3;0;1;149;26;150;26;12;0
2020-10-15 15:45:00;138;6;2;0;1;155;26;153;31;14;0
2020-10-15 16:00:00;126;3;1;0;3;166;15;165;17;8;0
2020-10-15 16:15:00;165;3;2;2;2;181;21;183;18;6;2
2020-10-15 16:30:00;145;2;1;1;1;205;20;204;13;11;0
2020-10-15 16:45:00;126;1;0;0;1;182;12;182;14;12;1
2020-10-15 17:00:00;134;2;0;2;2;204;15;207;18;11;0
2020-10-15 17:15:00;141;1;2;0;4;170;16;173;14;4;2
2020-10-15 17:30:00;133;4;1;0;2;126;15;124;10;5;0
2020-10-15 17:45:00;114;4;4;0;0;160;12;159;9;8;0
2020-10-15 18:00:00;83;2;1;0;2;134;14;136;10;7;0
2020-10-15 18:15:00;86;3;1;1;0;125;3;124;5;4;0
2020-10-15 18:30:00;79;2;1;0;1;104;13;104;10;0;0
2020-10-15 18:45:00;74;3;3;0;1;88;9;88;9;6;0
2020-10-15 19:00:00;65;4;1;0;0;75;2;74;1;0;0
2020-10-15 19:15:00;47;2;0;0;1;70;4;70;3;0;0
2020-10-15 19:30:00;36;3;1;0;1;56;5;57;3;0;0
2020-10-15 19:45:00;38;5;1;0;1;61;9;61;3;1;0
2020-10-15 20:00:00;32;2;0;0;0;62;2;62;2;0;0
2020-10-15 20:15:00;25;2;1;0;0;49;3;49;0;0;0
2020-10-15 20:30:00;35;4;1;1;0;34;3;34;0;0;0
2020-10-15 20:45:00;27;3;0;0;0;33;3;33;1;1;0
2020-10-15 21:00:00;33;5;1;0;0;57;2;56;0;0;0
2020-10-15 21:15:00;22;2;1;0;0;31;1;31;1;0;0
2020-10-15 21:30:00;23;6;4;0;0;21;1;21;1;0;0
2020-10-15 21:45:00;28;3;2;0;1;27;1;27;2;3;0
2020-10-15 22:00:00;13;0;0;0;0;34;1;34;3;1;0
2020-10-15 22:15:00;29;2;2;1;0;43;2;43;2;0;0
2020-10-15 22:30:00;9;1;0;0;0;32;0;32;1;1;0
2020-10-15 22:45:00;9;0;0;0;0;17;1;17;0;0;0
2020-10-15 23:00:00;16;7;3;0;0;8;1;8;0;0;0
2020-10-15 23:15:00;9;4;2;0;0;10;4;10;0;0;0
2020-10-15 23:30:00;9;3;2;0;0;12;3;12;5;3;0
2020-10-15 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
