DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-02-20 00:00:00;11;13;9;10;5;4;2;4;0;1;0
2020-02-20 00:15:00;9;14;14;22;8;4;2;6;0;1;0
2020-02-20 00:30:00;12;15;10;14;4;0;0;0;0;0;2
2020-02-20 00:45:00;6;8;12;11;1;2;2;2;0;2;1
2020-02-20 01:00:00;6;10;3;13;2;2;1;7;0;0;1
2020-02-20 01:15:00;8;9;7;6;2;0;0;3;0;1;0
2020-02-20 01:30:00;9;9;8;6;5;0;0;0;0;1;2
2020-02-20 01:45:00;6;6;5;9;2;2;1;0;0;0;0
2020-02-20 02:00:00;10;16;7;6;0;3;0;2;0;0;0
2020-02-20 02:15:00;8;9;6;3;0;0;0;0;0;0;0
2020-02-20 02:30:00;13;13;10;3;3;1;0;1;0;0;0
2020-02-20 02:45:00;7;8;7;3;0;0;0;1;0;0;0
2020-02-20 03:00:00;4;7;4;6;5;1;0;1;0;1;2
2020-02-20 03:15:00;5;6;2;10;6;4;0;0;0;0;0
2020-02-20 03:30:00;8;10;7;6;6;0;0;3;0;0;2
2020-02-20 03:45:00;4;5;3;7;9;4;0;1;0;0;1
2020-02-20 04:00:00;12;12;7;3;3;1;0;1;0;1;0
2020-02-20 04:15:00;13;16;6;12;6;0;0;2;0;0;2
2020-02-20 04:30:00;17;19;15;15;14;5;1;2;0;6;2
2020-02-20 04:45:00;51;54;28;9;7;6;1;6;0;7;10
2020-02-20 05:00:00;60;63;60;37;25;10;3;9;0;10;10
2020-02-20 05:15:00;71;82;67;24;20;16;20;19;0;14;19
2020-02-20 05:30:00;104;113;89;37;35;22;5;19;0;23;27
2020-02-20 05:45:00;110;129;87;54;55;22;8;41;0;18;23
2020-02-20 06:00:00;92;112;69;69;51;17;5;36;0;15;20
2020-02-20 06:15:00;138;164;117;71;53;34;33;33;0;32;44
2020-02-20 06:30:00;146;171;129;77;55;47;12;30;0;25;46
2020-02-20 06:45:00;159;186;158;106;78;33;9;26;0;34;42
2020-02-20 07:00:00;152;181;172;125;96;45;17;30;0;35;58
2020-02-20 07:15:00;160;190;154;155;124;65;32;34;0;38;64
2020-02-20 07:30:00;163;192;154;119;124;62;45;43;0;49;78
