DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-10-17 00:00:00;7;9;1;1;11;13;6;5;6;3;629;0;0
2020-10-17 00:15:00;9;9;0;0;11;16;8;6;6;4;831;0;72
2020-10-17 00:30:00;4;8;0;0;6;13;7;2;4;0;1091;1;0
2020-10-17 00:45:00;6;7;0;1;10;12;5;2;5;5;1869;0;0
2020-10-17 01:00:00;5;7;0;1;4;6;11;3;10;2;975;0;0
2020-10-17 01:15:00;6;10;1;0;7;8;5;2;8;4;861;0;0
2020-10-17 01:30:00;1;4;0;0;3;5;3;1;4;2;1201;0;0
2020-10-17 01:45:00;2;1;0;1;4;7;10;5;3;2;835;0;0
2020-10-17 02:00:00;4;3;0;0;5;6;7;3;3;2;1754;0;0
2020-10-17 02:15:00;0;3;0;0;2;6;5;0;3;1;920;0;0
2020-10-17 02:30:00;0;3;0;0;3;7;2;2;7;3;962;0;1
2020-10-17 02:45:00;1;2;0;0;2;6;6;5;7;2;1119;0;0
2020-10-17 03:00:00;5;2;0;0;3;1;6;4;3;0;867;0;1
2020-10-17 03:15:00;2;1;0;0;3;1;5;3;0;0;1406;0;0
2020-10-17 03:30:00;1;1;0;0;3;3;1;2;1;0;916;0;0
2020-10-17 03:45:00;2;1;0;1;3;3;0;2;2;0;753;0;0
2020-10-17 04:00:00;3;2;0;0;4;4;4;6;2;1;1235;0;0
2020-10-17 04:15:00;1;0;0;0;1;1;1;0;1;0;821;0;0
2020-10-17 04:30:00;0;1;1;0;4;7;2;2;3;1;1784;0;0
2020-10-17 04:45:00;6;3;0;0;3;3;3;2;5;0;932;0;0
2020-10-17 05:00:00;0;0;0;1;3;3;8;6;2;2;677;0;0
2020-10-17 05:15:00;1;0;0;0;2;5;22;12;7;2;967;0;0
2020-10-17 05:30:00;4;2;0;1;8;11;29;14;8;5;436;0;0
2020-10-17 05:45:00;3;1;0;0;23;17;16;7;5;2;1836;0;0
2020-10-17 06:00:00;9;4;1;0;19;16;6;1;8;7;792;0;2
2020-10-17 06:15:00;7;5;1;1;14;20;18;7;8;3;923;0;10
2020-10-17 06:30:00;7;6;0;0;10;14;19;11;15;2;1027;0;0
2020-10-17 06:45:00;8;3;0;2;21;21;17;3;7;8;543;0;1
2020-10-17 07:00:00;13;7;0;0;9;9;13;7;14;5;1390;0;0
2020-10-17 07:15:00;6;4;0;0;11;13;16;5;8;4;1133;0;1
