DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-11-30 00:00:00;5;1;0;0;7;2;0;0;4;0;0
2020-11-30 00:15:00;3;4;3;1;6;5;0;0;5;0;0
2020-11-30 00:30:00;4;3;1;1;9;4;0;0;2;0;0
2020-11-30 00:45:00;4;3;1;1;5;7;1;0;7;0;0
2020-11-30 01:00:00;5;7;2;0;4;2;0;0;4;0;0
2020-11-30 01:15:00;5;4;0;0;6;1;0;0;0;0;0
2020-11-30 01:30:00;9;10;0;0;4;3;0;0;4;0;0
2020-11-30 01:45:00;3;8;0;0;3;2;0;0;2;0;0
2020-11-30 02:00:00;6;5;1;1;2;1;1;0;3;0;0
2020-11-30 02:15:00;5;4;2;0;2;2;0;0;3;0;0
2020-11-30 02:30:00;5;5;1;0;2;2;0;0;1;0;0
2020-11-30 02:45:00;5;4;1;0;2;0;0;0;0;0;0
2020-11-30 03:00:00;5;5;1;1;6;1;0;0;6;0;0
2020-11-30 03:15:00;5;4;1;0;2;3;1;0;2;0;0
2020-11-30 03:30:00;8;6;0;1;3;1;0;0;4;0;0
2020-11-30 03:45:00;10;5;0;1;4;3;1;0;5;1;0
2020-11-30 04:00:00;7;6;0;0;7;6;0;0;9;0;0
2020-11-30 04:15:00;10;4;0;0;6;2;1;0;2;0;0
2020-11-30 04:30:00;19;10;0;0;5;4;0;0;6;0;0
2020-11-30 04:45:00;21;22;1;0;13;5;0;0;8;0;0
2020-11-30 05:00:00;30;24;1;1;40;16;0;0;17;0;0
2020-11-30 05:15:00;36;36;5;1;40;30;1;0;31;0;0
2020-11-30 05:30:00;56;62;13;1;46;25;0;0;33;0;0
2020-11-30 05:45:00;63;75;13;2;55;30;3;0;39;0;0
2020-11-30 06:00:00;63;64;22;10;99;53;2;0;61;0;0
2020-11-30 06:15:00;70;85;32;5;112;53;3;0;60;0;1
2020-11-30 06:30:00;84;109;33;29;138;102;11;0;109;0;9
2020-11-30 06:45:00;82;112;14;10;99;92;3;0;97;0;7
2020-11-30 07:00:00;79;107;10;4;111;114;5;0;124;2;6
2020-11-30 07:15:00;81;94;9;6;157;181;7;0;185;4;2
2020-11-30 07:30:00;88;117;15;8;132;156;8;0;158;2;4
2020-11-30 07:45:00;94;121;15;11;117;118;14;0;122;7;2
2020-11-30 08:00:00;85;103;12;12;116;105;10;0;114;5;2
2020-11-30 08:15:00;96;129;13;14;96;95;4;0;97;5;4
2020-11-30 08:30:00;95;106;13;4;111;88;5;0;98;3;0
2020-11-30 08:45:00;77;109;14;12;89;85;5;0;91;3;0
2020-11-30 09:00:00;71;108;18;14;96;92;8;0;98;2;7
2020-11-30 09:15:00;80;111;13;12;93;91;11;0;101;4;0
2020-11-30 09:30:00;87;92;10;14;91;89;7;0;90;8;37
2020-11-30 09:45:00;91;110;16;7;100;98;11;0;105;5;1
2020-11-30 10:00:00;91;105;17;6;103;78;14;0;89;12;6
2020-11-30 10:15:00;100;102;9;9;100;97;10;0;88;9;0
2020-11-30 10:30:00;104;109;9;7;112;85;11;0;98;5;6
2020-11-30 10:45:00;105;124;13;7;106;95;9;0;95;6;2
2020-11-30 11:00:00;97;120;12;7;112;116;9;0;127;8;6
2020-11-30 11:15:00;83;148;21;9;102;85;9;0;94;9;0
2020-11-30 11:30:00;82;105;8;11;97;81;9;0;86;4;18
2020-11-30 11:45:00;102;115;15;41;106;96;4;0;99;2;4
2020-11-30 12:00:00;103;137;10;11;103;102;3;0;107;4;23
2020-11-30 12:15:00;98;110;15;6;116;101;5;0;118;4;5
2020-11-30 12:30:00;100;111;14;7;108;122;7;0;134;4;23
2020-11-30 12:45:00;88;117;17;8;96;115;9;0;110;6;18
2020-11-30 13:00:00;112;145;16;13;120;112;10;0;124;4;0
2020-11-30 13:15:00;81;139;14;6;103;118;8;0;120;5;5
2020-11-30 13:30:00;115;145;18;9;100;104;10;0;104;4;11
2020-11-30 13:45:00;90;112;15;8;136;126;7;0;128;10;14
2020-11-30 14:00:00;107;136;20;11;98;115;6;0;125;4;6
2020-11-30 14:15:00;94;124;15;8;103;109;9;0;117;5;4
2020-11-30 14:30:00;80;156;16;17;113;121;13;0;124;14;2
2020-11-30 14:45:00;68;186;8;16;100;101;9;0;111;9;3
2020-11-30 15:00:00;102;136;10;14;107;102;8;0;112;8;0
2020-11-30 15:15:00;118;161;23;14;125;136;10;0;123;6;14
2020-11-30 15:30:00;110;148;19;22;143;145;12;0;149;15;6
