DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2020-09-18 00:00:00;7;7;2;2;0;4;14;3;0;2;0
2020-09-18 00:15:00;10;4;3;1;0;2;15;3;0;1;0
2020-09-18 00:30:00;6;5;3;1;0;3;12;2;0;1;0
2020-09-18 00:45:00;3;4;1;1;1;3;13;4;0;2;0
2020-09-18 01:00:00;9;6;2;0;0;2;18;3;0;3;0
2020-09-18 01:15:00;10;2;2;1;0;2;10;2;0;3;0
2020-09-18 01:30:00;4;8;0;1;0;1;8;1;0;1;0
2020-09-18 01:45:00;3;3;1;2;0;2;13;0;0;2;0
2020-09-18 02:00:00;3;5;2;0;0;1;7;1;0;0;0
2020-09-18 02:15:00;7;4;0;0;0;0;9;1;0;0;0
2020-09-18 02:30:00;6;7;0;0;0;2;3;3;0;0;0
2020-09-18 02:45:00;9;1;0;3;2;3;11;1;0;0;0
2020-09-18 03:00:00;2;3;0;0;0;1;7;2;0;0;0
2020-09-18 03:15:00;9;6;1;0;0;4;9;0;0;0;0
2020-09-18 03:30:00;0;2;1;1;0;5;13;3;0;0;0
2020-09-18 03:45:00;4;5;0;2;0;3;16;1;0;0;0
2020-09-18 04:00:00;7;5;0;1;0;5;17;7;1;3;0
2020-09-18 04:15:00;9;6;4;2;0;6;13;0;0;0;0
2020-09-18 04:30:00;11;14;2;1;0;1;24;4;0;2;0
2020-09-18 04:45:00;18;8;5;1;0;1;31;13;0;2;0
2020-09-18 05:00:00;18;15;6;5;0;6;68;58;1;4;0
2020-09-18 05:15:00;37;21;14;7;0;9;102;83;0;2;0
2020-09-18 05:30:00;43;30;21;4;0;11;97;91;0;3;1
2020-09-18 05:45:00;97;31;34;22;3;33;96;90;0;3;0
2020-09-18 06:00:00;135;45;48;14;2;19;88;80;1;6;0
2020-09-18 06:15:00;116;41;45;25;7;31;102;109;1;10;0
2020-09-18 06:30:00;59;43;39;29;7;39;119;137;0;7;2
2020-09-18 06:45:00;82;43;45;36;10;49;106;106;1;12;2
2020-09-18 07:00:00;61;36;34;46;23;70;94;105;1;12;0
2020-09-18 07:15:00;71;42;40;72;21;85;106;121;3;15;1
2020-09-18 07:30:00;79;42;46;48;25;71;121;133;1;10;0
2020-09-18 07:45:00;72;36;41;27;10;40;108;123;2;12;0
2020-09-18 08:00:00;98;37;32;32;12;41;109;115;1;12;1
2020-09-18 08:15:00;85;34;39;28;4;36;97;104;3;6;0
2020-09-18 08:30:00;95;43;34;29;4;35;103;89;1;5;3
2020-09-18 08:45:00;77;40;32;29;6;34;80;68;2;11;2
2020-09-18 09:00:00;84;39;29;20;7;27;94;78;0;9;0
