DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-06-04 00:00:00;2;6;1;1;4;14;9;2;3;9;7;2;1
2020-06-04 00:15:00;10;4;0;2;5;7;9;4;3;5;4;2;0
2020-06-04 00:30:00;5;1;0;2;4;8;5;1;0;1;4;1;0
2020-06-04 00:45:00;1;1;0;0;2;9;6;1;1;2;1;0;0
2020-06-04 01:00:00;2;3;0;1;1;2;4;0;2;3;2;0;1
2020-06-04 01:15:00;4;1;0;0;1;7;0;0;0;1;2;3;0
2020-06-04 01:30:00;1;0;1;0;1;10;0;0;0;0;0;0;1
2020-06-04 01:45:00;6;0;1;1;1;3;2;1;0;2;2;0;1
2020-06-04 02:00:00;0;0;0;0;3;3;0;0;0;0;1;0;0
2020-06-04 02:15:00;5;0;0;1;1;6;2;1;1;0;1;0;0
2020-06-04 02:30:00;1;0;1;1;3;7;0;1;1;3;3;0;1
2020-06-04 02:45:00;5;0;2;1;0;10;0;0;0;2;1;0;2
2020-06-04 03:00:00;6;0;0;0;1;9;7;2;0;1;2;1;0
2020-06-04 03:15:00;7;5;0;6;0;6;0;2;1;2;3;1;0
2020-06-04 03:30:00;6;1;1;0;2;10;6;1;0;3;6;0;1
2020-06-04 03:45:00;8;3;1;1;2;9;8;2;1;0;7;3;1
2020-06-04 04:00:00;7;2;2;1;5;6;2;2;1;4;8;1;1
2020-06-04 04:15:00;5;4;2;1;3;12;3;4;2;3;4;1;2
2020-06-04 04:30:00;13;1;0;3;11;23;3;1;1;2;3;1;0
2020-06-04 04:45:00;18;5;0;1;8;24;12;2;0;2;3;1;0
2020-06-04 05:00:00;35;17;3;6;13;22;17;6;2;2;2;0;3
2020-06-04 05:15:00;28;16;2;15;19;34;32;10;5;6;5;0;2
2020-06-04 05:30:00;29;16;8;22;25;49;37;17;4;3;2;1;8
2020-06-04 05:45:00;38;36;2;19;24;54;53;18;10;12;7;1;4
2020-06-04 06:00:00;16;9;3;5;11;25;33;8;4;5;2;1;3
2020-06-04 06:15:00;0;2;0;0;0;0;0;2;0;0;0;0;0
2020-06-04 06:30:00;62;44;13;44;44;104;99;37;30;31;13;5;12
2020-06-04 06:45:00;63;55;14;65;39;97;120;60;36;30;14;5;14
2020-06-04 07:00:00;70;52;18;45;38;86;87;39;25;34;17;4;16
2020-06-04 07:15:00;63;70;13;48;44;98;100;43;30;46;21;10;13
2020-06-04 07:30:00;67;73;23;47;44;93;90;54;41;44;23;10;21
2020-06-04 07:45:00;62;54;30;51;44;116;115;67;35;43;25;17;31
2020-06-04 08:00:00;52;56;23;43;35;99;89;57;39;42;29;11;24
2020-06-04 08:30:00;69;62;24;54;32;74;85;59;38;36;27;10;22
2020-06-04 08:45:00;63;44;17;57;32;94;88;51;41;51;36;16;19
2020-06-04 09:00:00;51;35;20;44;23;84;83;48;43;58;25;16;19
2020-06-04 09:15:00;74;83;21;68;29;77;82;55;40;59;46;17;20
2020-06-04 09:30:00;86;64;16;63;38;86;83;66;45;95;33;17;15
2020-06-04 09:45:00;81;71;25;70;40;91;75;67;54;77;39;14;25
2020-06-04 10:00:00;69;58;25;86;39;84;90;72;46;75;60;25;27
2020-06-04 10:15:00;89;63;27;73;36;115;96;70;59;83;66;22;27
2020-06-04 10:30:00;87;68;25;73;40;99;83;69;48;78;70;28;27
2020-06-04 10:45:00;87;77;27;77;37;91;77;57;51;80;68;31;27
2020-06-04 11:00:00;82;69;21;83;35;97;84;63;36;89;70;37;20
2020-06-04 11:15:00;85;84;31;70;39;92;103;74;49;100;78;40;29
2020-06-04 11:30:00;90;73;26;76;36;117;110;72;46;84;71;31;21
2020-06-04 11:45:00;87;94;19;66;37;113;82;66;46;101;85;36;19
2020-06-04 12:00:00;88;79;18;75;40;109;104;69;58;99;75;32;17
2020-06-04 12:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 12:30:00;92;81;17;78;41;80;70;63;54;112;81;38;18
2020-06-04 12:45:00;88;71;20;78;42;108;90;64;51;114;64;41;18
2020-06-04 13:00:00;87;74;30;75;36;95;82;54;47;99;67;33;28
2020-06-04 13:15:00;81;75;20;73;38;109;92;71;54;106;79;35;20
2020-06-04 13:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 13:45:00;90;99;26;71;38;100;100;67;49;111;71;23;26
2020-06-04 14:00:00;103;93;23;74;36;106;86;49;47;93;60;32;22
2020-06-04 14:15:00;92;70;34;63;42;121;111;79;50;102;74;40;30
2020-06-04 14:30:00;96;103;31;76;47;125;93;63;40;85;66;34;31
2020-06-04 14:45:00;80;93;26;65;50;111;117;74;50;97;77;25;25
2020-06-04 15:00:00;105;93;23;62;42;110;107;75;56;85;70;36;23
2020-06-04 15:15:00;83;82;31;70;34;100;102;60;50;103;79;35;30
2020-06-04 15:30:00;107;105;32;87;47;101;115;80;66;101;64;32;27
2020-06-04 15:45:00;99;84;26;84;41;115;94;71;55;85;84;34;27
2020-06-04 16:00:00;106;100;31;82;35;121;109;69;49;112;88;27;29
2020-06-04 16:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 16:30:00;108;109;34;87;44;130;108;72;63;106;81;32;29
2020-06-04 16:45:00;103;115;32;103;40;131;118;71;53;124;89;31;31
