DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-12-24 21:00:00;26;17;4;3;10;25;47;36;21;12;0;0
2019-12-24 21:15:00;26;11;4;3;5;22;23;20;19;7;0;0
2019-12-24 21:30:00;23;10;2;3;9;38;41;26;19;10;0;0
2019-12-24 21:45:00;20;11;1;0;4;24;30;20;17;16;0;0
2019-12-24 22:00:00;26;15;2;5;9;39;45;34;22;16;0;0
2019-12-24 22:15:00;31;13;1;2;5;24;38;29;15;8;0;0
2019-12-24 22:30:00;20;13;4;7;13;35;36;19;17;9;0;0
2019-12-24 22:45:00;18;17;1;1;3;25;22;18;24;6;0;0
2019-12-24 23:00:00;19;10;1;3;7;27;35;25;21;8;0;0
2019-12-24 23:15:00;22;6;1;3;5;32;41;24;12;11;0;0
2019-12-24 23:30:00;21;13;0;5;10;26;30;21;18;7;0;0
