DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2020-10-24 00:00:00;11;4;3;7;5;4;0;2
2020-10-24 00:15:00;11;6;2;4;4;7;0;8
2020-10-24 00:30:00;6;6;5;1;1;4;0;3
2020-10-24 00:45:00;4;2;0;0;1;2;0;6
2020-10-24 01:00:00;6;5;4;6;4;6;0;3
2020-10-24 01:15:00;5;1;1;1;2;6;0;2
2020-10-24 01:30:00;5;5;3;1;0;0;0;5
2020-10-24 01:45:00;2;1;0;3;7;6;0;3
2020-10-24 02:00:00;4;3;2;1;0;0;0;4
2020-10-24 02:15:00;5;3;1;2;4;1;0;1
2020-10-24 02:30:00;1;2;1;3;1;1;0;2
2020-10-24 02:45:00;2;2;1;2;3;1;0;0
2020-10-24 03:00:00;1;2;1;1;3;0;0;0
2020-10-24 03:15:00;1;0;0;2;3;1;0;0
2020-10-24 03:30:00;0;1;1;2;3;0;0;0
2020-10-24 03:45:00;2;0;0;1;1;1;0;0
2020-10-24 04:00:00;3;2;1;1;2;0;0;3
2020-10-24 04:15:00;1;1;1;2;0;0;0;1
2020-10-24 04:30:00;0;3;2;1;0;2;0;0
2020-10-24 04:45:00;4;6;4;1;1;1;0;1
2020-10-24 05:00:00;4;10;6;4;0;2;0;0
2020-10-24 05:15:00;3;12;15;6;5;10;0;2
2020-10-24 05:30:00;14;12;15;11;5;18;0;4
2020-10-24 05:45:00;11;17;12;23;19;6;0;12
2020-10-24 06:00:00;10;9;3;67;35;8;0;6
2020-10-24 06:15:00;11;8;4;10;6;4;0;3
2020-10-24 06:30:00;21;13;6;16;10;14;0;8
2020-10-24 06:45:00;12;6;3;4;3;6;0;11
2020-10-24 07:00:00;10;9;2;7;7;8;0;5
2020-10-24 07:15:00;16;5;3;7;10;7;0;8
2020-10-24 07:30:00;21;15;5;12;15;6;0;9
2020-10-24 07:45:00;24;15;9;16;18;9;0;13
2020-10-24 08:00:00;22;9;7;9;11;7;0;4
2020-10-24 08:15:00;15;14;8;11;12;6;0;11
2020-10-24 08:30:00;24;16;10;17;16;10;0;18
2020-10-24 08:45:00;32;28;8;14;20;16;0;20
2020-10-24 09:00:00;17;19;16;21;24;11;0;15
2020-10-24 09:15:00;26;23;14;25;29;17;0;23
2020-10-24 09:30:00;48;24;17;24;25;12;0;19
2020-10-24 09:45:00;40;44;19;25;26;16;0;33
2020-10-24 10:00:00;41;32;16;22;50;21;0;24
2020-10-24 10:15:00;62;43;14;22;18;14;0;21
2020-10-24 10:30:00;45;27;15;20;23;31;0;39
2020-10-24 10:45:00;38;28;19;35;43;27;0;30
2020-10-24 11:00:00;43;31;27;21;19;30;0;32
2020-10-24 11:15:00;41;32;20;21;22;30;0;28
2020-10-24 11:30:00;52;26;23;34;19;25;0;37
2020-10-24 11:45:00;39;46;15;33;44;22;0;34
2020-10-24 12:00:00;48;42;28;28;23;25;0;36
2020-10-24 12:15:00;43;44;27;28;25;38;0;40
2020-10-24 12:30:00;36;37;31;27;53;24;0;35
2020-10-24 12:45:00;46;26;25;28;27;35;0;40
2020-10-24 13:00:00;49;39;24;29;55;39;0;37
2020-10-24 13:15:00;59;42;28;34;44;21;0;37
