DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2020-05-26 00:00:00;1;1;1;1;0;3;10;8
2020-05-26 00:15:00;4;12;6;2;4;5;9;4
2020-05-26 00:30:00;2;6;4;0;0;2;4;5
2020-05-26 00:45:00;1;3;1;2;2;6;7;3
2020-05-26 01:00:00;3;8;3;3;4;3;8;4
2020-05-26 01:15:00;4;4;2;3;3;6;3;5
2020-05-26 01:30:00;4;1;4;5;4;7;3;2
2020-05-26 01:45:00;5;7;4;0;1;4;5;0
2020-05-26 02:00:00;5;4;3;0;0;1;4;3
2020-05-26 02:15:00;4;6;4;2;0;3;10;3
2020-05-26 02:30:00;5;4;3;4;3;6;1;1
2020-05-26 02:45:00;4;0;1;2;3;4;9;2
2020-05-26 03:00:00;5;5;2;0;1;1;9;3
2020-05-26 03:15:00;4;4;3;8;7;8;2;3
2020-05-26 03:30:00;7;8;1;1;2;6;5;3
2020-05-26 03:45:00;6;3;2;2;4;6;9;7
2020-05-26 04:00:00;4;5;4;5;3;6;4;6
2020-05-26 04:15:00;9;9;3;8;4;12;9;6
2020-05-26 04:30:00;11;4;3;9;6;8;11;2
2020-05-26 04:45:00;17;14;6;8;5;13;13;2
2020-05-26 05:00:00;27;11;10;4;3;12;24;10
2020-05-26 05:15:00;33;32;26;13;15;25;28;11
2020-05-26 05:30:00;40;31;32;21;13;38;28;17
2020-05-26 05:45:00;56;47;51;27;25;70;55;26
2020-05-26 06:00:00;31;31;45;30;29;74;41;26
2020-05-26 06:15:00;45;40;39;36;43;114;78;51
2020-05-26 06:30:00;56;60;48;54;63;157;70;57
2020-05-26 06:45:00;54;57;45;68;95;182;74;80
2020-05-26 07:00:00;54;48;40;46;68;168;91;105
2020-05-26 07:15:00;51;50;37;58;91;181;85;99
2020-05-26 07:30:00;59;70;45;76;77;162;96;105
2020-05-26 07:45:00;74;78;51;94;108;166;87;111
2020-05-26 08:00:00;61;77;28;82;61;131;65;58
2020-05-26 08:15:00;68;69;39;97;65;136;63;52
2020-05-26 08:30:00;74;73;25;89;59;123;68;65
2020-05-26 08:45:00;65;58;26;118;64;136;58;48
2020-05-26 09:00:00;68;55;22;133;60;117;71;66
2020-05-26 09:15:00;69;64;32;86;63;127;77;72
2020-05-26 09:30:00;82;77;29;35;53;104;82;76
2020-05-26 09:45:00;76;76;32;46;48;107;61;67
2020-05-26 10:00:00;74;87;32;42;62;118;61;70
2020-05-26 10:15:00;76;76;36;46;61;106;75;101
2020-05-26 10:30:00;75;73;27;45;55;115;83;75
2020-05-26 10:45:00;83;93;20;42;54;107;87;104
