DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2019-11-18 00:00:00;3;6;4;3;4;4;10;2
2019-11-18 00:15:00;5;3;3;4;2;7;9;5
2019-11-18 00:30:00;3;3;0;2;2;1;4;3
2019-11-18 00:45:00;1;5;1;1;3;3;6;5
2019-11-18 01:00:00;4;5;2;1;0;0;4;1
2019-11-18 01:15:00;2;2;2;2;4;1;2;0
2019-11-18 01:30:00;0;1;1;1;0;1;3;0
2019-11-18 01:45:00;1;1;0;0;1;4;5;1
2019-11-18 02:00:00;1;1;1;2;2;0;0;1
2019-11-18 02:15:00;1;1;0;0;1;1;1;0
2019-11-18 02:30:00;3;1;0;1;2;1;1;2
2019-11-18 02:45:00;2;1;0;0;0;0;2;0
2019-11-18 03:00:00;2;1;1;1;0;0;4;0
2019-11-18 03:15:00;3;1;0;0;2;0;2;2
2019-11-18 03:30:00;1;0;1;2;2;0;2;1
2019-11-18 03:45:00;4;5;1;0;2;2;4;1
2019-11-18 04:00:00;4;3;0;1;0;0;2;3
2019-11-18 04:15:00;5;4;2;1;2;0;5;0
2019-11-18 04:30:00;3;3;3;1;1;2;7;1
2019-11-18 04:45:00;5;9;16;3;5;4;7;1
2019-11-18 05:00:00;6;15;24;4;3;19;23;5
2019-11-18 05:15:00;21;31;82;9;2;31;39;16
2019-11-18 05:30:00;29;28;61;12;11;40;49;21
2019-11-18 05:45:00;47;45;68;17;11;21;41;22
2019-11-18 06:00:00;39;37;65;9;8;22;28;16
2019-11-18 06:15:00;42;40;88;19;13;24;25;18
2019-11-18 06:30:00;59;41;108;14;20;47;55;29
2019-11-18 06:45:00;69;54;109;21;44;57;65;57
2019-11-18 07:00:00;78;55;103;21;26;57;81;65
2019-11-18 07:15:00;108;57;119;26;48;71;67;68
2019-11-18 07:30:00;114;99;91;30;64;64;85;67
2019-11-18 07:45:00;129;105;101;27;54;74;76;69
2019-11-18 08:00:00;107;73;98;24;55;67;88;78
2019-11-18 08:15:00;86;63;94;38;32;54;82;79
2019-11-18 08:30:00;76;54;66;44;36;47;71;53
2019-11-18 08:45:00;74;60;63;37;44;46;64;52
2019-11-18 09:00:00;64;50;48;22;33;43;77;48
2019-11-18 09:15:00;62;53;37;29;38;43;61;38
2019-11-18 09:30:00;73;43;31;30;34;37;81;66
2019-11-18 09:45:00;64;35;35;22;64;40;80;49
2019-11-18 10:00:00;67;42;31;54;48;54;67;48
2019-11-18 10:15:00;70;58;33;39;32;30;62;37
2019-11-18 10:30:00;49;50;16;29;44;36;61;38
