DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DC1);7(DD1);8(DD2);9(DD3);10(tafga);11(tafgc);12(tafba);13(tafbb);14(tafbc);15(tafbd)
2020-08-02 00:00:00;17;9;0;6;6;4;0;3;4;0;0;0;0;0;0
2020-08-02 00:15:00;15;12;0;9;9;7;0;6;5;0;0;0;0;0;0
2020-08-02 00:30:00;18;13;2;8;9;2;0;5;5;0;0;0;0;0;0
2020-08-02 00:45:00;17;6;0;3;4;2;0;3;4;0;0;0;0;0;0
2020-08-02 01:00:00;13;2;0;2;2;4;0;5;6;0;0;0;0;0;0
2020-08-02 01:15:00;10;3;0;3;3;2;0;5;5;0;0;0;0;0;0
2020-08-02 01:30:00;10;7;0;6;6;1;0;2;2;0;0;0;0;0;0
2020-08-02 01:45:00;9;5;0;4;4;1;0;4;4;0;0;0;0;0;0
2020-08-02 02:00:00;12;4;0;3;3;4;0;2;2;0;0;0;0;0;0
2020-08-02 02:15:00;6;3;0;2;3;1;0;3;5;0;0;0;0;0;0
2020-08-02 02:30:00;3;4;0;2;1;5;0;1;1;0;0;0;0;0;0
2020-08-02 02:45:00;7;0;0;0;0;0;0;7;7;0;0;0;0;0;0
2020-08-02 03:00:00;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0
2020-08-02 03:15:00;4;1;0;1;1;1;0;2;2;0;0;0;0;0;0
2020-08-02 03:30:00;2;1;0;1;1;1;0;2;2;0;0;0;0;0;0
2020-08-02 03:45:00;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-02 04:00:00;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-08-02 04:15:00;4;1;0;0;0;0;0;2;1;0;0;0;0;0;0
2020-08-02 04:30:00;3;4;0;3;3;0;0;0;0;0;0;0;0;0;0
2020-08-02 04:45:00;3;2;0;1;2;0;0;0;0;0;0;0;0;0;0
2020-08-02 05:00:00;2;2;0;4;2;0;0;0;0;0;0;0;0;0;0
2020-08-02 05:15:00;5;2;0;2;2;1;0;1;1;0;0;0;0;0;0
2020-08-02 05:30:00;2;2;0;2;2;1;0;2;2;0;0;0;0;0;0
2020-08-02 05:45:00;8;3;0;3;3;1;0;1;1;0;0;0;0;0;0
2020-08-02 06:00:00;4;1;1;1;1;2;0;1;1;0;0;0;0;0;0
2020-08-02 06:15:00;7;4;1;2;2;5;0;2;3;0;0;0;0;0;0
2020-08-02 06:30:00;4;3;0;3;3;2;0;2;2;0;0;0;0;0;0
2020-08-02 06:45:00;5;6;0;6;6;2;0;2;2;0;0;0;0;0;0
2020-08-02 07:00:00;6;3;0;2;2;2;0;1;1;0;0;0;0;0;0
2020-08-02 07:15:00;7;3;0;2;2;4;0;3;1;0;0;0;0;0;0
2020-08-02 07:30:00;9;5;0;2;2;7;0;3;5;0;0;0;0;0;0
2020-08-02 07:45:00;8;5;1;4;4;5;0;3;3;0;0;0;0;0;0
2020-08-02 08:00:00;10;6;0;4;5;2;0;6;6;0;0;0;0;0;0
2020-08-02 08:15:00;13;8;1;7;7;4;0;7;8;0;0;0;0;0;0
2020-08-02 08:30:00;15;6;1;5;5;8;0;7;7;0;0;0;0;0;0
2020-08-02 08:45:00;23;8;2;6;6;9;0;13;11;0;0;0;0;0;0
2020-08-02 09:00:00;17;9;1;8;8;14;0;4;5;0;0;0;0;0;0
2020-08-02 09:15:00;16;8;0;8;9;11;0;3;2;0;0;0;0;0;0
2020-08-02 09:30:00;24;13;1;12;11;16;0;10;10;0;1;0;0;0;0
2020-08-02 09:45:00;34;26;1;23;26;19;0;11;9;0;0;0;0;0;0
2020-08-02 10:00:00;46;29;2;23;24;21;0;11;9;0;0;0;0;0;0
2020-08-02 10:15:00;30;17;0;17;16;13;0;8;8;0;0;0;0;0;0
2020-08-02 10:30:00;33;19;1;17;18;12;0;16;14;0;0;0;0;0;0
2020-08-02 10:45:00;31;23;1;20;21;16;0;10;11;0;0;0;0;0;0
2020-08-02 11:00:00;38;14;0;14;13;13;0;13;11;0;0;0;0;0;0
2020-08-02 11:15:00;29;25;0;22;18;12;0;13;15;0;0;0;0;0;0
2020-08-02 11:30:00;29;22;7;20;22;12;0;14;14;0;4;0;0;0;0
2020-08-02 11:45:00;42;25;0;23;23;15;0;11;11;0;0;0;0;0;0
2020-08-02 12:00:00;42;19;1;14;15;13;0;12;12;0;0;0;0;0;0
2020-08-02 12:15:00;48;25;5;23;23;10;0;6;5;1;0;0;0;0;0
2020-08-02 12:30:00;47;24;0;20;21;15;0;16;14;0;0;0;0;0;0
2020-08-02 12:45:00;39;27;0;27;23;13;0;13;13;1;0;0;0;0;0
2020-08-02 13:00:00;36;22;1;17;17;11;0;12;13;0;0;0;0;0;0
2020-08-02 13:15:00;38;19;0;17;18;18;0;14;16;0;0;0;0;0;0
2020-08-02 13:30:00;30;24;1;23;21;15;0;9;8;0;0;0;0;0;0
2020-08-02 13:45:00;39;25;0;21;22;12;0;18;15;0;0;0;0;0;0
2020-08-02 14:00:00;36;19;0;18;18;12;0;11;12;0;0;0;0;0;0
2020-08-02 14:15:00;39;31;4;27;28;17;0;18;20;1;1;0;0;0;0
2020-08-02 14:30:00;32;27;2;26;24;17;0;11;12;0;0;0;0;0;0
