DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2020-02-07 00:00:00;8;6;2;3;2;3;0;2
2020-02-07 00:15:00;4;5;2;2;2;7;0;4
2020-02-07 00:30:00;3;3;4;1;1;1;0;1
2020-02-07 00:45:00;5;5;1;0;1;1;0;0
2020-02-07 01:00:00;1;2;0;0;0;1;0;0
2020-02-07 01:15:00;0;2;1;2;1;1;0;1
2020-02-07 01:30:00;1;1;2;1;0;1;0;0
2020-02-07 01:45:00;1;3;3;0;0;1;0;2
2020-02-07 02:00:00;1;3;1;2;1;1;0;0
2020-02-07 02:15:00;0;2;1;1;2;1;0;2
2020-02-07 02:30:00;0;0;0;2;2;1;0;0
2020-02-07 02:45:00;6;3;0;0;1;0;0;3
2020-02-07 03:00:00;1;2;2;1;3;1;0;0
2020-02-07 03:15:00;2;0;0;1;1;0;0;0
2020-02-07 03:30:00;1;1;0;0;5;1;0;0
2020-02-07 03:45:00;2;3;1;2;2;1;0;2
2020-02-07 04:00:00;6;4;1;0;0;0;0;0
2020-02-07 04:15:00;1;4;4;3;2;1;0;1
2020-02-07 04:30:00;4;1;2;3;0;0;0;2
2020-02-07 04:45:00;5;9;8;1;3;6;0;1
2020-02-07 05:00:00;3;23;33;10;8;17;0;5
2020-02-07 05:15:00;21;45;75;4;2;43;0;14
2020-02-07 05:30:00;31;36;64;20;13;26;0;21
2020-02-07 05:45:00;47;44;69;47;10;26;0;30
2020-02-07 06:00:00;37;37;63;39;44;10;0;18
2020-02-07 06:15:00;50;38;68;25;29;30;0;13
2020-02-07 06:30:00;48;47;90;23;23;36;0;39
2020-02-07 06:45:00;51;40;103;18;27;37;0;41
2020-02-07 07:00:00;62;46;99;17;33;49;0;40
2020-02-07 07:15:00;112;66;102;24;47;50;0;52
2020-02-07 07:30:00;125;93;85;34;61;49;0;75
2020-02-07 07:45:00;130;109;109;24;64;62;0;67
2020-02-07 08:00:00;88;69;110;27;37;41;0;58
2020-02-07 08:15:00;90;51;64;21;54;36;0;42
2020-02-07 08:30:00;77;42;58;33;35;37;0;38
2020-02-07 08:45:00;78;56;54;26;39;32;0;52
2020-02-07 09:00:00;56;34;29;21;28;31;0;36
2020-02-07 09:15:00;56;44;32;23;38;23;0;32
2020-02-07 09:30:00;56;39;26;26;43;26;0;28
2020-02-07 09:45:00;60;33;34;35;34;25;0;38
2020-02-07 10:00:00;61;44;22;21;30;28;0;36
2020-02-07 10:15:00;71;48;29;29;44;32;0;46
2020-02-07 10:30:00;58;31;17;20;55;31;0;32
2020-02-07 10:45:00;58;44;13;24;17;33;51;38
2020-02-07 11:00:00;76;38;28;40;98;35;65;42
2020-02-07 11:15:00;66;49;32;31;33;37;69;53
2020-02-07 11:30:00;77;47;38;29;32;33;61;51
2020-02-07 11:45:00;95;66;29;38;28;39;85;62
2020-02-07 12:00:00;85;64;37;44;54;45;74;68
2020-02-07 12:15:00;80;70;41;40;85;31;84;74
2020-02-07 12:30:00;87;59;29;39;54;50;85;64
2020-02-07 12:45:00;82;41;31;48;39;54;79;72
2020-02-07 13:00:00;97;61;49;55;34;59;86;95
2020-02-07 13:15:00;99;79;61;38;81;67;71;68
2020-02-07 13:30:00;84;67;58;45;54;49;85;62
2020-02-07 13:45:00;97;68;72;40;32;44;87;66
2020-02-07 14:00:00;79;67;43;69;54;45;85;64
2020-02-07 14:15:00;67;73;26;68;75;32;70;67
2020-02-07 14:30:00;83;62;41;59;100;38;85;53
2020-02-07 14:45:00;95;72;37;52;69;36;76;62
2020-02-07 15:00:00;88;71;29;79;52;44;92;76
2020-02-07 15:15:00;87;80;33;86;75;37;77;69
2020-02-07 15:30:00;92;72;28;52;69;49;87;61
2020-02-07 15:45:00;94;58;20;54;59;23;70;67
2020-02-07 16:00:00;85;65;26;57;50;38;89;69
2020-02-07 16:15:00;92;63;22;69;55;37;69;54
2020-02-07 16:30:00;86;73;31;40;53;31;67;57
2020-02-07 16:45:00;78;61;38;52;50;25;78;46
2020-02-07 17:00:00;84;57;20;44;30;27;69;56
2020-02-07 17:15:00;75;49;18;44;41;43;79;62
2020-02-07 17:30:00;69;42;24;46;37;41;64;62
2020-02-07 17:45:00;74;39;41;42;76;47;53;64
2020-02-07 18:00:00;67;47;28;48;39;30;67;56
2020-02-07 18:15:00;68;50;26;41;28;32;42;58
2020-02-07 18:30:00;55;41;31;32;23;36;60;45
2020-02-07 18:45:00;72;45;24;47;36;24;43;51
2020-02-07 19:00:00;45;28;26;32;27;23;41;25
2020-02-07 19:15:00;50;40;23;25;18;28;59;47
2020-02-07 19:30:00;42;34;20;27;21;30;40;36
2020-02-07 19:45:00;42;29;13;30;20;13;43;29
2020-02-07 20:00:00;53;26;16;22;22;22;46;28
2020-02-07 20:15:00;38;23;25;17;16;16;39;29
2020-02-07 20:30:00;29;19;22;16;15;15;39;26
2020-02-07 20:45:00;42;25;34;16;13;24;28;24
2020-02-07 21:00:00;46;18;22;17;21;30;41;24
2020-02-07 21:15:00;39;23;41;8;61;27;36;25
2020-02-07 21:30:00;38;21;43;14;14;27;43;18
2020-02-07 21:45:00;39;21;29;44;20;20;8;15
2020-02-07 22:00:00;35;27;19;65;49;21;0;25
2020-02-07 22:15:00;37;27;14;35;32;21;0;20
2020-02-07 22:30:00;42;12;7;17;18;10;0;18
2020-02-07 22:45:00;21;11;11;16;22;10;0;15
2020-02-07 23:00:00;33;17;12;9;11;12;0;18
2020-02-07 23:15:00;22;12;7;15;12;10;0;17
2020-02-07 23:30:00;17;14;12;16;12;9;0;10
2020-02-07 23:45:00;15;4;4;13;13;10;0;12
