DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2019-12-07 00:00:00;48;18;8;22;18;27;42;21;37;0;2;2
2019-12-07 00:15:00;49;23;16;36;18;22;50;36;42;0;0;0
2019-12-07 00:30:00;48;19;18;29;24;21;47;36;29;0;0;0
2019-12-07 00:45:00;32;18;12;27;12;24;34;29;34;2;0;4
2019-12-07 01:00:00;32;12;10;31;22;12;31;29;21;0;0;1
2019-12-07 01:15:00;28;13;37;39;11;12;30;37;22;0;0;0
2019-12-07 01:30:00;21;14;6;19;15;19;23;17;25;0;0;0
2019-12-07 01:45:00;28;17;4;14;16;6;26;15;10;0;0;1
2019-12-07 02:00:00;23;15;3;10;16;5;25;14;9;0;0;0
2019-12-07 02:15:00;17;14;2;8;9;16;18;10;18;0;0;0
2019-12-07 02:30:00;16;11;5;12;6;9;17;9;11;0;0;0
2019-12-07 02:45:00;16;11;4;5;10;9;19;14;15;0;0;0
2019-12-07 03:00:00;16;12;4;8;8;10;16;8;10;1;0;1
2019-12-07 03:15:00;15;5;1;3;3;9;15;4;8;0;1;0
2019-12-07 03:30:00;15;13;0;8;5;4;14;7;6;0;0;0
2019-12-07 03:45:00;15;11;1;7;6;5;14;6;8;2;0;0
2019-12-07 04:00:00;15;9;2;3;2;7;16;7;9;1;0;0
2019-12-07 04:15:00;16;14;3;5;4;6;19;6;6;2;0;0
2019-12-07 04:30:00;8;7;0;0;6;10;11;7;11;0;0;0
2019-12-07 04:45:00;18;12;3;7;8;4;19;9;9;1;1;0
2019-12-07 05:00:00;32;12;1;8;10;8;29;6;6;2;0;0
2019-12-07 05:15:00;38;20;1;8;14;17;39;11;19;0;0;0
2019-12-07 05:30:00;34;14;5;3;29;30;35;39;35;1;0;4
2019-12-07 05:45:00;87;27;2;6;13;27;80;20;29;1;0;3
2019-12-07 06:00:00;116;51;5;5;16;15;113;15;21;1;0;0
2019-12-07 06:15:00;103;35;1;5;17;19;104;22;22;1;0;0
2019-12-07 06:30:00;78;22;2;6;19;25;75;27;28;0;0;1
2019-12-07 06:45:00;60;24;3;7;19;25;63;26;26;1;2;1
2019-12-07 07:00:00;60;21;4;9;17;17;60;19;27;0;0;0
2019-12-07 07:15:00;88;29;5;14;26;27;91;30;33;1;0;0
2019-12-07 07:30:00;63;25;12;10;30;37;80;38;43;2;1;2
2019-12-07 07:45:00;74;24;9;16;32;33;82;36;42;0;1;1
2019-12-07 08:00:00;59;22;9;6;38;52;71;45;51;2;0;0
2019-12-07 08:15:00;84;26;9;12;41;54;93;34;40;0;0;3
2019-12-07 08:30:00;102;21;13;17;27;19;110;37;56;1;0;5
2019-12-07 08:45:00;109;27;22;19;75;90;123;73;83;1;1;1
2019-12-07 09:00:00;117;30;13;15;81;105;134;78;101;1;1;4
2019-12-07 09:15:00;123;24;19;22;77;85;137;76;95;0;0;5
2019-12-07 09:30:00;147;32;24;22;82;131;165;86;127;2;0;2
2019-12-07 09:45:00;184;32;18;27;106;140;201;84;140;0;0;3
2019-12-07 10:00:00;169;42;29;47;80;133;195;97;127;1;0;2
2019-12-07 10:15:00;184;51;38;39;78;134;216;92;146;0;2;3
2019-12-07 10:30:00;193;45;34;37;113;137;221;109;129;2;4;4
2019-12-07 10:45:00;179;47;32;45;115;164;204;110;155;1;2;6
2019-12-07 11:00:00;209;38;36;43;100;142;237;111;130;1;0;3
2019-12-07 11:15:00;236;42;37;48;96;97;269;114;144;0;1;4
2019-12-07 11:30:00;209;50;43;63;65;70;238;114;117;4;1;2
2019-12-07 11:45:00;218;33;46;57;91;84;236;120;155;3;3;4
2019-12-07 12:00:00;227;36;37;74;74;97;248;118;165;1;4;3
2019-12-07 12:15:00;220;28;34;64;69;81;233;118;150;1;1;3
2019-12-07 12:30:00;201;33;42;44;65;92;221;112;135;2;2;2
2019-12-07 12:45:00;236;27;44;67;60;91;196;114;141;3;1;6
2019-12-07 13:00:00;214;39;45;71;102;51;51;135;161;2;4;4
2019-12-07 13:15:00;247;29;38;73;65;91;220;114;150;0;3;4
2019-12-07 13:30:00;242;37;42;63;70;86;209;112;181;0;2;4
2019-12-07 13:45:00;254;33;45;73;57;122;250;120;175;0;0;7
2019-12-07 14:00:00;260;31;34;59;71;96;249;111;165;3;1;7
2019-12-07 14:15:00;218;41;43;62;39;132;101;118;155;2;3;4
2019-12-07 14:30:00;251;28;34;69;58;123;196;116;154;1;3;7
2019-12-07 14:45:00;249;34;55;66;72;107;245;120;165;1;0;4
2019-12-07 15:00:00;269;38;39;66;60;68;275;120;164;1;0;6
2019-12-07 15:15:00;240;40;42;59;74;86;249;108;153;0;1;5
2019-12-07 15:30:00;254;42;35;62;102;73;249;102;129;1;2;8
2019-12-07 15:45:00;225;38;41;68;65;95;245;114;147;2;1;6
2019-12-07 16:00:00;214;40;34;52;53;117;246;95;121;0;0;5
2019-12-07 16:15:00;260;40;44;69;53;99;286;106;123;0;1;4
2019-12-07 16:30:00;236;34;38;86;66;93;248;91;121;0;2;4
2019-12-07 16:45:00;254;43;41;53;38;56;241;95;108;1;2;2
2019-12-07 17:00:00;205;36;33;73;14;72;212;87;115;1;0;5
2019-12-07 17:15:00;219;28;46;68;32;50;207;97;111;0;0;0
2019-12-07 17:30:00;231;41;32;81;39;76;237;81;114;1;1;3
2019-12-07 17:45:00;217;42;24;73;58;45;179;95;135;2;1;2
2019-12-07 18:00:00;229;44;32;68;49;44;229;95;101;3;0;0
2019-12-07 18:15:00;220;31;36;82;35;66;212;81;103;3;2;4
2019-12-07 18:30:00;180;45;43;75;29;66;175;86;108;1;0;3
2019-12-07 18:45:00;168;58;52;74;17;58;189;100;100;4;1;5
2019-12-07 19:00:00;186;72;54;82;36;46;219;90;109;2;2;1
