DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2020-11-19 00:00:00;0;1;2;2;2;1;2;7;0;0;0;0;0
2020-11-19 00:15:00;1;6;1;1;4;3;2;3;0;0;0;0;0
2020-11-19 00:30:00;1;4;1;1;3;5;3;1;0;0;0;0;0
2020-11-19 00:45:00;1;4;2;4;1;2;2;2;0;0;0;0;0
2020-11-19 01:00:00;3;2;5;5;4;1;3;2;0;0;0;0;0
2020-11-19 01:15:00;1;3;1;1;4;2;3;2;0;0;0;0;0
2020-11-19 01:30:00;1;1;0;0;2;0;1;2;0;0;0;0;0
2020-11-19 01:45:00;0;2;0;1;2;2;1;1;0;0;0;0;0
2020-11-19 02:00:00;2;2;3;2;4;4;1;1;0;0;0;0;0
2020-11-19 02:15:00;0;1;0;0;1;0;1;1;0;0;0;0;0
2020-11-19 02:30:00;1;2;2;2;0;0;0;0;0;0;0;0;0
2020-11-19 02:45:00;1;3;5;4;4;0;4;3;0;0;0;0;0
2020-11-19 03:00:00;1;2;1;1;2;1;1;1;0;0;0;0;0
2020-11-19 03:15:00;0;2;3;5;4;6;4;1;0;0;0;0;0
2020-11-19 03:30:00;0;1;1;1;3;1;2;3;0;0;0;0;0
2020-11-19 03:45:00;0;1;4;4;4;0;3;3;0;0;0;0;0
2020-11-19 04:00:00;0;0;4;3;3;1;0;5;0;0;0;0;0
2020-11-19 04:15:00;0;2;5;5;2;1;2;4;0;0;0;0;0
2020-11-19 04:30:00;1;5;3;4;4;6;2;7;0;0;0;0;0
2020-11-19 04:45:00;1;16;25;23;2;5;1;13;0;0;0;0;0
2020-11-19 05:00:00;2;35;47;50;10;5;13;43;0;0;0;0;0
2020-11-19 05:15:00;16;88;119;121;14;8;13;92;0;0;0;0;0
2020-11-19 05:30:00;14;87;102;104;21;32;29;72;0;0;0;0;0
2020-11-19 05:45:00;7;87;47;46;55;113;52;121;0;0;0;0;0
2020-11-19 06:00:00;5;58;24;23;63;133;66;86;0;0;0;0;0
2020-11-19 06:15:00;7;69;27;33;26;50;20;85;0;0;0;0;0
2020-11-19 06:30:00;9;77;41;43;17;30;16;111;0;0;0;0;0
2020-11-19 06:45:00;10;69;39;36;16;23;14;109;0;0;0;0;0
2020-11-19 07:00:00;11;47;45;45;19;19;17;105;0;0;0;0;0
2020-11-19 07:15:00;11;56;36;37;17;17;17;125;0;0;0;0;0
2020-11-19 07:30:00;7;68;42;42;19;21;20;110;0;0;0;0;0
2020-11-19 07:45:00;10;76;47;50;20;26;23;83;0;0;0;0;0
2020-11-19 08:00:00;10;56;32;32;19;22;18;82;0;0;0;0;0
2020-11-19 08:15:00;7;56;23;24;19;19;16;71;0;0;0;0;0
2020-11-19 08:30:00;4;31;22;22;8;19;7;46;0;0;0;0;0
2020-11-19 08:45:00;7;35;18;18;11;16;11;39;0;0;0;0;0
2020-11-19 09:00:00;7;28;15;14;8;18;7;50;0;0;0;0;0
2020-11-19 09:15:00;3;32;21;21;8;21;8;49;0;0;0;0;0
2020-11-19 09:30:00;2;33;17;17;14;12;11;60;0;0;0;0;0
2020-11-19 09:45:00;3;36;21;22;13;20;12;52;0;0;0;0;0
2020-11-19 10:00:00;3;39;24;24;13;20;15;42;0;0;0;0;0
2020-11-19 10:15:00;3;37;15;16;24;13;24;41;0;0;0;0;0
2020-11-19 10:30:00;4;37;14;14;10;17;10;40;0;0;0;0;0
2020-11-19 10:45:00;4;44;18;19;19;14;19;44;0;0;0;0;0
2020-11-19 11:00:00;5;49;19;21;11;19;9;40;0;0;0;0;0
2020-11-19 11:15:00;2;54;28;27;19;17;19;44;0;0;0;0;0
2020-11-19 11:30:00;4;40;17;17;23;24;23;52;0;0;0;0;0
2020-11-19 11:45:00;6;49;21;21;13;15;13;50;0;0;0;0;0
2020-11-19 12:00:00;7;50;14;14;21;34;20;32;0;0;0;0;0
2020-11-19 12:15:00;5;57;17;21;20;21;21;44;0;0;0;0;0
2020-11-19 12:30:00;6;55;21;21;20;24;21;66;0;0;0;0;0
2020-11-19 12:45:00;9;45;30;30;17;24;16;45;0;0;0;0;0
2020-11-19 13:00:00;0;58;37;40;25;23;25;49;0;0;0;0;0
2020-11-19 13:15:00;8;75;68;69;23;15;24;59;0;0;0;0;0
2020-11-19 13:30:00;18;73;64;64;31;32;29;69;0;0;0;0;0
2020-11-19 13:45:00;11;88;55;56;23;43;26;96;0;0;0;0;0
2020-11-19 14:00:00;3;77;32;33;36;80;33;106;0;0;0;0;0
2020-11-19 14:15:00;2;87;28;32;61;154;64;48;0;0;0;0;0
2020-11-19 14:30:00;3;70;22;22;50;117;49;81;0;0;0;0;0
2020-11-19 14:45:00;3;69;29;29;40;53;39;62;0;0;0;0;0
2020-11-19 15:00:00;3;61;16;17;26;43;24;81;0;0;0;0;0
2020-11-19 15:15:00;2;127;30;32;21;42;19;79;0;0;0;0;0
2020-11-19 15:30:00;3;90;21;21;37;43;44;69;0;0;0;0;0
2020-11-19 15:45:00;1;64;19;21;31;29;24;68;0;0;0;0;0
2020-11-19 16:00:00;0;87;23;22;28;40;29;68;0;0;0;0;0
2020-11-19 16:15:00;0;94;21;22;26;35;29;61;0;0;0;0;0
2020-11-19 16:30:00;2;50;23;23;34;24;30;64;0;0;0;0;0
2020-11-19 16:45:00;1;57;26;26;23;31;23;59;0;0;0;0;0
2020-11-19 17:00:00;0;52;15;15;29;29;28;50;0;0;0;0;0
2020-11-19 17:15:00;0;87;16;16;19;28;18;52;0;0;0;0;0
2020-11-19 17:30:00;2;60;9;9;14;24;14;59;0;0;0;0;0
2020-11-19 17:45:00;0;62;11;12;11;28;10;44;0;0;0;0;0
2020-11-19 18:00:00;1;44;6;6;10;18;10;47;0;0;0;0;0
2020-11-19 18:15:00;1;65;10;11;14;10;12;31;0;0;0;0;0
2020-11-19 18:30:00;1;37;7;7;10;11;10;36;0;0;0;0;0
2020-11-19 18:45:00;0;38;5;5;9;14;9;37;0;0;0;0;0
2020-11-19 19:00:00;1;31;7;7;7;8;7;32;0;0;0;0;0
2020-11-19 19:15:00;1;29;9;9;6;3;5;28;0;0;0;0;0
2020-11-19 19:30:00;2;20;13;12;9;10;8;23;0;0;0;0;0
2020-11-19 19:45:00;1;28;7;9;7;11;8;21;0;0;0;0;0
2020-11-19 20:00:00;0;28;8;8;9;11;7;25;0;0;0;0;0
2020-11-19 20:15:00;0;22;12;11;9;3;5;20;0;0;0;0;0
2020-11-19 20:30:00;0;23;20;20;13;13;11;24;0;0;0;0;0
2020-11-19 20:45:00;0;30;31;32;7;5;6;35;0;0;0;0;0
2020-11-19 21:00:00;2;35;66;67;9;3;8;67;0;0;0;0;0
2020-11-19 21:15:00;7;43;91;89;10;4;10;70;0;0;0;0;0
2020-11-19 21:30:00;4;46;75;75;13;13;12;61;0;0;0;0;0
2020-11-19 21:45:00;4;32;34;33;24;57;24;72;0;0;0;0;0
2020-11-19 22:00:00;1;55;27;28;27;103;28;33;0;0;0;0;0
2020-11-19 22:15:00;0;19;5;6;18;35;17;28;0;0;0;0;0
2020-11-19 22:30:00;1;7;4;4;8;11;7;10;0;0;0;0;0
2020-11-19 22:45:00;1;7;3;3;8;9;6;4;0;0;0;0;0
2020-11-19 23:00:00;1;2;2;2;4;6;2;7;0;0;0;0;0
2020-11-19 23:15:00;0;6;3;4;3;3;1;6;0;0;0;0;0
2020-11-19 23:30:00;0;3;3;3;0;1;0;5;0;0;0;0;0
2020-11-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
