DATUM;1(DA1);2(DB1);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBD)
2019-10-05 00:00:00;25;0;15;0;0;0;0;0;0;0;0;0
2019-10-05 00:15:00;20;0;18;0;0;0;0;0;0;0;0;0
2019-10-05 00:30:00;16;0;18;0;0;0;0;0;0;0;0;0
2019-10-05 00:45:00;20;0;12;0;0;0;0;0;0;0;0;0
2019-10-05 01:00:00;16;0;18;0;0;0;0;0;0;0;0;0
2019-10-05 01:15:00;6;0;7;0;0;0;0;0;0;0;0;0
2019-10-05 01:30:00;12;0;14;0;0;0;0;0;0;0;0;0
2019-10-05 01:45:00;13;0;14;0;0;0;0;0;0;0;0;0
2019-10-05 02:00:00;6;0;7;0;0;0;0;0;0;0;0;0
2019-10-05 02:15:00;11;0;3;0;0;0;0;0;0;0;0;0
2019-10-05 02:30:00;9;0;9;0;0;0;0;0;0;0;0;0
2019-10-05 02:45:00;12;0;7;0;0;0;0;0;0;0;0;0
2019-10-05 03:00:00;12;0;14;0;0;0;0;0;0;0;0;0
2019-10-05 03:15:00;9;0;7;0;0;0;0;0;0;0;0;0
2019-10-05 03:30:00;6;0;5;0;0;0;0;0;0;0;0;0
2019-10-05 03:45:00;10;0;11;0;0;0;0;0;0;0;0;0
2019-10-05 04:00:00;5;0;5;0;0;0;0;0;0;0;0;0
2019-10-05 04:15:00;5;0;10;0;0;0;0;0;0;0;0;0
2019-10-05 04:30:00;3;0;12;0;0;0;0;0;0;0;0;0
2019-10-05 04:45:00;7;0;13;0;0;0;0;0;0;0;0;0
2019-10-05 05:00:00;10;0;21;0;0;0;0;0;0;0;0;0
2019-10-05 05:15:00;7;0;22;0;0;0;0;0;0;0;0;0
2019-10-05 05:30:00;16;0;26;0;0;0;0;0;0;0;0;0
2019-10-05 05:45:00;18;0;16;0;0;0;0;0;0;0;0;0
2019-10-05 06:00:00;22;0;26;0;0;0;0;0;0;0;0;0
2019-10-05 06:15:00;9;0;17;0;0;0;0;0;0;0;0;0
2019-10-05 06:30:00;21;0;31;0;0;0;0;0;0;0;0;0
2019-10-05 06:45:00;8;0;18;0;0;0;0;0;0;3;0;0
2019-10-05 07:00:00;28;0;35;0;0;0;0;0;0;0;0;0
2019-10-05 07:15:00;15;0;49;0;0;0;0;0;0;0;0;0
2019-10-05 07:30:00;29;0;68;0;0;0;0;0;0;0;0;0
2019-10-05 07:45:00;34;0;52;0;0;0;0;0;0;0;0;0
2019-10-05 08:00:00;31;0;59;0;0;0;0;0;0;0;0;0
2019-10-05 08:15:00;37;0;83;0;0;0;0;0;0;0;0;0
2019-10-05 08:30:00;52;0;85;0;1;0;0;0;0;2;0;0
2019-10-05 08:45:00;59;0;83;0;1;0;0;0;0;0;0;0
2019-10-05 09:00:00;45;0;84;0;0;0;0;0;0;1;0;0
2019-10-05 09:15:00;60;0;114;0;0;0;0;0;0;1;0;0
2019-10-05 09:30:00;83;0;148;0;1;1;0;0;0;2;0;0
2019-10-05 09:45:00;72;0;155;0;2;0;0;0;0;1;0;0
2019-10-05 10:00:00;77;0;106;0;2;1;0;0;0;0;0;0
2019-10-05 10:15:00;97;0;120;0;0;0;0;0;0;2;0;0
2019-10-05 10:30:00;82;0;119;0;0;2;0;0;0;2;2;0
2019-10-05 10:45:00;89;0;140;0;0;2;0;0;0;5;1;0
2019-10-05 11:00:00;105;0;120;0;2;1;0;0;0;2;0;0
2019-10-05 11:15:00;93;0;131;0;5;0;0;0;0;5;0;0
2019-10-05 11:30:00;108;0;142;0;4;1;0;0;0;3;0;0
2019-10-05 11:45:00;101;0;119;0;3;0;0;0;0;4;1;0
2019-10-05 12:00:00;126;0;94;0;3;0;0;0;0;7;0;0
2019-10-05 12:15:00;106;0;112;0;2;1;0;0;0;1;0;0
2019-10-05 12:30:00;106;0;103;0;3;2;0;0;0;3;0;0
2019-10-05 12:45:00;102;0;109;0;3;2;0;0;0;5;4;0
2019-10-05 13:00:00;115;0;121;0;4;1;0;0;0;3;3;0
2019-10-05 13:15:00;112;0;108;0;4;1;0;0;0;2;0;0
2019-10-05 13:30:00;114;0;130;0;5;1;0;0;0;1;1;0
2019-10-05 13:45:00;112;0;131;0;2;2;0;0;0;2;0;0
2019-10-05 14:00:00;136;0;132;0;6;3;0;0;0;5;3;0
2019-10-05 14:15:00;108;0;92;0;1;0;0;0;0;2;0;0
2019-10-05 14:30:00;119;0;114;0;4;2;0;0;0;5;0;0
2019-10-05 14:45:00;113;0;125;0;2;5;0;0;0;0;0;0
2019-10-05 15:00:00;122;0;104;0;3;3;0;0;0;5;0;0
2019-10-05 15:15:00;114;0;111;0;3;2;0;0;0;2;0;0
2019-10-05 15:30:00;121;0;116;0;0;5;0;0;0;2;0;0
2019-10-05 15:45:00;111;0;101;0;5;1;0;0;0;5;0;0
2019-10-05 16:00:00;99;0;87;0;1;0;0;0;0;5;0;0
2019-10-05 16:15:00;133;0;106;0;3;0;0;0;0;6;1;0
2019-10-05 16:30:00;125;0;105;0;1;4;0;0;0;4;0;0
2019-10-05 16:45:00;119;0;92;0;1;3;0;0;0;4;2;0
2019-10-05 17:00:00;105;0;82;0;3;1;0;0;0;1;0;0
2019-10-05 17:15:00;110;0;105;0;1;2;0;0;0;5;5;0
2019-10-05 17:30:00;116;0;112;0;2;4;0;0;0;2;0;0
2019-10-05 17:45:00;113;0;101;0;1;4;0;0;0;3;0;0
2019-10-05 18:00:00;121;0;104;0;2;3;0;0;0;3;0;0
2019-10-05 18:15:00;107;0;105;0;2;2;0;0;0;4;0;0
2019-10-05 18:30:00;99;0;105;0;2;4;0;0;0;5;1;0
2019-10-05 18:45:00;109;0;110;0;2;1;0;0;0;7;0;0
2019-10-05 19:00:00;110;0;112;0;0;2;0;0;0;2;0;0
2019-10-05 19:15:00;105;0;81;0;0;0;0;0;0;2;0;0
2019-10-05 19:30:00;82;0;84;0;0;0;0;0;0;0;0;0
2019-10-05 19:45:00;81;0;89;0;1;0;0;0;0;1;0;0
2019-10-05 20:00:00;78;0;74;0;0;1;0;0;0;2;0;0
2019-10-05 20:15:00;96;0;64;0;0;0;0;0;0;2;1;0
2019-10-05 20:30:00;61;0;53;0;0;2;0;0;0;0;0;0
2019-10-05 20:45:00;52;0;44;0;0;0;0;0;0;0;0;0
2019-10-05 21:00:00;59;0;45;0;0;0;0;0;0;0;0;0
2019-10-05 21:15:00;44;0;40;0;0;0;0;0;0;0;0;0
2019-10-05 21:30:00;61;0;46;0;1;0;0;0;0;0;0;0
2019-10-05 21:45:00;37;0;38;0;0;0;0;0;0;0;0;0
2019-10-05 22:00:00;56;0;33;0;0;0;0;0;0;0;0;0
2019-10-05 22:15:00;61;0;36;0;0;0;0;0;0;0;0;0
2019-10-05 22:30:00;50;0;32;0;0;0;0;0;0;0;0;0
2019-10-05 22:45:00;42;0;34;0;0;0;0;0;0;0;0;0
2019-10-05 23:00:00;56;0;30;0;0;0;0;0;0;0;0;0
2019-10-05 23:15:00;42;0;29;0;0;0;0;0;0;0;0;0
2019-10-05 23:30:00;39;0;30;0;0;0;0;0;0;0;0;0
2019-10-05 23:45:00;29;0;22;0;0;0;0;0;0;0;0;0
