DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2020-06-20 00:00:00;0;32;3;1;2;4;24;21;4;2
2020-06-20 00:15:00;0;26;2;2;5;4;24;24;3;3
2020-06-20 00:30:00;0;34;1;3;2;6;33;18;1;0
2020-06-20 00:45:00;0;23;1;2;3;3;26;20;0;0
2020-06-20 01:00:00;0;22;1;2;1;1;28;7;0;0
2020-06-20 01:15:00;0;14;0;3;5;1;14;20;0;0
2020-06-20 01:30:00;0;16;2;2;3;2;14;17;0;0
2020-06-20 01:45:00;0;16;0;0;3;3;17;10;0;0
2020-06-20 02:00:00;0;15;0;2;6;4;15;10;0;0
2020-06-20 02:15:00;0;15;0;1;1;0;7;8;1;0
2020-06-20 02:30:00;0;13;0;0;3;1;9;7;0;0
2020-06-20 02:45:00;0;8;0;1;1;3;18;10;0;0
2020-06-20 03:00:00;0;10;0;0;4;1;9;7;0;0
2020-06-20 03:15:00;0;6;0;0;0;1;7;12;1;1
2020-06-20 03:30:00;0;11;0;0;0;2;8;5;0;0
2020-06-20 03:45:00;0;5;0;1;0;1;7;1;0;0
2020-06-20 04:00:00;0;5;1;0;1;0;12;8;0;0
2020-06-20 04:15:00;0;11;0;0;0;1;4;5;0;0
2020-06-20 04:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-20 04:45:00;0;9;2;1;0;1;10;3;1;0
2020-06-20 05:00:00;0;20;2;0;0;13;19;11;0;0
2020-06-20 05:15:00;0;14;0;1;1;9;15;13;0;0
2020-06-20 05:30:00;0;32;3;2;6;11;30;22;2;2
2020-06-20 05:45:00;0;28;3;15;14;11;21;27;1;0
2020-06-20 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-20 06:15:00;0;19;2;2;2;4;21;34;0;0
2020-06-20 06:30:00;0;37;1;1;1;8;21;20;1;1
2020-06-20 06:45:00;0;28;0;0;1;9;19;18;0;0
2020-06-20 07:00:00;0;29;1;0;1;3;25;22;2;2
2020-06-20 07:15:00;0;35;0;0;0;8;30;23;2;1
2020-06-20 07:30:00;0;36;0;0;2;2;27;28;1;1
2020-06-20 07:45:00;0;38;0;3;1;2;33;44;3;2
2020-06-20 08:00:00;0;31;1;1;0;11;32;46;7;1
2020-06-20 08:15:00;0;34;1;5;1;7;37;48;1;2
2020-06-20 08:30:00;0;46;1;1;2;8;57;69;3;1
2020-06-20 08:45:00;0;67;0;2;1;10;66;71;2;1
2020-06-20 09:15:00;0;79;1;4;1;12;74;107;5;1
2020-06-20 09:30:00;0;82;0;4;3;14;78;107;3;1
2020-06-20 09:45:00;0;98;1;6;1;11;86;104;8;5
2020-06-20 10:00:00;0;111;1;1;3;11;88;108;7;1
2020-06-20 10:15:00;0;101;2;6;2;10;101;112;4;1
2020-06-20 10:45:00;0;142;3;2;4;17;99;143;4;2
2020-06-20 11:00:00;0;99;0;6;7;13;111;129;6;2
2020-06-20 11:15:00;0;113;2;2;5;8;126;156;4;1
2020-06-20 11:30:00;0;117;2;2;5;15;115;127;8;4
2020-06-20 11:45:00;0;128;1;3;7;17;130;174;9;2
2020-06-20 12:00:00;0;121;3;5;9;15;125;144;7;3
2020-06-20 12:15:00;0;140;2;3;5;15;128;155;9;1
2020-06-20 12:30:00;0;152;2;4;2;18;138;148;8;2
2020-06-20 12:45:00;0;131;2;2;7;17;136;153;6;1
2020-06-20 13:00:00;0;127;2;6;4;17;144;164;4;1
2020-06-20 13:15:00;0;146;4;1;1;18;124;175;11;4
2020-06-20 13:30:00;0;135;3;7;6;18;129;165;8;1
2020-06-20 13:45:00;0;150;2;4;10;22;132;192;5;1
2020-06-20 14:00:00;0;128;9;14;6;18;168;201;5;1
2020-06-20 14:15:00;0;140;2;4;7;13;144;163;4;1
2020-06-20 14:30:00;0;137;3;2;1;17;144;183;10;4
2020-06-20 14:45:00;0;129;1;4;5;15;154;185;9;3
2020-06-20 15:00:00;0;143;3;8;4;11;139;159;8;4
2020-06-20 15:15:00;0;131;0;2;1;12;140;160;8;2
2020-06-20 15:30:00;0;130;2;3;6;14;144;155;9;4
2020-06-20 15:45:00;0;140;1;5;4;12;125;141;7;3
2020-06-20 16:00:00;0;146;0;1;9;9;140;166;8;2
2020-06-20 16:15:00;0;150;4;3;3;12;144;163;9;1
2020-06-20 16:30:00;0;130;2;4;3;14;119;153;10;3
2020-06-20 16:45:00;0;146;2;3;3;20;137;151;8;2
2020-06-20 17:00:00;0;118;2;6;3;12;127;159;9;2
2020-06-20 17:15:00;0;153;1;3;1;11;118;151;7;1
2020-06-20 17:30:00;0;127;1;3;4;14;137;164;8;3
2020-06-20 17:45:00;0;137;5;8;2;14;103;146;9;2
2020-06-20 18:00:00;0;146;1;4;4;12;125;151;4;1
2020-06-20 18:15:00;0;149;1;3;8;15;122;127;4;1
2020-06-20 18:30:00;0;107;3;3;4;16;104;129;4;2
2020-06-20 18:45:00;0;107;3;3;3;11;106;107;8;3
