DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-03-23 00:00:00;9;1;2;4;1;2
2020-03-23 00:15:00;2;0;4;3;1;1
2020-03-23 00:30:00;5;2;3;2;1;1
2020-03-23 00:45:00;3;0;2;8;1;0
2020-03-23 01:00:00;2;0;2;2;1;0
2020-03-23 01:15:00;2;0;3;0;0;1
2020-03-23 01:30:00;7;1;2;4;0;1
2020-03-23 01:45:00;2;2;4;3;1;1
2020-03-23 02:00:00;5;0;1;3;0;1
2020-03-23 02:15:00;4;2;2;2;0;1
2020-03-23 02:30:00;3;1;3;2;0;2
2020-03-23 02:45:00;2;0;5;1;0;0
2020-03-23 03:00:00;4;0;2;3;0;0
2020-03-23 03:15:00;5;2;2;1;0;1
2020-03-23 03:30:00;8;2;1;4;0;0
2020-03-23 03:45:00;6;0;3;1;0;0
2020-03-23 04:00:00;7;2;4;3;1;1
2020-03-23 04:15:00;1;2;1;11;0;4
2020-03-23 04:30:00;9;4;8;6;0;6
2020-03-23 04:45:00;14;3;8;9;1;8
2020-03-23 05:00:00;22;6;7;17;0;2
2020-03-23 05:15:00;38;21;9;20;0;3
2020-03-23 05:30:00;59;47;19;39;1;11
2020-03-23 05:45:00;65;44;20;46;1;10
2020-03-23 06:00:00;54;26;21;33;0;9
2020-03-23 06:15:00;73;51;29;42;3;12
2020-03-23 06:30:00;92;81;37;49;3;17
2020-03-23 06:45:00;87;79;35;59;5;11
2020-03-23 07:00:00;86;65;38;57;5;24
2020-03-23 07:15:00;109;78;49;77;9;24
2020-03-23 07:30:00;99;77;54;95;9;30
2020-03-23 07:45:00;109;81;54;76;13;24
2020-03-23 08:00:00;71;58;38;70;9;25
2020-03-23 08:15:00;79;50;37;53;8;30
2020-03-23 08:30:00;70;49;37;62;6;23
2020-03-23 08:45:00;82;60;40;63;9;22
2020-03-23 09:00:00;75;38;42;66;12;29
2020-03-23 09:15:00;73;47;43;67;11;21
2020-03-23 09:30:00;70;37;51;78;16;34
2020-03-23 09:45:00;93;67;45;82;17;29
2020-03-23 10:00:00;81;55;52;69;8;38
2020-03-23 10:15:00;88;56;48;78;11;21
2020-03-23 10:30:00;75;47;41;80;12;24
2020-03-23 10:45:00;78;67;46;82;16;28
2020-03-23 11:00:00;73;59;45;79;13;37
2020-03-23 11:15:00;97;70;46;82;14;26
2020-03-23 11:30:00;81;49;49;81;10;24
2020-03-23 11:45:00;80;62;52;70;11;41
2020-03-23 12:00:00;85;62;50;89;10;33
2020-03-23 12:15:00;92;59;56;97;13;42
2020-03-23 12:30:00;78;57;39;81;9;40
2020-03-23 12:45:00;79;55;53;83;15;28
2020-03-23 13:00:00;82;52;53;84;15;27
2020-03-23 13:15:00;85;62;48;87;12;42
2020-03-23 13:30:00;93;61;51;88;10;26
2020-03-23 13:45:00;103;63;55;98;10;37
2020-03-23 14:00:00;95;67;54;84;15;26
2020-03-23 14:15:00;88;56;51;104;7;26
2020-03-23 14:30:00;89;49;60;92;17;36
2020-03-23 14:45:00;93;67;47;112;17;37
2020-03-23 15:00:00;86;60;60;105;14;40
2020-03-23 15:15:00;91;56;56;79;13;34
2020-03-23 15:30:00;93;63;63;99;5;34
2020-03-23 15:45:00;90;59;60;86;9;36
2020-03-23 16:00:00;89;64;66;116;11;34
2020-03-23 16:15:00;93;69;76;126;14;28
2020-03-23 16:30:00;95;63;74;113;16;30
2020-03-23 16:45:00;92;63;67;118;13;30
2020-03-23 17:00:00;94;75;67;123;18;25
2020-03-23 17:15:00;90;62;69;111;9;22
2020-03-23 17:30:00;86;59;54;98;9;34
2020-03-23 17:45:00;80;48;61;67;10;25
2020-03-23 18:00:00;74;47;51;69;7;25
2020-03-23 18:15:00;65;40;49;68;13;27
2020-03-23 18:30:00;71;27;36;59;11;23
2020-03-23 18:45:00;52;33;41;54;6;23
2020-03-23 19:00:00;54;36;26;47;7;12
2020-03-23 19:15:00;46;18;28;44;10;22
2020-03-23 19:30:00;41;17;16;35;3;17
2020-03-23 19:45:00;48;22;16;34;6;13
2020-03-23 20:00:00;36;17;16;29;2;8
2020-03-23 20:15:00;25;11;10;30;3;6
2020-03-23 20:30:00;34;10;15;19;0;12
2020-03-23 20:45:00;25;9;7;15;1;0
2020-03-23 21:00:00;17;11;11;20;3;3
2020-03-23 21:15:00;21;7;6;13;2;2
2020-03-23 21:30:00;21;8;14;18;6;6
2020-03-23 21:45:00;12;4;15;21;2;2
2020-03-23 22:00:00;14;9;15;18;3;1
2020-03-23 22:15:00;19;5;12;10;0;2
2020-03-23 22:30:00;19;9;6;14;1;4
2020-03-23 22:45:00;12;8;2;6;0;4
2020-03-23 23:00:00;18;2;7;7;0;1
2020-03-23 23:15:00;6;3;2;7;2;3
2020-03-23 23:30:00;10;4;5;6;1;0
2020-03-23 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
