DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2020-04-19 00:00:00;6;4;0;0;0;9;5;0;0
2020-04-19 00:15:00;11;8;0;1;1;10;4;0;0
2020-04-19 00:30:00;5;6;1;0;0;7;4;0;0
2020-04-19 00:45:00;3;4;0;0;0;6;5;0;0
2020-04-19 01:00:00;3;2;0;0;0;5;4;0;0
2020-04-19 01:15:00;8;3;0;0;0;7;5;0;0
2020-04-19 01:30:00;4;4;1;0;0;7;3;0;0
2020-04-19 01:45:00;7;3;0;0;0;3;4;0;0
2020-04-19 02:00:00;8;2;0;0;0;2;0;0;0
2020-04-19 02:15:00;2;6;0;0;0;4;1;0;0
2020-04-19 02:30:00;5;2;0;0;0;3;1;0;0
2020-04-19 02:45:00;4;2;0;0;0;4;1;0;0
2020-04-19 03:00:00;5;4;0;0;0;3;1;0;0
2020-04-19 03:15:00;3;0;0;0;0;3;0;0;0
2020-04-19 03:30:00;2;1;0;0;0;2;0;0;0
2020-04-19 03:45:00;3;1;0;0;0;2;0;0;0
2020-04-19 04:00:00;6;0;0;0;0;4;3;0;0
2020-04-19 04:15:00;2;2;0;0;0;1;1;0;0
2020-04-19 04:30:00;1;1;0;0;0;3;4;0;0
2020-04-19 04:45:00;1;2;0;0;0;5;0;0;0
2020-04-19 05:00:00;2;3;0;0;0;5;0;0;0
2020-04-19 05:15:00;8;4;0;0;0;8;2;0;0
2020-04-19 05:30:00;5;2;0;0;0;18;13;0;0
2020-04-19 05:45:00;18;7;0;0;0;9;11;0;1
2020-04-19 06:00:00;6;5;0;0;0;7;7;0;1
2020-04-19 06:15:00;12;6;1;0;0;8;4;0;0
2020-04-19 06:30:00;4;5;0;0;0;9;3;0;2
2020-04-19 06:45:00;3;10;0;1;0;6;3;0;0
2020-04-19 07:00:00;5;4;0;0;0;9;5;0;0
2020-04-19 07:15:00;7;6;2;0;1;7;2;0;0
2020-04-19 07:30:00;6;5;0;0;0;10;6;0;1
2020-04-19 07:45:00;6;3;0;0;0;7;9;0;0
2020-04-19 08:00:00;6;9;1;1;0;4;6;0;0
2020-04-19 08:15:00;10;6;1;1;0;10;10;0;0
2020-04-19 08:30:00;12;8;1;0;1;11;5;0;0
2020-04-19 08:45:00;16;14;1;3;1;13;9;0;0
2020-04-19 09:00:00;22;11;0;1;0;8;13;0;0
2020-04-19 09:15:00;22;19;1;2;2;14;15;0;1
2020-04-19 09:30:00;23;14;1;3;0;25;11;0;0
2020-04-19 09:45:00;14;19;2;2;0;32;11;0;1
2020-04-19 10:00:00;24;20;1;0;1;21;19;0;3
2020-04-19 10:15:00;30;41;0;1;0;31;27;0;1
2020-04-19 10:30:00;26;20;0;0;0;27;22;0;0
2020-04-19 10:45:00;24;25;1;0;0;32;16;9;0
2020-04-19 11:00:00;26;31;1;0;1;31;22;0;1
2020-04-19 11:15:00;34;31;2;2;1;40;27;0;0
2020-04-19 11:30:00;25;39;1;4;2;35;28;0;0
2020-04-19 11:45:00;38;30;0;0;0;42;24;0;1
2020-04-19 12:00:00;35;34;1;3;2;37;28;0;0
2020-04-19 12:15:00;48;49;1;2;0;42;27;5;2
2020-04-19 12:30:00;40;31;1;1;0;39;26;0;2
2020-04-19 12:45:00;49;44;3;1;0;42;28;1;0
2020-04-19 13:00:00;48;23;0;0;0;43;36;0;2
2020-04-19 13:15:00;44;44;1;2;0;40;30;0;2
2020-04-19 13:30:00;33;31;0;2;0;36;34;0;2
2020-04-19 13:45:00;62;43;0;0;1;46;45;2;1
2020-04-19 14:00:00;46;36;0;0;1;36;26;0;1
2020-04-19 14:15:00;38;25;1;0;1;47;37;0;0
2020-04-19 14:30:00;40;32;0;2;0;46;33;0;1
2020-04-19 14:45:00;59;48;4;2;1;44;23;0;2
2020-04-19 15:00:00;40;29;1;0;0;42;31;0;0
2020-04-19 15:15:00;59;49;1;3;3;55;29;0;2
2020-04-19 15:30:00;42;45;1;0;0;55;33;0;0
2020-04-19 15:45:00;45;33;0;1;0;50;35;0;2
2020-04-19 16:00:00;51;43;1;2;1;51;36;0;1
2020-04-19 16:15:00;56;55;1;0;0;54;50;0;0
2020-04-19 16:30:00;46;41;0;2;1;53;41;0;5
2020-04-19 16:45:00;72;63;2;1;0;60;47;1;1
2020-04-19 17:00:00;61;53;1;0;1;53;37;0;1
2020-04-19 17:15:00;53;44;0;0;2;51;38;0;1
2020-04-19 17:30:00;58;42;0;2;3;46;35;0;2
2020-04-19 17:45:00;46;45;1;1;1;50;29;0;1
2020-04-19 18:00:00;37;28;1;2;0;43;33;0;2
2020-04-19 18:15:00;51;52;1;1;0;50;46;0;1
2020-04-19 18:30:00;39;23;0;1;1;53;29;5;3
2020-04-19 18:45:00;40;34;0;2;1;58;40;3;2
2020-04-19 19:00:00;56;30;0;0;0;41;29;0;0
2020-04-19 19:15:00;51;51;0;0;0;44;43;0;1
2020-04-19 19:30:00;36;36;2;0;0;43;36;0;0
2020-04-19 19:45:00;51;39;0;1;0;45;41;0;1
2020-04-19 20:00:00;41;25;1;1;0;47;38;1;0
2020-04-19 20:15:00;37;34;0;2;1;45;45;0;0
2020-04-19 20:30:00;34;25;0;0;1;32;24;0;0
2020-04-19 20:45:00;31;24;0;0;0;40;31;0;3
2020-04-19 21:00:00;38;27;0;1;0;45;26;0;2
2020-04-19 21:15:00;36;38;1;2;0;45;25;0;0
2020-04-19 21:30:00;19;22;0;1;1;48;24;0;3
2020-04-19 21:45:00;22;20;0;3;0;37;24;0;0
2020-04-19 22:00:00;34;16;0;0;0;24;19;0;0
2020-04-19 22:15:00;24;16;0;2;1;17;8;0;0
2020-04-19 22:30:00;15;14;0;0;0;15;12;0;0
2020-04-19 22:45:00;14;9;0;0;0;13;10;0;0
2020-04-19 23:00:00;12;8;0;0;0;13;7;0;1
2020-04-19 23:15:00;10;5;0;1;0;12;5;0;0
2020-04-19 23:30:00;3;9;1;0;0;8;4;0;0
2020-04-19 23:45:00;10;5;0;0;0;22;9;0;0
