DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-03-19 00:00:00;0;2;0;0;0;0;0;0
2020-03-19 00:15:00;0;0;3;0;0;0;0;0
2020-03-19 00:30:00;0;1;1;0;0;0;0;0
2020-03-19 00:45:00;0;0;1;1;0;0;0;0
2020-03-19 01:00:00;0;0;0;0;0;0;0;0
2020-03-19 01:15:00;0;1;0;0;0;0;0;0
2020-03-19 01:30:00;0;0;0;0;0;0;0;0
2020-03-19 01:45:00;0;0;0;0;0;0;0;0
2020-03-19 02:00:00;0;0;0;0;0;0;0;0
2020-03-19 02:15:00;0;0;0;0;0;0;0;0
2020-03-19 02:30:00;0;0;0;0;0;0;0;0
2020-03-19 02:45:00;0;1;0;0;0;0;0;0
2020-03-19 03:00:00;0;0;0;0;0;0;0;0
2020-03-19 03:15:00;0;0;0;0;0;0;0;0
2020-03-19 03:30:00;0;0;1;0;0;0;0;0
2020-03-19 03:45:00;0;0;0;0;0;0;0;0
2020-03-19 04:00:00;0;0;0;0;0;0;0;0
2020-03-19 04:15:00;0;0;0;0;0;0;0;0
2020-03-19 04:30:00;0;3;1;0;0;0;0;0
2020-03-19 04:45:00;0;3;1;3;0;0;0;0
2020-03-19 05:00:00;2;8;15;3;0;0;0;0
2020-03-19 05:15:00;2;15;24;6;1;0;0;0
2020-03-19 05:30:00;1;13;17;5;3;0;0;0
2020-03-19 05:45:00;5;24;23;6;10;0;0;0
2020-03-19 06:00:00;1;9;28;1;7;0;0;0
2020-03-19 06:15:00;3;6;32;6;5;0;0;0
2020-03-19 06:30:00;2;13;47;8;6;0;0;0
2020-03-19 06:45:00;1;8;48;5;5;0;0;0
2020-03-19 07:00:00;4;6;37;4;4;0;0;0
2020-03-19 07:15:00;8;12;35;4;8;0;0;0
2020-03-19 07:30:00;3;15;29;6;5;0;0;0
2020-03-19 07:45:00;2;14;40;5;9;0;0;0
2020-03-19 08:00:00;5;19;38;2;10;0;0;0
2020-03-19 08:15:00;0;12;30;6;5;0;2;0
2020-03-19 08:30:00;4;21;15;4;7;0;2;0
2020-03-19 08:45:00;2;15;17;9;9;0;0;0
2020-03-19 09:00:00;3;20;13;2;4;0;0;0
2020-03-19 09:15:00;1;19;6;3;8;0;0;0
2020-03-19 09:30:00;3;14;12;4;6;0;0;0
2020-03-19 09:45:00;2;17;13;3;7;0;0;0
2020-03-19 10:00:00;4;22;7;6;7;0;0;0
2020-03-19 10:15:00;0;4;7;1;14;0;0;0
2020-03-19 10:30:00;1;13;14;5;5;0;0;0
2020-03-19 10:45:00;3;6;10;9;6;0;0;0
2020-03-19 11:00:00;1;9;3;2;7;0;0;0
2020-03-19 11:15:00;0;14;10;1;7;0;0;0
2020-03-19 11:30:00;3;17;6;5;6;0;0;0
2020-03-19 11:45:00;2;11;8;4;6;0;0;0
2020-03-19 12:00:00;5;26;5;3;2;0;0;0
2020-03-19 12:15:00;5;16;15;10;10;0;0;0
2020-03-19 12:30:00;3;21;16;8;2;0;0;0
2020-03-19 12:45:00;0;17;17;4;10;0;0;0
2020-03-19 13:00:00;3;17;15;6;7;0;0;0
2020-03-19 13:15:00;4;28;15;5;5;0;0;0
2020-03-19 13:30:00;8;36;25;8;10;0;0;0
