DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2019-08-26 00:00:00;8;9;9;0;0;0;0;0
2019-08-26 00:15:00;5;10;5;0;0;0;0;0
2019-08-26 00:30:00;4;7;16;0;0;0;0;0
2019-08-26 00:45:00;8;9;10;0;0;0;0;0
2019-08-26 01:00:00;4;9;8;0;0;0;0;0
2019-08-26 01:15:00;7;10;4;0;0;0;0;0
2019-08-26 01:30:00;4;11;5;0;0;0;0;0
2019-08-26 01:45:00;4;9;7;0;0;0;0;0
2019-08-26 02:00:00;4;11;6;0;0;0;0;0
2019-08-26 02:15:00;5;8;2;0;0;0;0;0
2019-08-26 02:30:00;7;12;4;0;0;0;0;0
2019-08-26 02:45:00;4;4;6;0;0;0;0;0
2019-08-26 03:00:00;7;9;5;0;0;0;0;0
2019-08-26 03:15:00;2;3;6;0;0;0;0;0
2019-08-26 03:30:00;2;8;5;0;0;0;0;0
2019-08-26 03:45:00;7;6;5;0;0;0;0;0
2019-08-26 04:00:00;5;14;6;0;0;0;0;0
2019-08-26 04:15:00;8;13;5;0;0;0;0;0
2019-08-26 04:30:00;11;26;17;0;0;0;0;0
2019-08-26 04:45:00;14;26;25;0;0;0;0;0
2019-08-26 05:00:00;23;28;43;0;0;0;0;0
2019-08-26 05:15:00;16;44;73;0;0;0;0;0
2019-08-26 05:30:00;32;78;65;0;0;0;0;0
2019-08-26 05:45:00;41;74;49;0;0;0;0;0
2019-08-26 06:00:00;37;81;55;0;0;0;0;0
2019-08-26 06:15:00;27;98;60;0;0;0;0;0
2019-08-26 06:30:00;48;115;61;0;0;1;13;0
2019-08-26 06:45:00;54;115;85;0;3;10;11;1
2019-08-26 07:00:00;33;119;76;0;0;0;7;0
2019-08-26 07:15:00;53;121;79;0;10;4;18;1
2019-08-26 07:30:00;51;152;64;0;7;5;44;4
2019-08-26 07:45:00;67;121;88;0;4;2;6;6
2019-08-26 08:00:00;69;126;70;0;3;2;9;3
2019-08-26 08:15:00;73;112;85;0;9;8;8;1
2019-08-26 08:30:00;53;110;77;0;20;0;1;6
2019-08-26 08:45:00;66;114;70;0;6;5;17;4
2019-08-26 09:00:00;45;134;67;0;4;12;4;7
2019-08-26 09:15:00;55;105;62;0;10;8;11;9
2019-08-26 09:30:00;61;109;59;0;6;4;2;3
2019-08-26 09:45:00;64;132;65;0;5;3;3;3
2019-08-26 10:00:00;65;130;63;0;16;2;9;13
2019-08-26 10:15:00;62;118;63;0;4;9;38;1
2019-08-26 10:30:00;72;151;73;0;4;25;22;6
2019-08-26 10:45:00;81;153;79;0;10;3;18;15
2019-08-26 11:00:00;62;139;66;0;8;4;28;13
2019-08-26 11:15:00;66;123;61;0;14;25;9;0
2019-08-26 11:30:00;59;134;68;0;12;3;14;23
2019-08-26 11:45:00;68;145;69;0;6;10;11;4
2019-08-26 12:00:00;70;152;63;0;24;3;18;24
2019-08-26 12:15:00;82;155;62;0;21;0;1;9
2019-08-26 12:30:00;76;150;61;0;17;2;5;31
2019-08-26 12:45:00;71;129;75;0;6;8;47;1
2019-08-26 13:00:00;54;140;68;0;9;0;10;6
2019-08-26 13:15:00;92;145;76;0;15;9;4;1
2019-08-26 13:30:00;89;153;101;0;12;5;8;24
2019-08-26 13:45:00;89;149;81;0;69;1;5;20
2019-08-26 14:00:00;108;149;80;0;6;1;12;6
2019-08-26 14:15:00;121;156;66;0;19;2;14;13
2019-08-26 14:30:00;108;166;67;0;1;5;12;0
2019-08-26 14:45:00;89;140;69;0;2;0;5;1
2019-08-26 15:00:00;109;168;63;0;28;0;18;14
2019-08-26 15:15:00;100;167;64;0;5;4;7;3
2019-08-26 15:30:00;82;174;70;0;2;2;21;13
2019-08-26 15:45:00;105;178;72;0;8;7;8;0
2019-08-26 16:00:00;108;204;87;0;8;4;35;22
2019-08-26 16:15:00;108;223;74;0;14;7;14;19
2019-08-26 16:30:00;97;189;79;0;20;18;50;8
2019-08-26 16:45:00;106;204;69;0;15;3;4;9
2019-08-26 17:00:00;98;215;71;0;4;4;11;1
2019-08-26 17:15:00;94;210;90;0;28;3;12;32
2019-08-26 17:30:00;93;184;71;0;46;2;11;35
2019-08-26 17:45:00;82;176;78;0;16;3;22;15
2019-08-26 18:00:00;74;172;78;0;13;8;12;15
2019-08-26 18:15:00;70;140;68;0;1;2;4;14
2019-08-26 18:30:00;63;150;65;0;13;2;15;17
2019-08-26 18:45:00;53;154;59;0;6;3;11;9
2019-08-26 19:00:00;43;118;65;0;8;10;2;11
2019-08-26 19:15:00;56;116;49;0;17;0;2;4
2019-08-26 19:30:00;43;123;66;0;6;3;27;1
2019-08-26 19:45:00;53;134;47;0;8;0;0;0
2019-08-26 20:00:00;52;150;42;0;7;11;15;13
2019-08-26 20:15:00;51;106;44;0;41;0;1;30
2019-08-26 20:30:00;40;77;41;0;0;0;0;0
2019-08-26 20:45:00;33;85;38;0;2;0;0;0
