DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2019-12-24 00:00:00;11;18;0;2;3;18;19;7;5;4;0;0;0;0
2019-12-24 00:15:00;7;10;1;1;6;23;21;7;2;4;0;0;0;0
2019-12-24 00:30:00;14;9;1;3;2;15;14;5;4;5;0;0;0;0
2019-12-24 00:45:00;15;9;3;2;2;15;19;5;2;1;0;0;0;0
2019-12-24 01:00:00;9;5;0;3;6;14;11;3;1;1;0;0;0;0
2019-12-24 01:15:00;10;16;3;5;5;19;21;8;3;1;0;0;0;0
2019-12-24 01:30:00;8;13;2;1;5;12;15;5;0;1;0;0;0;0
2019-12-24 01:45:00;14;9;3;4;5;19;12;3;2;2;0;0;0;0
2019-12-24 02:00:00;3;6;0;1;3;7;9;3;0;0;0;0;0;0
2019-12-24 02:15:00;6;6;2;2;2;7;7;1;0;0;0;0;0;0
2019-12-24 02:30:00;2;2;0;0;1;7;9;5;0;1;0;0;0;0
2019-12-24 02:45:00;7;8;0;1;1;2;3;2;0;1;0;0;0;0
2019-12-24 03:00:00;3;7;3;0;0;7;12;6;0;0;0;0;0;0
2019-12-24 03:15:00;6;6;2;0;1;8;6;2;0;1;0;0;0;0
2019-12-24 03:30:00;3;3;1;0;1;5;7;3;0;0;0;0;0;0
2019-12-24 03:45:00;7;3;1;2;1;5;4;1;0;0;0;0;0;0
2019-12-24 04:00:00;6;5;1;3;1;4;5;1;0;1;0;0;0;0
2019-12-24 04:15:00;4;4;2;1;2;9;7;3;0;0;0;0;0;0
2019-12-24 04:30:00;5;4;3;7;5;15;14;2;0;1;0;0;0;0
2019-12-24 04:45:00;7;10;1;2;6;7;9;6;2;2;0;0;0;0
2019-12-24 05:00:00;5;10;4;2;1;8;10;3;2;3;0;0;0;0
2019-12-24 05:15:00;10;9;1;1;1;14;18;13;3;3;0;0;0;0
2019-12-24 05:30:00;20;19;4;5;7;17;16;12;2;1;0;0;0;0
2019-12-24 05:45:00;12;14;2;3;7;17;23;19;1;1;0;0;0;0
2019-12-24 06:00:00;11;8;0;9;8;11;18;8;0;1;0;0;0;0
2019-12-24 06:15:00;23;16;5;9;7;20;17;13;3;0;0;0;0;0
