DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-08-23 00:00:00;5;0;3;1;0;0;0;0;0;0;0;0
2019-08-23 00:15:00;4;0;5;2;0;0;0;0;0;0;0;0
2019-08-23 00:30:00;9;0;1;2;0;0;0;0;0;0;0;0
2019-08-23 00:45:00;5;0;2;5;0;0;0;0;0;0;0;0
2019-08-23 01:00:00;5;0;3;3;0;0;0;0;0;0;0;0
2019-08-23 01:15:00;0;0;2;3;0;0;0;0;0;0;0;0
2019-08-23 01:30:00;1;0;3;2;0;0;0;0;0;0;0;0
2019-08-23 01:45:00;3;0;3;1;0;0;0;0;0;0;0;0
2019-08-23 02:00:00;2;0;3;2;0;0;0;0;0;0;0;0
2019-08-23 02:15:00;2;0;1;3;0;0;0;0;0;0;0;0
2019-08-23 02:30:00;1;0;1;2;0;0;0;0;0;0;0;0
2019-08-23 02:45:00;1;0;1;0;0;0;0;0;0;0;0;0
2019-08-23 03:00:00;2;0;0;3;0;0;0;0;0;0;0;0
2019-08-23 03:15:00;3;0;4;1;0;0;0;0;0;0;0;0
2019-08-23 03:30:00;1;0;3;0;0;0;0;0;0;0;0;0
2019-08-23 03:45:00;1;0;0;0;0;0;0;0;0;0;0;0
2019-08-23 04:00:00;3;0;0;1;0;0;0;0;0;0;0;0
2019-08-23 04:15:00;8;0;2;5;0;0;0;0;0;0;0;0
2019-08-23 04:30:00;9;0;4;0;0;0;0;0;0;0;0;0
2019-08-23 04:45:00;7;0;8;5;0;0;0;0;0;0;0;0
2019-08-23 05:00:00;9;0;15;8;0;0;0;0;0;0;0;0
2019-08-23 05:15:00;19;0;17;8;0;0;0;0;0;0;0;0
2019-08-23 05:30:00;35;0;40;7;0;0;0;0;0;0;0;0
2019-08-23 05:45:00;29;0;43;11;0;0;0;0;0;0;0;0
2019-08-23 06:00:00;25;0;40;5;0;0;0;0;0;0;0;0
2019-08-23 06:15:00;31;0;51;8;0;0;0;0;0;0;0;0
2019-08-23 06:30:00;47;0;81;13;1;0;0;0;0;0;0;0
2019-08-23 06:45:00;49;0;67;14;0;4;0;0;0;0;0;0
2019-08-23 07:00:00;37;0;68;6;2;0;0;0;0;0;0;0
2019-08-23 07:15:00;49;0;94;8;3;0;6;1;2;0;0;0
2019-08-23 07:30:00;49;0;84;17;3;2;2;0;0;0;0;0
2019-08-23 07:45:00;45;0;80;11;17;1;1;0;0;0;0;0
2019-08-23 08:00:00;33;0;82;17;1;0;1;0;0;0;0;0
2019-08-23 08:15:00;43;0;81;17;5;0;1;0;0;0;0;0
2019-08-23 08:30:00;46;0;79;20;3;0;0;0;0;0;0;0
2019-08-23 08:45:00;54;0;75;18;7;0;0;1;0;0;0;0
2019-08-23 09:00:00;53;0;57;12;5;0;23;0;0;0;0;0
2019-08-23 09:15:00;36;0;66;23;5;1;1;3;0;0;0;0
2019-08-23 09:30:00;46;0;59;20;0;3;2;0;0;0;0;0
