DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2020-09-05 00:00:00;4;3;0;0;6;6;0;0
2020-09-05 00:15:00;7;7;0;0;8;3;0;0
2020-09-05 00:30:00;6;3;0;0;4;6;0;0
2020-09-05 00:45:00;6;5;0;0;8;12;0;0
2020-09-05 01:00:00;5;5;0;0;4;6;0;0
2020-09-05 01:15:00;2;3;0;0;6;5;0;0
2020-09-05 01:30:00;3;13;3;0;3;1;0;0
2020-09-05 01:45:00;0;5;0;0;0;5;0;0
2020-09-05 02:00:00;4;2;0;0;2;8;0;0
2020-09-05 02:15:00;2;0;0;0;0;4;0;0
2020-09-05 02:30:00;1;0;0;0;1;2;0;0
2020-09-05 02:45:00;2;5;0;0;1;1;0;0
2020-09-05 03:00:00;6;4;0;0;2;0;0;0
2020-09-05 03:15:00;2;2;0;0;0;4;0;0
2020-09-05 03:30:00;2;3;0;0;1;3;0;0
2020-09-05 03:45:00;2;1;0;0;1;4;0;0
2020-09-05 04:00:00;4;3;0;0;3;2;0;0
2020-09-05 04:15:00;4;1;1;0;2;2;0;0
2020-09-05 04:30:00;3;2;1;0;3;0;0;0
2020-09-05 04:45:00;1;1;0;0;1;1;0;0
2020-09-05 05:00:00;1;2;0;0;5;4;0;0
2020-09-05 05:15:00;3;6;0;0;5;14;2;3
2020-09-05 05:30:00;22;19;0;0;10;11;3;4
2020-09-05 05:45:00;57;85;4;0;13;10;0;20
2020-09-05 06:00:00;83;112;6;0;14;9;0;28
2020-09-05 06:15:00;24;30;2;0;8;10;0;4
2020-09-05 06:30:00;24;11;0;0;19;14;1;2
2020-09-05 06:45:00;7;5;0;0;14;10;1;0
2020-09-05 07:00:00;3;5;0;0;8;7;0;0
2020-09-05 07:15:00;7;6;1;0;10;3;1;0
2020-09-05 07:30:00;6;12;1;0;8;4;0;0
2020-09-05 07:45:00;7;9;0;0;13;3;1;0
2020-09-05 08:00:00;11;12;0;0;5;6;0;0
2020-09-05 08:15:00;8;7;0;0;5;3;0;0
2020-09-05 08:30:00;10;9;0;0;11;3;0;0
2020-09-05 08:45:00;5;15;1;0;8;3;0;0
2020-09-05 09:00:00;10;21;0;0;12;13;0;0
2020-09-05 09:15:00;10;19;0;0;13;8;0;0
2020-09-05 09:30:00;21;25;0;0;12;7;0;0
2020-09-05 09:45:00;26;27;0;0;11;12;0;0
2020-09-05 10:00:00;22;27;0;0;26;6;0;0
2020-09-05 10:15:00;17;36;0;0;15;10;0;0
2020-09-05 10:30:00;25;17;2;0;19;14;1;0
2020-09-05 10:45:00;19;34;0;0;17;18;0;0
2020-09-05 11:00:00;17;28;0;0;22;15;0;0
2020-09-05 11:15:00;24;21;2;0;17;13;0;0
2020-09-05 11:30:00;19;21;0;0;35;25;0;0
2020-09-05 11:45:00;24;16;0;0;18;14;0;3
2020-09-05 12:00:00;14;27;0;0;36;25;0;0
2020-09-05 12:15:00;21;13;0;0;19;12;0;0
2020-09-05 12:30:00;15;25;1;0;27;17;0;0
2020-09-05 12:45:00;17;25;0;0;23;15;0;0
2020-09-05 13:00:00;18;24;0;0;21;14;0;7
2020-09-05 13:15:00;6;27;1;0;26;14;0;0
2020-09-05 13:30:00;16;29;1;0;26;29;0;2
2020-09-05 13:45:00;15;24;0;0;23;22;1;1
2020-09-05 14:00:00;22;15;0;0;34;13;0;2
2020-09-05 14:15:00;19;24;0;0;18;16;0;0
2020-09-05 14:30:00;23;27;2;0;16;14;0;0
2020-09-05 14:45:00;16;17;0;0;26;16;0;0
2020-09-05 15:00:00;19;22;0;0;19;15;0;0
2020-09-05 15:15:00;11;23;0;0;22;16;0;0
2020-09-05 15:30:00;20;27;0;0;27;14;0;1
2020-09-05 15:45:00;10;28;0;0;20;17;0;0
2020-09-05 16:00:00;16;16;0;0;18;19;0;1
2020-09-05 16:15:00;19;18;0;0;18;13;0;0
2020-09-05 16:30:00;20;20;0;0;21;10;0;0
2020-09-05 16:45:00;23;19;0;0;20;19;0;0
2020-09-05 17:00:00;17;16;0;0;13;22;0;0
2020-09-05 17:15:00;20;20;0;0;10;8;0;0
2020-09-05 17:30:00;21;16;0;0;17;17;0;0
2020-09-05 17:45:00;16;22;3;0;22;15;0;0
2020-09-05 18:00:00;18;20;0;0;28;17;0;0
2020-09-05 18:15:00;24;24;1;0;20;15;0;0
2020-09-05 18:30:00;22;21;0;0;15;8;0;0
2020-09-05 18:45:00;11;26;0;0;14;15;0;0
2020-09-05 19:00:00;11;20;0;0;14;15;0;0
2020-09-05 19:15:00;16;13;0;0;14;11;0;0
2020-09-05 19:30:00;14;25;1;0;20;21;0;0
2020-09-05 19:45:00;20;32;1;0;13;9;0;0
2020-09-05 20:00:00;18;19;0;0;21;18;0;0
2020-09-05 20:15:00;8;14;0;0;9;13;0;0
2020-09-05 20:30:00;12;22;0;0;15;8;0;0
2020-09-05 20:45:00;16;7;0;0;15;17;0;0
2020-09-05 21:00:00;9;11;0;0;15;9;0;0
2020-09-05 21:15:00;11;4;0;0;14;9;0;0
2020-09-05 21:30:00;10;9;1;0;16;6;0;0
2020-09-05 21:45:00;5;12;0;0;7;7;0;0
2020-09-05 22:00:00;10;7;0;0;15;12;0;0
2020-09-05 22:15:00;2;6;0;0;5;7;0;0
2020-09-05 22:30:00;2;12;0;0;17;6;0;0
2020-09-05 22:45:00;4;7;0;0;12;4;0;0
2020-09-05 23:00:00;6;5;0;0;10;9;0;0
2020-09-05 23:15:00;4;6;0;0;9;8;0;0
2020-09-05 23:30:00;2;5;0;0;8;7;0;0
2020-09-05 23:45:00;7;7;0;0;4;6;0;0
