DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-03-01 00:00:00;15;8;0;0;9;11;13;10;11;4;855;1;0
2020-03-01 00:15:00;15;12;2;1;19;19;16;4;8;2;733;2;0
2020-03-01 00:30:00;11;9;1;1;12;14;10;6;7;5;332;0;1
2020-03-01 00:45:00;15;13;1;2;13;16;8;3;8;3;2348;0;0
2020-03-01 01:00:00;11;11;0;0;9;16;10;3;8;6;842;0;0
2020-03-01 01:15:00;6;3;0;1;14;13;11;6;8;3;1103;0;0
2020-03-01 01:30:00;7;8;3;1;11;19;9;2;7;4;275;0;0
2020-03-01 01:45:00;6;9;1;0;10;9;8;3;6;3;2101;0;0
2020-03-01 02:00:00;2;2;0;0;4;8;4;4;7;1;838;0;0
2020-03-01 02:15:00;5;6;1;0;8;8;1;1;5;0;939;0;0
2020-03-01 02:30:00;4;5;0;0;6;7;0;1;5;1;1211;0;0
2020-03-01 02:45:00;7;6;4;1;6;6;6;1;6;1;1636;0;0
2020-03-01 03:00:00;6;7;2;0;1;4;2;5;1;1;880;0;7
2020-03-01 03:15:00;4;6;0;0;4;9;3;0;4;0;838;0;0
2020-03-01 03:30:00;2;5;0;0;6;3;4;2;3;1;935;0;0
2020-03-01 03:45:00;1;4;0;0;3;8;4;1;4;2;1968;0;0
2020-03-01 04:00:00;5;6;2;0;2;5;2;3;1;0;546;0;0
2020-03-01 04:15:00;4;3;1;0;7;6;1;1;2;3;616;0;0
2020-03-01 04:30:00;4;5;0;0;2;3;3;3;2;4;423;0;0
2020-03-01 04:45:00;2;3;0;1;6;8;6;1;4;2;1952;0;1
2020-03-01 05:00:00;4;4;0;0;3;2;3;2;3;1;1422;0;0
2020-03-01 05:15:00;4;3;0;0;5;8;2;4;4;2;844;0;0
2020-03-01 05:30:00;2;0;0;2;8;5;12;9;2;2;336;0;0
2020-03-01 05:45:00;8;8;2;0;6;6;11;4;7;8;697;1;0
2020-03-01 06:00:00;4;2;0;0;8;8;8;3;10;4;1491;0;0
2020-03-01 06:15:00;7;3;0;0;12;9;1;7;11;5;1397;0;0
2020-03-01 06:30:00;3;3;1;0;7;4;7;7;9;3;407;0;0
2020-03-01 06:45:00;2;1;0;0;5;5;2;1;4;0;510;0;0
2020-03-01 07:00:00;7;2;2;0;8;6;4;1;5;4;1;0;0
2020-03-01 07:15:00;7;2;0;0;12;11;8;5;5;0;0;1;1
2020-03-01 07:30:00;4;0;0;1;8;9;9;3;6;2;1;0;0
2020-03-01 07:45:00;4;2;0;0;12;9;6;2;13;4;0;1;0
2020-03-01 08:00:00;7;5;1;1;19;17;13;5;13;3;1;1;0
2020-03-01 08:15:00;10;5;0;1;14;16;10;6;4;1;1;0;0
2020-03-01 08:30:00;8;2;0;0;15;13;15;9;9;5;0;1;1
2020-03-01 08:45:00;11;10;0;0;24;25;10;4;14;1;3;0;0
2020-03-01 09:00:00;5;3;0;1;21;23;19;6;15;2;2;1;0
2020-03-01 09:15:00;7;8;1;2;25;18;24;11;21;6;1;0;0
2020-03-01 09:30:00;12;10;1;1;33;27;38;7;31;5;4;0;1
2020-03-01 09:45:00;12;9;0;1;18;22;39;17;33;11;5;0;0
2020-03-01 10:00:00;22;3;0;0;28;22;31;15;21;1;6;1;0
2020-03-01 10:15:00;17;8;0;1;22;22;36;6;32;8;4;0;0
2020-03-01 10:30:00;15;19;0;0;34;29;32;17;27;7;1;0;2
2020-03-01 10:45:00;30;14;1;0;29;27;31;11;22;7;4;0;2
2020-03-01 11:00:00;13;8;0;1;28;33;28;7;29;9;3;0;1
2020-03-01 11:15:00;16;14;2;0;24;37;27;15;31;9;0;0;0
2020-03-01 11:30:00;21;17;1;0;44;50;35;13;40;11;0;0;1
2020-03-01 11:45:00;22;8;0;1;37;52;53;26;43;12;3;0;0
2020-03-01 12:00:00;30;23;0;3;46;52;39;21;36;13;4;2;6
2020-03-01 12:15:00;25;18;2;0;46;50;43;10;26;10;2;2;2
2020-03-01 12:30:00;29;14;3;1;26;28;34;13;28;12;1;0;2
2020-03-01 12:45:00;22;13;0;1;40;47;41;24;18;11;2;0;0
2020-03-01 13:00:00;32;23;0;0;40;44;41;20;38;13;3;2;0
2020-03-01 13:15:00;23;22;1;0;38;49;44;19;39;13;2;0;0
2020-03-01 13:30:00;21;12;1;0;46;43;36;10;34;12;4;1;1
2020-03-01 13:45:00;24;13;0;3;43;53;44;20;34;15;1;0;0
2020-03-01 14:00:00;22;13;0;2;43;44;43;21;37;9;4;2;0
2020-03-01 14:15:00;20;13;3;1;37;37;38;19;27;15;5;1;0
2020-03-01 14:30:00;20;20;2;3;47;51;41;23;36;20;6;1;1
2020-03-01 14:45:00;22;16;2;1;42;49;51;26;38;14;9;2;2
2020-03-01 15:00:00;25;18;1;1;42;41;53;18;47;15;7;7;0
2020-03-01 15:15:00;21;9;1;5;43;49;49;18;31;16;3;11;0
2020-03-01 15:30:00;23;17;0;3;44;60;44;16;25;9;2;2;3
2020-03-01 15:45:00;30;12;2;2;36;49;47;28;35;13;3;5;0
2020-03-01 16:00:00;28;12;1;3;37;42;40;20;25;9;3;7;0
2020-03-01 16:15:00;24;23;2;0;48;54;39;25;28;11;5;3;1
2020-03-01 16:30:00;17;18;1;2;44;56;63;32;34;14;3;0;3
2020-03-01 16:45:00;15;17;4;0;33;44;45;24;29;14;7;10;0
2020-03-01 17:00:00;25;14;0;2;45;68;49;12;33;7;4;2;2
2020-03-01 17:15:00;32;22;2;4;37;44;54;26;39;16;0;3;1
2020-03-01 17:30:00;22;11;0;1;42;48;44;18;29;11;2;2;1
2020-03-01 17:45:00;19;13;2;1;35;43;42;19;37;7;0;8;0
2020-03-01 18:00:00;11;10;2;0;33;42;48;19;34;14;4;13;0
2020-03-01 18:15:00;20;18;3;2;45;40;41;20;31;17;367;9;0
2020-03-01 18:30:00;24;20;4;1;37;49;40;14;27;20;371;10;0
2020-03-01 18:45:00;16;14;2;2;37;42;51;25;32;12;2061;7;0
2020-03-01 19:00:00;11;15;2;1;31;40;41;22;24;11;1122;0;0
2020-03-01 19:15:00;12;9;1;4;33;42;28;17;26;7;1596;0;5
2020-03-01 19:30:00;23;13;1;1;28;39;28;19;28;8;896;3;6
2020-03-01 19:45:00;18;14;1;0;27;34;42;27;26;10;1823;4;0
2020-03-01 20:00:00;26;15;2;0;32;38;46;18;20;6;1017;2;4
2020-03-01 20:15:00;18;15;3;2;38;44;28;9;22;9;1175;1;0
2020-03-01 20:30:00;14;12;1;0;25;30;35;17;29;11;843;1;0
2020-03-01 20:45:00;12;12;1;1;20;21;23;14;20;9;2404;4;0
2020-03-01 21:00:00;10;8;0;0;20;22;24;14;11;3;1057;3;4
2020-03-01 21:15:00;11;7;0;0;17;19;19;10;18;3;937;0;0
2020-03-01 21:30:00;12;12;1;0;17;12;20;12;10;3;1064;0;0
2020-03-01 21:45:00;7;5;1;0;14;13;13;5;7;5;1863;0;0
2020-03-01 22:00:00;12;5;0;1;15;19;17;7;11;4;1052;0;0
2020-03-01 22:15:00;6;5;0;0;8;13;16;9;11;2;1193;0;4
2020-03-01 22:30:00;7;5;0;2;12;15;16;5;10;1;1103;0;0
2020-03-01 22:45:00;6;6;0;0;9;9;10;4;8;2;1355;1;0
2020-03-01 23:00:00;10;7;1;0;11;13;11;3;10;1;445;0;0
2020-03-01 23:15:00;4;3;0;0;8;12;5;5;5;2;57;0;0
2020-03-01 23:30:00;8;4;1;1;6;4;7;2;4;3;1794;0;4
2020-03-01 23:45:00;2;3;0;2;7;8;5;2;2;1;899;0;0
