DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-06-16 00:00:00;6;2;0;1;1;4;8;0;0;0
2020-06-16 00:15:00;6;3;1;2;7;1;9;0;0;0
2020-06-16 00:30:00;7;4;0;2;0;8;14;0;0;0
2020-06-16 00:45:00;5;2;2;2;6;6;10;0;0;0
2020-06-16 01:00:00;6;1;0;0;1;1;8;0;0;0
2020-06-16 01:15:00;4;0;0;1;4;5;7;0;0;0
2020-06-16 01:30:00;0;0;0;0;1;3;12;0;0;0
2020-06-16 01:45:00;3;1;0;3;5;6;13;0;0;0
2020-06-16 02:00:00;5;1;0;0;1;4;7;0;0;0
2020-06-16 02:15:00;2;1;0;0;1;8;9;0;0;0
2020-06-16 02:30:00;1;0;0;0;2;1;3;0;0;0
2020-06-16 03:00:00;3;4;0;2;2;3;5;0;0;0
2020-06-16 03:15:00;9;3;0;0;3;7;10;0;0;0
2020-06-16 03:30:00;3;2;0;0;1;4;5;0;0;0
2020-06-16 03:45:00;7;2;0;1;1;9;10;0;0;0
2020-06-16 04:00:00;3;5;4;0;4;5;14;0;0;0
2020-06-16 04:15:00;3;5;1;2;4;9;11;0;0;0
2020-06-16 04:30:00;9;10;5;2;3;1;6;0;0;0
2020-06-16 04:45:00;8;9;12;6;5;18;33;0;0;0
2020-06-16 05:00:00;24;28;52;13;2;19;30;0;0;0
2020-06-16 05:15:00;44;80;114;40;18;30;51;0;0;0
2020-06-16 05:30:00;70;71;80;45;20;2;28;0;0;0
2020-06-16 05:45:00;107;39;54;145;30;23;35;0;0;0
2020-06-16 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-16 06:15:00;43;31;52;70;25;21;60;0;0;0
2020-06-16 06:30:00;66;54;73;54;16;26;56;0;0;0
2020-06-16 06:45:00;76;47;59;55;11;33;68;0;0;0
2020-06-16 07:00:00;96;54;75;41;13;29;58;0;0;0
2020-06-16 07:15:00;101;54;86;51;13;29;55;2;0;0
2020-06-16 07:30:00;123;41;68;51;16;22;48;0;0;0
2020-06-16 07:45:00;95;52;74;78;11;19;110;0;0;0
2020-06-16 08:00:00;105;25;40;51;12;23;59;0;0;0
2020-06-16 08:15:00;79;31;41;48;13;13;45;0;0;0
2020-06-16 08:30:00;80;32;38;49;18;13;50;0;0;0
2020-06-16 08:45:00;85;30;29;40;16;7;49;0;0;0
2020-06-16 09:00:00;78;24;36;36;13;18;37;0;2;0
2020-06-16 09:15:00;85;18;21;35;17;15;35;0;0;0
2020-06-16 09:30:00;93;23;28;40;16;7;39;0;0;0
2020-06-16 09:45:00;83;18;24;30;14;8;38;0;0;0
2020-06-16 10:00:00;97;24;26;27;20;17;44;0;0;0
2020-06-16 10:15:00;93;22;18;37;18;15;90;0;0;0
2020-06-16 10:30:00;101;19;25;29;24;14;46;2;0;0
2020-06-16 10:45:00;89;18;18;35;21;13;69;0;0;0
2020-06-16 11:00:00;93;19;18;44;20;8;47;0;0;0
2020-06-16 11:15:00;69;24;23;44;23;24;52;0;0;0
2020-06-16 11:30:00;89;18;15;37;21;9;47;0;0;0
2020-06-16 11:45:00;62;21;25;40;25;9;71;0;0;0
2020-06-16 12:00:00;84;21;21;39;20;5;55;0;0;0
2020-06-16 12:15:00;74;22;22;42;21;8;58;0;0;0
2020-06-16 12:30:00;66;20;22;45;22;12;52;0;0;0
2020-06-16 12:45:00;90;27;25;54;14;10;61;0;0;0
2020-06-16 13:00:00;85;17;30;42;17;7;42;0;0;0
2020-06-16 13:15:00;78;30;38;55;22;7;34;1;0;0
2020-06-16 13:30:00;65;39;56;77;25;14;58;0;0;0
2020-06-16 13:45:00;99;42;64;71;22;4;38;0;0;0
2020-06-16 14:00:00;141;55;67;109;38;8;21;0;0;0
2020-06-16 14:15:00;206;66;84;169;70;12;47;1;0;0
2020-06-16 14:30:00;165;45;54;225;69;1;32;0;0;0
2020-06-16 14:45:00;181;51;53;130;62;2;27;0;0;0
2020-06-16 15:00:00;140;35;61;117;44;4;43;0;0;0
2020-06-16 15:15:00;165;47;58;110;41;1;22;0;0;0
2020-06-16 15:30:00;152;49;74;79;38;0;17;0;0;0
2020-06-16 15:45:00;189;50;75;69;40;6;20;0;0;0
