DATUM;1(DA1);2(DB1);3(TAFGA);4(TAFGB);5(TAFBA);6(TAFBB)
2020-07-31 00:00:00;1;4;0;0;0;0
2020-07-31 00:15:00;0;1;0;0;0;0
2020-07-31 00:30:00;0;2;0;0;0;0
2020-07-31 00:45:00;1;0;0;0;0;0
2020-07-31 01:00:00;0;0;0;0;0;0
2020-07-31 01:15:00;1;0;0;0;0;0
2020-07-31 01:30:00;0;2;0;0;0;0
2020-07-31 01:45:00;0;0;0;0;0;0
2020-07-31 02:00:00;1;3;0;0;0;0
2020-07-31 02:15:00;0;1;0;0;0;0
2020-07-31 02:30:00;0;0;0;0;0;0
2020-07-31 02:45:00;1;0;0;0;0;0
2020-07-31 03:00:00;2;2;0;0;0;0
2020-07-31 03:15:00;2;0;0;0;0;0
2020-07-31 03:30:00;0;0;0;0;0;0
2020-07-31 03:45:00;2;0;0;0;0;0
2020-07-31 04:00:00;0;1;0;0;0;0
2020-07-31 04:15:00;0;4;0;0;0;0
2020-07-31 04:30:00;3;2;0;0;0;0
2020-07-31 04:45:00;1;2;0;0;0;0
2020-07-31 05:00:00;1;3;0;0;0;0
2020-07-31 05:15:00;0;4;0;0;0;0
2020-07-31 05:30:00;13;5;0;0;0;0
2020-07-31 05:45:00;12;5;0;0;0;0
2020-07-31 06:00:00;6;6;0;0;0;0
2020-07-31 06:15:00;6;5;0;0;0;0
2020-07-31 06:30:00;1;2;0;0;0;0
2020-07-31 06:45:00;18;7;0;1;0;0
2020-07-31 07:00:00;10;5;0;2;0;0
2020-07-31 07:15:00;9;8;0;0;0;0
2020-07-31 07:30:00;9;3;1;0;0;0
2020-07-31 07:45:00;10;15;0;1;0;0
2020-07-31 08:00:00;12;14;0;0;0;0
2020-07-31 08:15:00;9;19;2;0;0;0
2020-07-31 08:30:00;14;12;0;0;0;0
2020-07-31 08:45:00;8;12;2;2;0;0
2020-07-31 09:00:00;6;10;2;4;0;0
2020-07-31 09:15:00;10;16;1;1;0;0
2020-07-31 09:30:00;9;26;2;1;0;0
2020-07-31 09:45:00;14;12;6;0;0;0
2020-07-31 10:00:00;13;20;2;1;0;0
2020-07-31 10:15:00;15;16;2;1;0;0
2020-07-31 10:30:00;18;12;0;1;0;0
2020-07-31 10:45:00;7;22;1;1;0;0
2020-07-31 11:00:00;6;22;2;2;0;0
2020-07-31 11:15:00;10;20;2;1;0;0
2020-07-31 11:30:00;16;26;1;4;0;0
2020-07-31 11:45:00;16;17;9;0;0;0
2020-07-31 12:00:00;7;27;3;0;0;0
2020-07-31 12:15:00;21;21;4;0;0;0
2020-07-31 12:30:00;11;10;0;4;0;0
2020-07-31 12:45:00;18;22;3;2;0;0
2020-07-31 13:00:00;15;24;2;1;0;0
2020-07-31 13:15:00;11;13;2;2;0;0
2020-07-31 13:30:00;7;9;0;4;0;0
2020-07-31 13:45:00;26;16;1;0;0;0
2020-07-31 14:00:00;20;22;1;3;0;0
2020-07-31 14:15:00;16;13;0;1;0;0
2020-07-31 14:30:00;14;23;0;4;0;0
2020-07-31 14:45:00;15;15;2;0;0;0
2020-07-31 15:00:00;26;23;4;0;0;0
2020-07-31 15:15:00;22;23;1;2;0;0
2020-07-31 15:30:00;14;18;1;2;0;0
2020-07-31 15:45:00;15;17;0;2;0;0
2020-07-31 16:00:00;17;15;3;1;0;0
2020-07-31 16:15:00;24;16;2;3;0;0
2020-07-31 16:30:00;17;17;7;4;0;0
2020-07-31 16:45:00;20;15;3;2;0;0
2020-07-31 17:00:00;16;29;3;3;0;0
2020-07-31 17:15:00;20;19;6;0;0;0
2020-07-31 17:30:00;19;20;5;3;0;0
2020-07-31 17:45:00;17;13;1;0;0;0
2020-07-31 18:00:00;17;21;2;5;0;0
2020-07-31 18:15:00;15;11;1;0;0;0
2020-07-31 18:30:00;14;17;1;3;0;0
2020-07-31 18:45:00;17;16;0;1;0;0
2020-07-31 19:00:00;16;5;1;1;0;0
2020-07-31 19:15:00;14;14;8;2;0;0
2020-07-31 19:30:00;11;22;1;1;0;0
2020-07-31 19:45:00;26;11;1;0;0;0
2020-07-31 20:00:00;9;8;4;1;0;0
2020-07-31 20:15:00;9;9;0;0;0;0
2020-07-31 20:30:00;13;13;1;0;0;0
2020-07-31 20:45:00;7;8;3;1;0;0
2020-07-31 21:00:00;6;13;2;1;0;0
2020-07-31 21:15:00;11;14;0;0;0;0
2020-07-31 21:30:00;6;6;0;1;0;0
2020-07-31 21:45:00;5;8;0;0;0;0
2020-07-31 22:00:00;5;3;0;0;0;0
2020-07-31 22:15:00;11;10;1;0;0;0
2020-07-31 22:30:00;11;2;0;0;0;0
2020-07-31 22:45:00;6;6;0;0;0;0
2020-07-31 23:00:00;6;3;0;0;0;0
2020-07-31 23:15:00;4;5;0;0;0;0
2020-07-31 23:30:00;3;1;0;0;0;0
2020-07-31 23:45:00;1;5;0;0;0;0
