DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2020-02-27 00:00:00;0;1;4;0;0;1;3;3;1;2;1
2020-02-27 00:15:00;0;2;6;0;0;4;8;0;0;1;2
2020-02-27 00:30:00;1;4;4;0;1;0;2;2;1;6;1
2020-02-27 00:45:00;0;4;2;0;0;1;1;4;1;3;1
2020-02-27 01:00:00;1;0;3;0;0;1;1;0;0;0;2
2020-02-27 01:15:00;0;1;0;0;0;4;1;0;0;1;1
2020-02-27 01:30:00;0;1;3;0;0;0;1;0;0;3;0
2020-02-27 01:45:00;0;2;2;0;0;1;1;0;0;2;2
2020-02-27 02:00:00;0;1;0;0;0;1;2;0;2;1;2
2020-02-27 02:15:00;0;0;3;2;3;0;0;0;0;0;2
2020-02-27 02:30:00;0;1;0;0;0;0;3;0;0;0;0
2020-02-27 02:45:00;0;0;1;0;0;0;0;0;0;0;2
2020-02-27 03:00:00;0;1;0;1;1;0;1;0;0;3;0
2020-02-27 03:15:00;0;1;0;0;0;1;1;0;0;3;1
2020-02-27 03:30:00;0;0;3;0;0;0;0;0;0;0;1
2020-02-27 03:45:00;0;1;3;0;0;0;1;0;0;0;1
2020-02-27 04:00:00;0;0;1;1;1;0;1;0;0;3;3
2020-02-27 04:15:00;0;2;2;2;2;1;1;1;1;0;1
2020-02-27 04:30:00;0;1;1;0;0;0;1;0;0;0;5
2020-02-27 04:45:00;2;2;6;0;2;1;2;0;2;3;0
2020-02-27 05:00:00;0;16;14;0;0;3;1;1;1;7;4
2020-02-27 05:15:00;4;15;25;2;3;0;3;5;3;6;9
2020-02-27 05:30:00;2;31;48;3;4;5;8;3;4;21;10
2020-02-27 05:45:00;2;27;32;1;4;3;8;0;5;21;17
2020-02-27 06:00:00;2;25;23;5;6;3;12;1;13;15;14
2020-02-27 06:15:00;7;31;14;7;10;5;10;3;10;21;17
2020-02-27 06:30:00;6;40;26;4;7;5;19;6;14;24;20
2020-02-27 06:45:00;7;46;41;8;11;11;23;9;14;27;25
2020-02-27 07:00:00;3;41;38;19;21;8;29;11;16;28;29
2020-02-27 07:15:00;6;46;43;17;22;11;39;13;18;24;24
2020-02-27 07:30:00;8;44;36;11;18;15;37;23;29;29;28
2020-02-27 07:45:00;5;37;42;20;20;12;35;15;35;33;24
