DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-06-29 00:00:00;5;6;0;6;7;1;2;3;0;0;0;0;0;0
2020-06-29 00:15:00;4;13;1;2;7;2;2;1;2;0;0;0;0;0
2020-06-29 00:30:00;9;10;0;6;5;0;0;3;2;0;0;0;0;0
2020-06-29 00:45:00;7;9;0;0;11;1;0;4;0;0;0;0;0;0
2020-06-29 01:00:00;6;12;0;0;7;1;1;1;1;0;0;0;0;0
2020-06-29 01:15:00;1;6;0;0;8;3;0;2;2;0;0;0;0;0
2020-06-29 01:30:00;1;4;0;1;5;0;0;0;0;0;0;0;0;0
2020-06-29 01:45:00;2;4;0;8;8;4;1;1;1;0;0;0;0;0
2020-06-29 02:00:00;4;3;0;4;10;1;0;0;0;0;0;0;0;0
2020-06-29 02:15:00;7;6;0;4;3;3;0;0;0;0;0;0;0;0
2020-06-29 02:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-29 02:45:00;3;5;0;4;6;1;0;0;0;0;0;0;0;0
2020-06-29 03:00:00;0;3;0;1;10;2;0;0;0;0;0;0;0;0
2020-06-29 03:15:00;4;5;0;1;4;0;0;0;0;0;0;0;0;0
2020-06-29 03:30:00;2;6;0;2;9;0;1;0;0;0;0;0;0;0
2020-06-29 03:45:00;3;6;0;3;4;2;0;0;0;0;0;0;0;0
2020-06-29 04:00:00;4;5;0;5;14;1;0;0;1;0;0;0;0;0
2020-06-29 04:15:00;7;10;0;6;16;4;0;1;0;1;0;0;0;0
2020-06-29 04:30:00;10;13;0;11;14;1;0;0;0;0;0;0;0;0
2020-06-29 04:45:00;21;20;0;7;15;0;0;0;0;0;0;0;0;0
2020-06-29 05:00:00;52;71;0;20;35;1;1;1;1;0;0;0;0;0
2020-06-29 05:15:00;90;99;0;15;36;5;1;2;0;0;0;0;0;0
2020-06-29 05:30:00;113;131;0;30;50;8;2;3;1;0;0;0;0;0
2020-06-29 05:45:00;82;98;0;26;39;13;3;2;5;1;0;0;0;0
2020-06-29 06:00:00;58;82;0;23;54;17;0;1;2;7;0;0;0;0
2020-06-29 06:15:00;90;116;0;41;71;34;1;8;4;1;0;0;0;0
2020-06-29 06:30:00;113;158;0;68;94;34;3;8;2;5;0;0;0;0
2020-06-29 06:45:00;114;158;0;68;78;44;5;22;4;1;0;0;1;0
2020-06-29 07:00:00;127;168;0;64;84;63;8;16;3;5;1;0;1;0
2020-06-29 07:15:00;154;185;0;88;114;82;20;31;11;15;0;1;1;0
