DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-09-01 21:00:00;33;24;4;5;4;37;23;22;18;12;0;0
2019-09-01 21:15:00;29;15;3;6;8;33;35;24;19;10;0;0
2019-09-01 21:30:00;29;15;1;4;7;26;30;29;18;8;0;0
2019-09-01 21:45:00;28;16;0;4;6;42;21;19;19;5;0;0
2019-09-01 22:00:00;19;14;2;2;3;24;18;11;10;7;0;0
2019-09-01 22:15:00;23;18;3;2;5;33;28;9;16;5;0;0
2019-09-01 22:30:00;12;7;1;1;3;27;28;19;8;6;0;0
2019-09-01 22:45:00;21;12;0;2;2;25;25;12;11;4;0;0
2019-09-01 23:00:00;21;16;3;2;9;20;16;10;8;3;0;0
2019-09-01 23:15:00;13;6;2;4;6;20;16;8;9;3;0;0
2019-09-01 23:30:00;9;5;1;3;5;14;10;7;4;6;0;0
2019-09-01 23:45:00;14;11;5;5;6;13;12;8;1;6;0;0
