DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-05-30 00:00:00;11;0;1;1;14;0;0;0;0;0;0;0;0
2020-05-30 00:15:00;17;0;0;1;14;1;0;0;0;0;0;0;0
2020-05-30 00:30:00;17;1;0;0;20;1;1;0;0;0;0;0;0
2020-05-30 00:45:00;18;0;0;1;16;0;0;0;0;0;0;0;0
2020-05-30 01:00:00;10;0;0;0;20;1;0;0;0;0;0;0;0
2020-05-30 01:15:00;11;1;0;0;22;0;0;0;0;0;0;0;0
2020-05-30 01:30:00;13;1;0;1;7;0;0;0;0;0;0;0;0
2020-05-30 01:45:00;12;0;0;1;9;0;0;0;0;0;0;0;0
2020-05-30 02:00:00;10;0;0;0;15;0;0;0;0;0;0;0;0
2020-05-30 02:15:00;5;2;0;0;6;0;0;0;0;0;0;0;0
2020-05-30 02:30:00;8;1;0;0;7;0;0;0;0;0;0;0;0
2020-05-30 02:45:00;9;0;0;1;4;1;0;0;0;0;0;0;0
2020-05-30 03:00:00;9;0;0;0;10;0;0;0;0;0;0;0;0
2020-05-30 03:15:00;4;0;0;1;5;0;0;0;0;0;0;0;0
2020-05-30 03:30:00;3;0;1;0;3;0;0;0;0;0;0;0;0
2020-05-30 03:45:00;2;0;0;0;4;0;0;0;0;0;0;0;0
2020-05-30 04:00:00;4;0;0;0;2;0;0;0;0;0;0;0;0
2020-05-30 04:15:00;6;0;0;0;6;0;0;0;0;0;0;0;0
2020-05-30 04:30:00;3;0;0;0;3;0;0;0;0;0;0;0;0
2020-05-30 04:45:00;6;1;0;0;7;0;0;0;0;0;0;0;0
2020-05-30 05:00:00;10;1;0;1;5;1;0;0;0;0;0;0;0
2020-05-30 05:15:00;6;0;0;0;9;0;0;0;0;0;0;0;0
2020-05-30 05:30:00;17;1;2;3;10;0;0;0;0;0;0;0;0
2020-05-30 05:45:00;16;0;0;1;11;0;0;0;0;0;0;0;0
2020-05-30 06:00:00;18;0;1;2;21;0;0;0;0;0;0;0;0
2020-05-30 06:15:00;19;1;5;1;22;0;0;0;0;0;0;0;0
2020-05-30 06:30:00;27;2;3;3;21;0;0;0;0;0;0;0;0
2020-05-30 06:45:00;28;6;2;2;21;0;0;0;0;0;0;0;0
2020-05-30 07:00:00;24;1;1;0;15;0;0;0;0;0;0;0;0
2020-05-30 07:15:00;34;2;1;2;33;0;0;0;0;0;0;0;0
2020-05-30 07:30:00;47;5;9;6;34;1;0;0;0;0;0;0;0
2020-05-30 07:45:00;55;4;6;3;34;2;0;0;11;0;0;0;0
2020-05-30 08:00:00;44;7;6;2;42;2;0;0;0;0;0;0;0
2020-05-30 08:15:00;51;3;11;3;59;1;0;2;4;0;0;0;0
2020-05-30 08:30:00;74;6;6;5;60;0;0;0;8;0;0;0;0
2020-05-30 08:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-30 09:00:00;78;9;8;5;79;1;1;2;13;0;0;0;0
2020-05-30 09:15:00;128;3;9;11;88;3;1;10;36;0;0;4;0
2020-05-30 09:30:00;107;12;14;9;89;9;3;1;12;0;0;0;0
2020-05-30 09:45:00;133;10;13;15;93;9;7;5;7;0;0;0;0
2020-05-30 10:00:00;112;7;6;6;118;8;5;2;3;0;0;0;0
