DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-03-02 00:00:00;2;13;6;0;0;0;0;0
2020-03-02 00:15:00;3;11;3;0;0;0;0;0
2020-03-02 00:30:00;2;4;8;0;0;0;0;0
2020-03-02 00:45:00;5;10;9;0;0;0;0;0
2020-03-02 01:00:00;4;4;3;0;0;0;0;0
2020-03-02 01:15:00;5;5;2;0;0;0;0;0
2020-03-02 01:30:00;1;5;3;0;0;0;0;0
2020-03-02 01:45:00;6;12;1;0;0;0;0;0
2020-03-02 02:00:00;3;3;5;0;0;0;0;0
2020-03-02 02:15:00;4;8;4;0;0;0;0;0
2020-03-02 02:30:00;5;11;4;0;0;0;0;0
2020-03-02 02:45:00;7;6;1;0;0;0;0;0
2020-03-02 03:00:00;1;5;7;0;0;0;0;0
2020-03-02 03:15:00;2;5;9;0;0;0;0;0
2020-03-02 03:30:00;0;6;0;0;0;0;0;0
2020-03-02 03:45:00;3;7;3;0;0;0;0;0
2020-03-02 04:00:00;10;6;7;0;0;0;0;0
2020-03-02 04:15:00;10;19;13;0;0;0;0;0
2020-03-02 04:30:00;12;18;22;0;0;0;0;0
2020-03-02 04:45:00;13;27;41;0;0;0;0;0
2020-03-02 05:00:00;21;42;66;0;0;0;0;0
2020-03-02 05:15:00;21;62;124;0;0;0;0;0
2020-03-02 05:30:00;48;84;102;0;0;0;0;0
2020-03-02 05:45:00;58;92;78;0;7;11;0;0
2020-03-02 06:00:00;45;111;54;0;1;0;2;3
2020-03-02 06:15:00;51;125;75;0;0;0;0;0
2020-03-02 06:30:00;69;144;88;0;4;6;10;1
2020-03-02 06:45:00;77;148;89;0;2;7;14;0
2020-03-02 07:00:00;48;126;85;0;0;0;4;0
2020-03-02 07:15:00;63;134;97;0;9;16;44;1
2020-03-02 07:30:00;75;179;83;0;11;6;39;7
2020-03-02 07:45:00;104;181;108;0;11;3;8;9
2020-03-02 08:00:00;69;180;100;0;17;3;23;0
2020-03-02 08:15:00;86;180;114;0;10;3;12;7
2020-03-02 08:30:00;83;165;86;0;8;0;8;15
2020-03-02 08:45:00;80;145;81;0;6;11;8;16
2020-03-02 09:00:00;62;161;71;0;7;3;46;2
2020-03-02 09:15:00;74;143;74;0;8;12;12;12
2020-03-02 09:30:00;63;140;75;0;38;0;8;24
2020-03-02 09:45:00;75;142;86;0;13;5;54;10
2020-03-02 10:00:00;63;134;73;0;11;4;16;10
