DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-12-28 00:00:00;0;0;4;0;0;0;0;0;0
2020-12-28 00:15:00;3;2;3;0;0;0;0;0;0
2020-12-28 00:30:00;5;8;5;0;0;0;0;0;0
2020-12-28 00:45:00;3;1;5;0;0;0;0;0;0
2020-12-28 01:00:00;0;2;6;0;0;0;0;0;0
2020-12-28 01:15:00;2;1;2;0;0;0;0;0;0
2020-12-28 01:30:00;1;0;3;0;0;0;0;0;0
2020-12-28 01:45:00;3;3;2;0;0;0;0;0;0
2020-12-28 02:00:00;6;3;1;0;0;0;0;0;0
2020-12-28 02:15:00;1;1;2;0;0;0;0;0;0
2020-12-28 02:30:00;6;5;5;0;0;0;0;0;0
2020-12-28 02:45:00;5;1;3;0;0;0;0;0;0
2020-12-28 03:00:00;4;4;2;1;1;0;0;0;0
2020-12-28 03:15:00;6;3;6;0;0;0;0;0;0
2020-12-28 03:30:00;1;0;6;0;0;0;0;0;0
2020-12-28 03:45:00;4;1;8;0;0;0;0;0;0
2020-12-28 04:00:00;2;2;1;0;0;0;0;0;0
2020-12-28 04:15:00;9;2;10;0;0;0;0;0;0
2020-12-28 04:30:00;6;2;6;0;0;0;0;0;0
2020-12-28 04:45:00;11;9;9;0;0;0;0;0;0
2020-12-28 05:00:00;12;4;17;0;0;0;0;0;0
2020-12-28 05:15:00;19;5;29;0;0;0;0;0;0
2020-12-28 05:30:00;18;6;45;0;0;0;0;0;0
2020-12-28 05:45:00;8;7;43;1;1;0;0;0;0
2020-12-28 06:00:00;16;2;39;2;1;0;0;0;0
2020-12-28 06:15:00;21;9;57;1;1;0;0;0;0
2020-12-28 06:30:00;34;14;55;2;1;0;0;0;0
2020-12-28 06:45:00;23;9;54;1;1;0;0;0;0
2020-12-28 07:00:00;40;14;64;1;1;0;0;0;0
2020-12-28 07:15:00;44;25;113;1;1;0;0;0;0
2020-12-28 07:30:00;43;18;86;1;1;0;0;0;0
2020-12-28 07:45:00;47;27;101;2;2;0;0;0;0
2020-12-28 08:00:00;48;28;99;1;1;0;0;0;0
2020-12-28 08:15:00;44;33;107;1;1;0;0;0;0
2020-12-28 08:30:00;49;27;123;1;1;1;0;0;0
2020-12-28 08:45:00;74;37;124;1;1;0;0;0;0
2020-12-28 09:00:00;79;41;142;3;2;2;0;0;0
2020-12-28 09:15:00;72;44;141;2;2;1;0;0;0
2020-12-28 09:30:00;74;25;146;1;1;0;0;0;0
2020-12-28 09:45:00;117;38;152;1;3;1;0;0;0
2020-12-28 10:00:00;95;50;160;1;1;0;0;0;0
2020-12-28 10:15:00;103;55;179;2;2;3;0;0;0
2020-12-28 10:30:00;108;47;165;1;1;1;0;0;0
2020-12-28 10:45:00;111;54;183;3;3;1;0;0;0
2020-12-28 11:00:00;106;55;181;2;2;1;0;0;0
2020-12-28 11:15:00;132;60;191;2;2;3;0;0;0
2020-12-28 11:30:00;128;60;168;2;2;1;0;0;0
2020-12-28 11:45:00;124;69;181;1;1;1;0;0;0
2020-12-28 12:00:00;125;58;187;1;1;1;0;0;0
2020-12-28 12:15:00;123;55;154;1;1;0;0;0;0
2020-12-28 12:30:00;100;62;188;1;1;1;0;0;0
2020-12-28 12:45:00;134;55;194;1;1;0;0;0;0
2020-12-28 13:00:00;143;49;165;2;2;8;0;0;0
2020-12-28 13:15:00;110;42;166;2;1;1;0;0;0
2020-12-28 13:30:00;135;69;195;2;2;1;0;0;0
2020-12-28 13:45:00;141;62;190;1;1;7;0;0;0
2020-12-28 14:00:00;126;60;164;2;2;3;0;0;0
