DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2020-11-05 00:00:00;17;6;0;0;0;10;4;0;0
2020-11-05 00:15:00;9;5;0;0;0;7;5;0;0
2020-11-05 00:30:00;11;3;0;0;0;13;7;0;0
2020-11-05 00:45:00;7;3;0;0;0;8;5;0;0
2020-11-05 01:00:00;9;3;0;0;0;12;8;0;0
2020-11-05 01:15:00;11;2;0;0;0;7;7;0;0
2020-11-05 01:30:00;4;2;0;0;0;7;3;0;0
2020-11-05 01:45:00;3;0;0;0;0;2;4;0;0
2020-11-05 02:00:00;9;1;0;1;0;8;1;0;0
2020-11-05 02:15:00;11;6;0;0;0;3;2;0;0
2020-11-05 02:30:00;8;1;0;0;0;7;2;0;0
2020-11-05 02:45:00;5;1;0;0;0;5;2;0;0
2020-11-05 03:00:00;4;1;1;0;0;9;1;0;0
2020-11-05 03:15:00;8;2;0;1;0;2;1;0;0
2020-11-05 03:30:00;8;2;0;0;1;4;2;0;0
2020-11-05 03:45:00;5;2;0;0;0;9;2;0;0
2020-11-05 04:00:00;12;1;0;0;0;10;4;0;0
2020-11-05 04:15:00;10;2;0;0;0;12;5;0;0
2020-11-05 04:30:00;22;10;2;0;0;33;11;0;0
2020-11-05 04:45:00;21;13;1;1;0;49;18;0;0
2020-11-05 05:00:00;34;30;1;0;0;101;54;0;2
2020-11-05 05:15:00;48;37;1;0;3;210;143;0;3
2020-11-05 05:30:00;53;50;3;2;1;178;112;0;0
2020-11-05 05:45:00;135;154;3;3;2;141;104;0;2
2020-11-05 06:00:00;169;151;0;1;1;99;77;0;3
2020-11-05 06:15:00;117;119;8;2;4;173;144;0;6
2020-11-05 06:30:00;82;91;6;1;6;166;140;1;11
2020-11-05 06:45:00;86;70;7;7;17;171;149;4;0
2020-11-05 07:00:00;93;81;6;8;8;146;143;1;4
2020-11-05 07:15:00;81;47;7;11;11;137;137;2;4
2020-11-05 07:30:00;96;96;6;16;19;133;154;4;6
2020-11-05 07:45:00;104;113;7;6;21;144;125;0;1
2020-11-05 08:00:00;94;81;8;8;7;140;133;0;4
2020-11-05 08:15:00;92;84;6;9;18;120;143;7;3
2020-11-05 08:30:00;103;78;12;8;10;103;125;1;9
2020-11-05 08:45:00;96;82;6;13;9;113;116;4;4
2020-11-05 09:00:00;82;67;16;8;17;91;108;13;0
2020-11-05 09:15:00;88;87;11;24;17;106;116;4;1
2020-11-05 09:30:00;86;83;7;21;22;111;116;8;3
2020-11-05 09:45:00;108;89;9;24;13;88;118;0;0
2020-11-05 10:00:00;87;82;7;16;14;95;105;12;1
2020-11-05 10:15:00;112;109;16;23;18;105;97;40;0
2020-11-05 10:30:00;97;74;7;25;17;100;125;5;1
2020-11-05 10:45:00;122;102;14;32;24;97;122;7;0
2020-11-05 11:00:00;124;117;13;26;21;96;109;14;3
2020-11-05 11:15:00;108;106;11;32;13;93;115;5;2
2020-11-05 11:30:00;105;112;18;24;24;104;112;1;2
2020-11-05 11:45:00;123;127;11;29;15;105;90;7;1
2020-11-05 12:00:00;120;122;10;31;19;85;111;9;1
2020-11-05 12:15:00;100;98;9;18;15;89;81;12;1
2020-11-05 12:30:00;118;135;18;26;23;101;119;3;1
2020-11-05 12:45:00;129;126;19;33;31;120;137;2;1
2020-11-05 13:00:00;119;120;15;27;19;116;135;21;1
2020-11-05 13:15:00;128;144;16;22;20;152;168;7;1
2020-11-05 13:30:00;125;122;16;25;19;157;136;5;2
2020-11-05 13:45:00;119;115;12;34;12;163;158;7;1
2020-11-05 14:00:00;163;158;8;32;23;140;135;9;2
2020-11-05 14:15:00;245;225;14;20;16;121;147;2;2
2020-11-05 14:30:00;266;264;18;21;23;112;128;7;0
2020-11-05 14:45:00;194;192;13;26;17;119;111;62;1
2020-11-05 15:00:00;199;196;17;32;12;114;138;21;1
2020-11-05 15:15:00;185;198;14;19;11;86;106;34;4
2020-11-05 15:30:00;154;176;9;27;18;104;142;65;2
2020-11-05 15:45:00;180;177;11;27;16;90;112;2;5
2020-11-05 16:00:00;192;174;10;30;12;111;115;10;10
2020-11-05 16:15:00;163;150;16;25;20;95;133;7;1
2020-11-05 16:30:00;164;154;16;30;21;109;131;4;2
2020-11-05 16:45:00;169;188;12;35;23;99;135;9;2
2020-11-05 17:00:00;177;151;8;44;16;94;132;15;1
2020-11-05 17:15:00;126;144;8;25;17;96;139;6;4
2020-11-05 17:30:00;149;172;10;28;10;78;122;3;4
2020-11-05 17:45:00;150;148;4;23;15;97;118;4;3
2020-11-05 18:00:00;125;124;9;15;13;95;108;18;3
2020-11-05 18:15:00;142;139;6;17;13;73;101;5;4
2020-11-05 18:30:00;97;86;2;15;3;87;88;8;3
2020-11-05 18:45:00;98;93;2;13;4;82;72;0;2
2020-11-05 19:00:00;95;91;4;13;1;66;71;19;0
2020-11-05 19:15:00;89;73;2;9;4;74;63;2;3
2020-11-05 19:30:00;76;56;3;2;0;54;46;10;5
2020-11-05 19:45:00;73;64;2;2;0;50;34;0;8
2020-11-05 20:00:00;53;45;0;2;0;61;58;0;1
2020-11-05 20:15:00;65;48;0;3;2;51;54;0;1
2020-11-05 20:30:00;64;47;3;2;0;76;59;0;8
2020-11-05 20:45:00;39;21;0;1;0;81;48;0;1
2020-11-05 21:00:00;48;28;0;1;1;131;80;0;5
2020-11-05 21:15:00;47;29;0;2;0;168;115;0;4
2020-11-05 21:30:00;40;43;0;1;1;119;75;0;0
2020-11-05 21:45:00;100;98;3;0;0;70;46;0;0
2020-11-05 22:00:00;165;169;0;2;0;40;27;0;0
2020-11-05 22:15:00;92;61;4;0;0;40;26;0;0
2020-11-05 22:30:00;49;20;2;0;0;27;28;0;2
2020-11-05 22:45:00;25;16;0;0;0;26;20;0;0
2020-11-05 23:00:00;26;17;1;3;1;16;7;0;2
2020-11-05 23:15:00;19;11;1;2;1;19;9;0;0
2020-11-05 23:30:00;14;8;1;0;0;22;5;0;0
2020-11-05 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
