DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2020-06-16 00:00:00;5;0;2;1;0;0;0;0;0;0;0;0
2020-06-16 00:15:00;8;0;6;1;0;0;0;0;0;0;0;0
2020-06-16 00:30:00;6;0;1;1;0;0;0;0;0;0;0;0
2020-06-16 00:45:00;4;0;7;2;0;0;0;0;0;0;0;0
2020-06-16 01:00:00;4;0;1;2;0;0;0;0;0;0;0;0
2020-06-16 01:15:00;2;0;0;0;0;0;0;0;0;0;0;0
2020-06-16 01:30:00;4;0;5;5;0;0;0;0;0;0;0;0
2020-06-16 01:45:00;3;0;2;2;0;0;0;0;0;0;0;0
2020-06-16 02:00:00;1;0;3;1;0;0;0;0;0;0;0;0
2020-06-16 02:15:00;3;0;1;1;0;0;0;0;0;0;0;0
2020-06-16 02:30:00;3;0;2;2;0;0;0;0;0;0;0;0
2020-06-16 03:00:00;2;0;3;1;0;0;0;0;0;0;0;0
2020-06-16 03:15:00;1;0;1;1;0;0;0;0;0;0;0;0
2020-06-16 03:30:00;2;0;2;0;0;0;0;0;0;0;0;0
2020-06-16 03:45:00;3;0;2;2;0;0;0;0;0;0;0;0
2020-06-16 04:00:00;3;0;3;0;0;0;0;0;0;0;0;0
2020-06-16 04:15:00;8;0;4;3;0;0;0;0;0;0;0;0
2020-06-16 04:30:00;10;0;4;3;0;0;0;0;0;0;0;0
2020-06-16 04:45:00;8;0;6;1;0;0;0;0;0;0;0;0
2020-06-16 05:00:00;10;0;25;8;0;0;0;0;0;0;0;0
2020-06-16 05:15:00;18;0;38;6;0;0;0;0;0;0;0;0
2020-06-16 05:30:00;42;0;43;9;0;0;0;0;0;0;0;0
2020-06-16 05:45:00;45;0;41;8;0;0;6;0;0;0;0;0
2020-06-16 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-16 06:15:00;53;0;59;11;2;1;0;0;0;0;0;0
2020-06-16 06:30:00;48;0;80;13;8;1;0;1;0;0;0;0
2020-06-16 06:45:00;50;0;87;13;2;0;3;2;3;0;0;0
2020-06-16 07:00:00;49;0;109;17;5;1;0;0;0;0;0;0
2020-06-16 07:15:00;72;0;77;50;2;1;5;0;0;0;0;0
2020-06-16 07:30:00;67;0;44;55;5;0;1;0;0;0;0;0
2020-06-16 07:45:00;77;0;126;63;3;0;16;0;0;0;0;0
2020-06-16 08:00:00;63;0;111;65;4;0;4;1;0;0;0;0
2020-06-16 08:15:00;58;0;83;72;6;0;2;2;0;0;0;0
2020-06-16 08:30:00;73;0;71;44;2;0;5;0;0;0;0;0
2020-06-16 08:45:00;55;0;64;40;1;0;3;0;0;0;0;0
2020-06-16 09:00:00;57;0;62;21;2;5;5;0;0;0;0;0
2020-06-16 09:15:00;52;0;79;23;3;0;0;0;0;0;0;0
2020-06-16 09:30:00;49;0;77;21;1;0;9;2;1;0;0;0
2020-06-16 09:45:00;66;0;80;37;3;0;6;1;4;2;0;0
2020-06-16 10:00:00;54;0;67;24;16;0;2;3;0;0;0;0
2020-06-16 10:15:00;44;0;71;19;1;0;0;0;0;0;0;0
2020-06-16 10:30:00;59;0;67;24;2;0;5;0;0;0;0;0
2020-06-16 10:45:00;61;0;65;28;2;1;3;0;0;0;0;0
2020-06-16 11:00:00;66;0;61;25;8;0;16;4;0;0;0;0
2020-06-16 11:15:00;55;0;62;27;2;3;3;0;0;0;0;0
2020-06-16 11:30:00;70;0;59;20;10;3;15;0;0;0;0;0
2020-06-16 11:45:00;76;0;68;23;0;0;1;0;0;0;0;0
