DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DE3);12(DE4);13(TAFBA);14(TAFBB);15(TAFBC);16(TAFBD)
2019-10-28 00:00:00;12;11;17;0;5;8;1;2;1;1;1;1;0;0;0;0
2019-10-28 00:15:00;15;11;25;0;5;13;3;3;5;5;4;4;0;0;0;0
2019-10-28 00:30:00;6;18;19;2;1;17;0;2;1;2;1;1;0;0;0;0
2019-10-28 00:45:00;5;11;12;0;0;13;0;1;1;1;1;1;0;0;0;0
2019-10-28 01:00:00;5;10;15;0;4;11;0;0;1;0;0;0;0;0;0;0
2019-10-28 01:15:00;13;9;16;0;3;7;2;1;1;1;1;1;0;0;0;0
2019-10-28 01:30:00;5;6;11;1;1;8;1;2;4;4;4;4;0;0;0;0
2019-10-28 01:45:00;10;3;9;1;1;3;1;0;1;1;1;1;0;0;0;0
2019-10-28 02:00:00;7;4;9;0;1;3;0;2;0;0;0;0;0;0;0;0
2019-10-28 02:15:00;6;3;6;0;1;3;0;1;0;0;0;0;0;0;0;0
2019-10-28 02:30:00;1;6;6;1;2;7;0;0;2;2;2;2;0;0;0;0
2019-10-28 02:45:00;7;4;8;0;3;7;0;0;1;1;1;1;0;0;0;0
2019-10-28 03:00:00;2;3;6;0;2;3;2;2;1;1;1;1;0;0;0;0
2019-10-28 03:15:00;1;3;5;1;3;0;0;2;1;1;1;1;0;0;0;0
2019-10-28 03:30:00;5;8;10;0;7;14;0;0;7;7;8;9;0;0;0;0
2019-10-28 03:45:00;3;7;8;1;4;6;0;1;1;1;1;1;0;0;0;0
2019-10-28 04:00:00;11;6;12;0;4;6;0;0;1;1;1;1;0;0;0;0
2019-10-28 04:15:00;12;7;12;0;7;8;0;0;1;1;1;1;0;0;0;0
2019-10-28 04:30:00;6;10;12;0;4;11;0;0;4;4;5;6;0;0;0;0
2019-10-28 04:45:00;15;12;19;1;3;10;0;2;1;1;1;1;0;0;0;0
2019-10-28 05:00:00;21;13;25;0;7;14;0;6;1;1;1;1;0;0;0;0
2019-10-28 05:15:00;27;34;40;2;7;35;0;7;17;16;17;18;0;0;0;0
2019-10-28 05:30:00;62;61;47;3;20;60;2;14;26;26;28;31;0;0;0;0
2019-10-28 05:45:00;71;92;55;1;18;88;0;14;51;46;40;39;0;0;0;0
2019-10-28 06:00:00;53;81;50;5;30;85;1;9;33;35;36;36;0;0;0;0
2019-10-28 06:15:00;82;101;57;7;23;100;1;24;25;25;21;21;0;0;0;0
2019-10-28 06:30:00;94;136;64;8;31;135;1;28;44;47;50;50;0;0;0;2
2019-10-28 06:45:00;103;154;69;4;28;143;2;39;65;65;61;62;0;0;1;1
2019-10-28 07:00:00;117;176;81;13;28;163;1;52;72;72;76;75;0;0;0;0
2019-10-28 07:15:00;142;174;74;25;47;174;7;56;62;64;56;58;0;0;0;0
2019-10-28 07:30:00;155;190;94;26;36;175;6;61;70;68;71;71;1;0;0;0
2019-10-28 07:45:00;151;182;84;35;36;161;9;75;64;63;68;64;0;1;1;0
2019-10-28 08:00:00;141;139;76;17;41;136;4;62;65;70;56;57;0;0;1;0
2019-10-28 08:15:00;150;162;75;30;40;146;7;72;67;62;61;63;0;0;1;0
2019-10-28 08:30:00;151;181;91;27;58;161;6;50;75;76;67;68;0;0;0;0
2019-10-28 08:45:00;144;169;77;41;56;149;12;48;61;61;59;61;0;0;1;0
2019-10-28 09:00:00;136;184;86;32;57;169;14;52;52;52;41;43;0;0;1;8
2019-10-28 09:15:00;143;190;89;35;44;166;11;53;53;49;50;48;0;0;0;2
2019-10-28 09:30:00;178;216;109;46;41;176;10;55;51;52;47;49;0;0;0;1
2019-10-28 09:45:00;168;208;92;57;32;205;16;58;66;67;60;61;2;0;0;4
2019-10-28 10:00:00;152;177;85;37;43;157;12;51;58;61;57;58;0;1;0;0
2019-10-28 10:15:00;190;212;88;46;59;174;15;73;53;55;52;57;1;2;6;0
2019-10-28 10:30:00;167;207;83;35;41;186;13;73;72;73;64;63;0;0;4;0
2019-10-28 10:45:00;193;240;335;43;59;202;14;91;63;65;59;56;0;0;0;0
2019-10-28 11:00:00;178;176;113;51;45;146;8;57;66;62;56;58;0;4;0;1
2019-10-28 11:15:00;200;198;94;54;49;161;17;68;62;57;53;57;1;0;0;0
2019-10-28 11:30:00;182;216;103;59;56;178;14;68;53;50;50;49;1;0;2;0
2019-10-28 11:45:00;185;216;104;35;37;201;16;58;84;80;74;76;1;1;2;0
2019-10-28 12:00:00;164;169;87;48;39;159;12;52;62;58;49;52;0;0;0;1
2019-10-28 12:15:00;183;197;109;46;46;169;12;59;60;61;55;55;0;0;1;0
2019-10-28 12:30:00;193;173;89;33;50;141;13;62;56;57;54;58;0;0;0;0
2019-10-28 12:45:00;175;195;109;47;53;175;17;63;57;59;54;57;11;0;3;0
2019-10-28 13:00:00;184;190;92;46;45;168;10;50;74;75;70;70;0;0;1;0
2019-10-28 13:15:00;180;179;85;39;48;164;10;56;69;76;68;72;0;14;0;3
2019-10-28 13:30:00;189;189;76;48;54;175;12;59;69;70;61;60;0;2;3;1
2019-10-28 13:45:00;202;195;90;40;44;178;17;59;57;52;41;43;2;0;0;2
2019-10-28 14:00:00;189;185;102;48;53;159;14;65;44;43;38;41;0;0;0;11
2019-10-28 14:15:00;188;207;105;66;57;177;10;50;63;62;55;57;1;9;0;0
2019-10-28 14:30:00;193;181;85;44;55;171;14;58;48;48;44;45;0;0;8;6
