DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2020-01-11 00:00:00;27;35;15;16;11;4;2;6;0;2;3
2020-01-11 00:15:00;29;41;21;28;14;5;1;7;0;10;2
2020-01-11 00:30:00;20;26;17;34;16;3;2;6;0;5;1
2020-01-11 00:45:00;18;27;19;23;14;7;5;7;0;1;2
2020-01-11 01:00:00;16;24;16;24;4;3;18;9;0;5;7
2020-01-11 01:15:00;19;24;18;20;8;2;2;7;0;4;1
2020-01-11 01:30:00;14;20;9;13;8;3;0;5;0;3;3
2020-01-11 01:45:00;15;19;13;11;3;2;2;4;0;2;1
2020-01-11 02:00:00;14;19;8;17;4;8;2;6;0;2;2
2020-01-11 02:15:00;14;19;11;9;7;1;0;8;0;2;0
2020-01-11 02:30:00;14;14;13;10;2;0;1;2;0;0;2
2020-01-11 02:45:00;6;10;7;8;4;4;2;4;0;1;0
2020-01-11 03:00:00;10;10;8;6;3;4;1;1;0;2;4
2020-01-11 03:15:00;5;15;4;8;3;1;0;3;0;2;1
2020-01-11 03:30:00;6;9;8;11;3;2;1;0;0;2;0
2020-01-11 03:45:00;1;4;2;8;6;2;0;2;0;2;4
2020-01-11 04:00:00;10;18;5;4;1;3;1;2;0;3;2
2020-01-11 04:15:00;6;8;7;10;8;0;0;2;0;1;2
2020-01-11 04:30:00;9;12;6;7;2;3;1;2;0;2;3
2020-01-11 04:45:00;15;19;11;8;5;3;1;2;0;1;1
2020-01-11 05:00:00;19;21;18;6;5;3;1;6;0;1;2
2020-01-11 05:15:00;26;29;34;14;9;1;0;6;0;6;4
2020-01-11 05:30:00;26;29;42;23;15;8;2;7;0;3;4
2020-01-11 05:45:00;26;31;19;19;18;9;0;10;0;8;5
2020-01-11 06:00:00;22;29;15;33;24;7;0;15;0;5;2
2020-01-11 06:15:00;13;16;8;19;9;6;2;8;0;2;4
2020-01-11 06:30:00;26;29;27;28;31;8;2;5;0;3;6
2020-01-11 06:45:00;30;36;22;21;20;3;3;13;0;5;7
2020-01-11 07:00:00;29;35;19;31;26;11;6;10;0;4;6
2020-01-11 07:15:00;46;50;22;30;15;13;1;7;0;8;7
2020-01-11 07:30:00;51;57;38;41;19;8;11;7;0;7;13
2020-01-11 07:45:00;51;57;36;39;23;31;6;18;0;15;15
2020-01-11 08:00:00;38;51;45;30;23;9;6;14;0;6;10
2020-01-11 08:15:00;54;67;49;43;39;11;5;23;0;10;14
2020-01-11 08:30:00;64;82;48;43;41;23;9;21;0;11;14
2020-01-11 08:45:00;61;83;60;56;44;22;6;30;0;27;28
2020-01-11 09:00:00;80;94;60;83;47;19;24;22;0;23;17
2020-01-11 09:15:00;104;129;85;71;54;19;7;32;0;13;19
2020-01-11 09:30:00;104;126;97;84;63;35;8;32;0;25;30
2020-01-11 09:45:00;127;146;120;110;74;21;39;42;0;25;20
2020-01-11 10:00:00;111;147;99;87;93;36;18;36;0;33;32
2020-01-11 10:15:00;126;153;107;82;74;25;10;35;0;26;25
2020-01-11 10:30:00;110;139;106;90;74;30;11;35;0;27;26
2020-01-11 10:45:00;124;151;120;116;93;31;17;40;0;20;28
2020-01-11 11:00:00;128;147;114;116;93;24;7;36;0;21;28
2020-01-11 11:15:00;117;159;100;116;86;31;13;56;0;31;32
2020-01-11 11:30:00;121;154;116;109;84;22;9;50;0;30;29
2020-01-11 11:45:00;123;155;118;119;93;30;21;50;0;25;27
2020-01-11 12:00:00;128;164;122;122;99;60;21;68;0;31;25
2020-01-11 12:15:00;141;184;119;135;125;21;17;64;0;27;27
