DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-06-08 00:00:00;3;0;0;5;4;2;3;10;9;2;2
2020-06-08 00:15:00;1;1;0;7;9;5;1;2;3;0;0
2020-06-08 00:30:00;0;1;0;5;4;3;2;3;5;2;2
2020-06-08 00:45:00;0;0;0;7;5;2;1;3;4;2;2
2020-06-08 01:00:00;0;0;0;4;3;0;0;2;5;0;0
2020-06-08 01:15:00;0;0;0;6;9;4;2;1;1;0;0
2020-06-08 01:30:00;0;0;0;1;0;0;2;1;1;0;0
2020-06-08 01:45:00;2;1;0;2;0;0;0;5;6;0;0
2020-06-08 02:00:00;0;1;0;2;5;3;1;1;1;0;0
2020-06-08 02:15:00;0;0;0;2;1;0;3;6;3;0;0
2020-06-08 02:30:00;0;2;0;2;4;2;1;3;0;0;0
2020-06-08 02:45:00;0;0;0;3;3;3;0;5;2;0;0
2020-06-08 03:00:00;0;2;0;5;2;1;0;2;1;0;0
2020-06-08 03:15:00;0;0;0;2;2;2;0;3;3;1;1
2020-06-08 03:30:00;0;1;0;2;0;0;0;1;0;0;0
2020-06-08 03:45:00;0;1;0;8;1;0;0;1;2;0;1
2020-06-08 04:00:00;1;1;0;4;0;0;1;0;2;1;1
2020-06-08 04:15:00;0;2;0;6;4;0;1;6;4;0;0
2020-06-08 04:30:00;1;2;0;2;1;1;1;5;4;0;0
2020-06-08 04:45:00;1;2;0;6;12;4;2;16;10;0;1
2020-06-08 05:00:00;1;3;0;14;10;4;2;21;12;3;3
2020-06-08 05:15:00;0;8;0;18;8;3;5;33;25;5;3
2020-06-08 05:30:00;3;17;0;10;15;6;5;47;42;13;11
2020-06-08 05:45:00;4;20;3;25;19;9;9;58;66;24;16
2020-06-08 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-08 06:15:00;4;21;3;26;19;6;12;44;54;14;10
2020-06-08 06:30:00;4;23;3;42;28;11;13;71;73;11;11
2020-06-08 06:45:00;4;37;6;40;31;3;14;77;100;21;16
2020-06-08 07:00:00;9;33;3;51;45;13;14;84;95;18;7
2020-06-08 07:15:00;5;21;9;53;40;12;17;60;68;8;4
2020-06-08 07:30:00;7;30;5;56;34;7;28;75;88;11;8
2020-06-08 07:45:00;12;20;3;67;45;13;21;72;84;15;13
2020-06-08 08:00:00;4;26;9;70;44;12;16;52;77;12;7
2020-06-08 08:15:00;14;17;5;54;33;10;20;59;58;6;1
2020-06-08 08:30:00;8;28;1;59;48;17;28;59;87;14;9
