DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-03-17 00:00:00;0;5;1;2;4;8;1;4;2;0;3;3;2
2020-03-17 00:15:00;0;5;3;1;0;5;0;5;3;1;6;1;2
2020-03-17 00:30:00;0;5;3;0;1;3;2;5;2;0;3;4;4
2020-03-17 00:45:00;0;2;3;1;1;3;1;5;3;0;2;4;2
2020-03-17 01:00:00;0;2;2;0;3;6;2;6;3;0;2;3;0
2020-03-17 01:15:00;0;1;1;1;1;0;0;3;1;0;4;3;2
2020-03-17 01:30:00;0;1;1;0;1;2;0;3;1;0;3;5;1
2020-03-17 01:45:00;0;0;1;0;1;8;1;2;0;1;3;2;0
2020-03-17 02:00:00;0;1;1;0;2;3;0;1;0;0;2;4;2
2020-03-17 02:15:00;0;2;0;1;0;1;1;4;0;0;3;6;2
2020-03-17 02:30:00;0;3;2;0;4;3;1;2;1;0;0;2;1
2020-03-17 02:45:00;0;1;1;0;2;4;0;0;0;0;2;3;0
2020-03-17 03:00:00;0;1;1;0;0;4;0;1;0;0;2;2;2
2020-03-17 03:15:00;0;2;2;0;1;2;0;3;1;0;3;3;1
2020-03-17 03:30:00;0;1;2;0;1;3;1;6;0;1;3;2;1
2020-03-17 03:45:00;0;1;0;0;1;4;1;2;0;0;3;1;2
2020-03-17 04:00:00;0;3;2;0;0;4;1;3;2;0;4;2;1
2020-03-17 04:15:00;0;5;2;0;2;8;3;5;0;0;10;3;2
2020-03-17 04:30:00;0;5;6;0;3;11;1;10;4;2;12;10;3
2020-03-17 04:45:00;0;2;2;1;2;12;5;13;3;1;21;23;6
2020-03-17 05:00:00;0;10;6;2;6;12;11;20;14;3;62;61;6
2020-03-17 05:15:00;0;17;11;0;7;17;10;39;27;5;67;84;11
2020-03-17 05:30:00;0;21;17;3;19;58;23;51;50;3;54;75;21
2020-03-17 05:45:00;0;19;15;2;41;76;25;50;52;3;59;60;24
2020-03-17 06:00:00;0;19;18;1;49;87;22;51;47;1;50;62;23
2020-03-17 06:15:00;0;29;25;1;21;61;16;66;68;3;75;78;24
2020-03-17 06:30:00;0;38;35;4;22;46;20;105;116;7;77;90;41
2020-03-17 06:45:00;0;34;26;1;31;63;17;99;104;3;69;80;43
2020-03-17 07:00:00;0;39;37;2;24;59;11;73;94;3;49;56;39
2020-03-17 07:15:00;0;29;33;1;33;56;12;78;78;5;72;71;39
2020-03-17 07:30:00;0;42;36;4;34;60;15;86;91;7;66;88;56
2020-03-17 07:45:00;0;41;37;3;34;50;17;62;81;4;60;61;38
2020-03-17 08:00:00;0;50;33;6;27;50;15;71;82;11;51;56;44
2020-03-17 08:15:00;0;37;32;2;33;52;12;45;40;7;42;42;44
2020-03-17 08:30:00;0;44;32;9;30;60;13;65;66;8;62;56;36
2020-03-17 08:45:00;0;31;30;4;36;54;19;70;62;10;47;45;39
2020-03-17 09:00:00;0;37;35;8;35;48;20;52;46;8;50;46;41
2020-03-17 09:15:00;0;41;29;8;28;43;18;60;34;5;47;52;35
2020-03-17 09:30:00;0;47;40;4;42;60;28;67;50;9;52;49;31
2020-03-17 09:45:00;0;53;44;7;38;53;21;75;43;13;54;42;40
2020-03-17 10:00:00;0;56;37;6;43;58;18;59;36;12;48;43;37
2020-03-17 10:15:00;0;59;34;9;45;63;19;67;44;11;52;42;41
2020-03-17 10:30:00;0;53;48;12;42;49;20;70;44;15;51;39;36
2020-03-17 10:45:00;0;49;41;9;37;57;19;64;42;12;69;49;42
2020-03-17 11:00:00;0;47;46;9;38;51;16;64;40;13;54;43;40
2020-03-17 11:15:00;0;62;50;11;36;54;22;70;29;17;49;47;34
2020-03-17 11:30:00;0;60;50;9;40;46;19;64;47;13;57;53;43
2020-03-17 11:45:00;0;64;55;6;49;55;28;73;38;11;59;59;37
2020-03-17 12:00:00;0;63;51;7;36;69;30;58;39;8;49;43;40
2020-03-17 12:15:00;0;55;51;6;38;71;25;68;36;12;52;50;34
2020-03-17 12:30:00;0;59;63;7;31;50;19;52;33;11;57;51;39
2020-03-17 12:45:00;0;43;38;9;35;51;26;51;30;10;48;46;33
2020-03-17 13:00:00;0;62;48;5;34;57;20;74;47;11;57;60;45
2020-03-17 13:15:00;0;58;58;5;43;69;22;94;55;11;81;98;52
2020-03-17 13:30:00;0;60;55;4;48;74;18;69;61;6;79;84;34
2020-03-17 13:45:00;0;49;46;4;47;73;22;67;58;17;73;83;37
2020-03-17 14:00:00;0;64;53;13;54;90;25;57;41;18;47;62;38
2020-03-17 14:15:00;0;84;74;9;78;96;33;56;30;12;49;60;40
2020-03-17 14:30:00;0;74;71;8;78;83;31;60;39;10;43;51;48
2020-03-17 14:45:00;0;71;74;6;47;85;31;68;38;11;58;56;44
