DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2019-08-15 00:00:00;19;13;0;14;9;6;11;11;13;17
2019-08-15 00:15:00;15;7;1;14;15;1;16;13;5;11
2019-08-15 00:30:00;14;6;0;9;11;2;11;9;6;13
2019-08-15 00:45:00;11;8;0;18;13;1;12;13;6;10
2019-08-15 01:00:00;10;10;1;12;11;1;10;10;13;7
2019-08-15 01:15:00;12;14;0;15;10;1;11;13;13;9
2019-08-15 01:30:00;9;5;1;10;7;6;7;5;5;7
2019-08-15 01:45:00;9;6;0;8;6;0;5;5;6;7
2019-08-15 02:00:00;12;3;2;5;3;1;3;1;3;8
2019-08-15 02:15:00;13;8;0;7;7;2;5;6;6;11
2019-08-15 02:30:00;5;2;0;5;6;0;6;5;2;4
2019-08-15 02:45:00;6;0;1;3;7;2;7;1;0;5
2019-08-15 03:00:00;6;5;0;4;5;2;4;3;8;6
2019-08-15 03:15:00;9;7;0;10;5;2;5;10;7;6
2019-08-15 03:30:00;6;1;0;4;6;1;6;4;1;6
2019-08-15 03:45:00;7;6;0;2;3;2;3;1;6;5
2019-08-15 04:00:00;6;1;0;3;3;1;3;2;1;6
2019-08-15 04:15:00;5;3;2;6;2;3;2;2;2;5
2019-08-15 04:30:00;4;2;0;5;3;2;2;3;2;3
2019-08-15 04:45:00;6;2;1;5;7;0;6;6;3;6
2019-08-15 05:00:00;5;3;1;5;6;1;6;5;4;5
2019-08-15 05:15:00;8;5;0;3;10;2;10;3;5;7
2019-08-15 05:30:00;9;4;1;10;18;3;15;8;3;10
2019-08-15 05:45:00;12;11;1;19;23;2;22;15;12;12
2019-08-15 06:00:00;12;5;2;10;7;3;7;8;5;11
2019-08-15 06:15:00;15;11;0;10;14;1;14;8;10;12
2019-08-15 06:30:00;13;4;1;12;16;4;17;9;8;13
2019-08-15 06:45:00;17;8;2;13;16;8;17;12;9;16
2019-08-15 07:00:00;13;10;0;7;5;0;5;5;8;11
2019-08-15 07:15:00;22;10;1;5;8;3;9;5;9;23
2019-08-15 07:30:00;16;9;2;11;9;4;10;9;9;12
2019-08-15 07:45:00;23;6;4;14;18;9;20;11;4;20
2019-08-15 08:00:00;25;13;2;18;11;10;10;9;14;16
