DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2020-10-05 00:00:00;3;3;0;0;0;5;5;5;4;3;0;0
2020-10-05 00:15:00;3;6;2;2;6;7;4;3;3;1;0;0
2020-10-05 00:30:00;3;3;0;0;2;6;5;3;4;1;0;0
2020-10-05 00:45:00;7;1;0;0;0;6;1;1;3;1;0;0
2020-10-05 01:00:00;6;3;0;1;2;7;2;0;4;3;0;0
2020-10-05 01:15:00;4;4;0;0;2;4;5;1;2;1;0;0
2020-10-05 01:30:00;3;2;0;2;2;1;4;4;1;2;0;0
2020-10-05 01:45:00;1;0;0;0;0;2;1;2;1;1;0;0
2020-10-05 02:00:00;1;2;0;1;1;3;7;6;1;0;0;0
2020-10-05 02:15:00;1;1;1;0;1;2;3;0;3;2;0;0
2020-10-05 02:30:00;1;0;0;0;1;1;1;1;2;1;0;0
2020-10-05 02:45:00;3;4;1;1;2;2;2;2;0;0;0;0
2020-10-05 03:00:00;4;4;0;0;0;1;1;1;3;2;0;0
2020-10-05 03:15:00;5;5;0;1;1;2;4;3;1;0;0;0
2020-10-05 03:30:00;3;3;0;1;0;1;2;1;0;0;0;0
2020-10-05 03:45:00;5;3;0;1;1;4;5;4;4;2;0;0
2020-10-05 04:00:00;3;4;2;2;1;2;3;1;4;1;0;0
2020-10-05 04:15:00;3;6;0;2;2;5;7;3;5;6;0;0
2020-10-05 04:30:00;5;4;0;1;1;6;9;4;4;2;0;0
2020-10-05 04:45:00;17;7;2;3;2;7;8;4;9;5;0;0
2020-10-05 05:00:00;18;13;0;5;5;19;15;5;13;4;0;0
2020-10-05 05:15:00;32;14;0;4;4;40;44;8;34;8;0;0
2020-10-05 05:30:00;46;25;1;5;6;43;48;21;43;7;0;0
2020-10-05 05:45:00;37;23;4;4;8;66;69;28;44;14;1;0
2020-10-05 06:00:00;42;10;2;7;9;61;61;41;39;22;2;7
2020-10-05 06:15:00;56;32;1;9;11;81;90;47;47;26;2;5
2020-10-05 06:30:00;61;37;2;12;14;98;115;68;71;14;5;11
2020-10-05 06:45:00;58;37;4;13;17;124;123;80;67;22;3;11
2020-10-05 07:00:00;65;29;4;19;25;188;129;108;65;39;5;5
2020-10-05 07:15:00;74;39;3;18;32;230;134;125;54;26;1;13
2020-10-05 07:30:00;68;45;4;22;29;199;111;111;100;36;4;35
2020-10-05 07:45:00;91;53;14;25;35;155;118;83;92;26;6;7
2020-10-05 08:00:00;80;49;9;17;32;133;95;94;65;35;4;16
2020-10-05 08:15:00;77;25;3;13;18;113;96;71;78;20;1;11
2020-10-05 08:30:00;57;43;3;10;18;110;103;60;74;12;4;2
2020-10-05 08:45:00;59;37;2;12;19;92;95;69;65;14;5;15
2020-10-05 09:00:00;77;25;4;12;15;80;79;53;53;16;3;0
2020-10-05 09:15:00;57;28;3;19;22;72;87;51;67;26;2;5
2020-10-05 09:30:00;69;39;5;8;9;80;76;68;67;23;2;0
2020-10-05 09:45:00;85;43;2;14;19;78;69;65;74;19;5;2
2020-10-05 10:00:00;66;32;9;16;25;62;57;43;74;19;1;15
2020-10-05 10:15:00;80;44;3;11;12;71;69;47;69;13;5;62
2020-10-05 10:30:00;81;39;5;10;12;79;77;59;74;17;5;18
2020-10-05 10:45:00;67;42;2;17;19;78;75;63;74;19;1;142
2020-10-05 11:00:00;76;38;6;18;15;76;71;88;59;21;2;0
2020-10-05 11:15:00;82;47;7;10;11;65;72;50;67;17;0;2
2020-10-05 11:30:00;70;50;2;13;13;77;84;61;73;17;3;2
2020-10-05 11:45:00;75;36;6;11;15;57;69;52;72;15;4;3
2020-10-05 12:00:00;85;53;11;15;16;62;73;58;76;20;5;8
2020-10-05 12:15:00;96;53;6;13;19;71;71;41;80;10;5;0
2020-10-05 12:30:00;91;63;6;12;14;74;72;50;76;14;3;4
2020-10-05 12:45:00;74;58;4;14;15;84;70;55;93;18;3;9
2020-10-05 13:00:00;103;60;11;6;13;72;82;48;83;14;3;20
2020-10-05 13:15:00;109;81;6;18;20;86;88;63;102;19;3;0
2020-10-05 13:30:00;102;64;0;9;14;82;87;66;92;24;2;1
2020-10-05 13:45:00;108;81;6;13;14;86;101;61;83;23;0;9
2020-10-05 14:00:00;103;64;3;10;14;92;81;68;86;21;7;26
2020-10-05 14:15:00;105;78;6;10;7;70;86;58;91;23;7;9
2020-10-05 14:30:00;103;65;6;14;22;125;78;70;63;24;7;6
2020-10-05 14:45:00;109;89;6;10;12;81;64;75;68;12;5;18
2020-10-05 15:00:00;114;88;5;15;20;87;74;64;103;15;11;19
2020-10-05 15:15:00;108;83;7;21;20;94;64;75;92;26;7;5
2020-10-05 15:30:00;111;80;5;21;18;84;80;62;93;15;12;5
2020-10-05 15:45:00;122;74;13;25;24;81;61;58;132;20;4;75
2020-10-05 16:00:00;135;95;8;21;25;110;78;67;136;17;12;7
2020-10-05 16:15:00;138;99;9;19;17;131;85;66;114;26;7;11
2020-10-05 16:30:00;127;91;4;21;23;94;85;65;123;22;2;8
2020-10-05 16:45:00;139;84;10;37;33;132;73;70;134;15;4;4
2020-10-05 17:00:00;139;81;8;26;28;147;73;79;133;22;6;22
2020-10-05 17:15:00;145;113;7;24;23;139;79;61;130;18;3;11
2020-10-05 17:30:00;116;81;3;23;24;105;83;69;114;14;11;19
2020-10-05 17:45:00;105;66;5;15;16;103;73;89;88;22;8;21
2020-10-05 18:00:00;108;69;1;12;18;101;75;69;105;16;4;54
2020-10-05 18:15:00;111;72;8;4;7;82;79;66;102;17;4;43
2020-10-05 18:30:00;84;50;7;16;19;86;88;66;78;16;8;100
2020-10-05 18:45:00;76;42;7;14;20;65;61;46;85;20;0;1
