DATUM;1(TAFGA);2(TAFBA)
2019-09-15 00:00:00;0;0
2019-09-15 00:15:00;0;0
2019-09-15 00:30:00;0;0
2019-09-15 00:45:00;0;0
2019-09-15 01:00:00;0;0
2019-09-15 01:15:00;0;0
2019-09-15 01:30:00;0;0
2019-09-15 01:45:00;0;0
2019-09-15 02:00:00;0;0
2019-09-15 02:15:00;0;0
2019-09-15 02:30:00;1;2
2019-09-15 02:45:00;0;0
2019-09-15 03:00:00;0;0
2019-09-15 03:15:00;0;0
2019-09-15 03:30:00;0;0
2019-09-15 03:45:00;0;0
2019-09-15 04:00:00;0;0
2019-09-15 04:15:00;0;0
2019-09-15 04:30:00;0;0
2019-09-15 04:45:00;0;0
2019-09-15 05:00:00;0;0
2019-09-15 05:15:00;0;0
2019-09-15 05:30:00;0;0
2019-09-15 05:45:00;0;0
2019-09-15 06:00:00;0;0
2019-09-15 06:15:00;0;0
2019-09-15 06:30:00;0;0
2019-09-15 06:45:00;0;0
2019-09-15 07:00:00;0;0
2019-09-15 07:15:00;0;0
2019-09-15 07:30:00;0;0
2019-09-15 07:45:00;0;0
2019-09-15 08:00:00;0;0
2019-09-15 08:15:00;2;0
2019-09-15 08:30:00;0;0
2019-09-15 08:45:00;0;0
2019-09-15 09:00:00;6;1
2019-09-15 09:15:00;3;0
2019-09-15 09:30:00;3;9
2019-09-15 09:45:00;8;4
2019-09-15 10:00:00;5;1
2019-09-15 10:15:00;9;8
2019-09-15 10:30:00;9;7
2019-09-15 10:45:00;13;2
2019-09-15 11:00:00;12;2
2019-09-15 11:15:00;11;0
2019-09-15 11:30:00;15;2
2019-09-15 11:45:00;13;1
2019-09-15 12:00:00;11;1
2019-09-15 12:15:00;11;0
2019-09-15 12:30:00;4;3
2019-09-15 12:45:00;9;1
2019-09-15 13:00:00;12;8
2019-09-15 13:15:00;14;11
2019-09-15 13:30:00;15;7
2019-09-15 13:45:00;16;8
2019-09-15 14:00:00;17;1
2019-09-15 14:15:00;17;8
2019-09-15 14:30:00;14;9
2019-09-15 14:45:00;18;14
2019-09-15 15:00:00;17;3
2019-09-15 15:15:00;10;2
2019-09-15 15:30:00;11;11
2019-09-15 15:45:00;10;2
2019-09-15 16:00:00;15;5
2019-09-15 16:15:00;15;1
2019-09-15 16:30:00;10;2
2019-09-15 16:45:00;16;9
2019-09-15 17:00:00;18;18
2019-09-15 17:15:00;12;1
2019-09-15 17:30:00;17;8
2019-09-15 17:45:00;13;25
2019-09-15 18:00:00;15;17
2019-09-15 18:15:00;21;9
2019-09-15 18:30:00;16;4
2019-09-15 18:45:00;12;4
2019-09-15 19:00:00;11;1
2019-09-15 19:15:00;13;4
2019-09-15 19:30:00;11;5
2019-09-15 19:45:00;17;3
2019-09-15 20:00:00;7;2
2019-09-15 20:15:00;9;2
2019-09-15 20:30:00;5;2
2019-09-15 20:45:00;6;3
2019-09-15 21:00:00;2;0
2019-09-15 21:15:00;1;0
2019-09-15 21:30:00;6;3
2019-09-15 21:45:00;0;0
2019-09-15 22:00:00;2;0
2019-09-15 22:15:00;0;0
2019-09-15 22:30:00;0;0
2019-09-15 22:45:00;0;0
2019-09-15 23:00:00;0;0
2019-09-15 23:15:00;0;0
2019-09-15 23:30:00;0;0
2019-09-15 23:45:00;0;0
